day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MN,Mongolia,Asia,46,105,0,0,0
2020/01/23,MN,Mongolia,Asia,46,105,0,0,0
2020/01/24,MN,Mongolia,Asia,46,105,0,0,0
2020/01/25,MN,Mongolia,Asia,46,105,0,0,0
2020/01/26,MN,Mongolia,Asia,46,105,0,0,0
2020/01/27,MN,Mongolia,Asia,46,105,0,0,0
2020/01/28,MN,Mongolia,Asia,46,105,0,0,0
2020/01/29,MN,Mongolia,Asia,46,105,0,0,0
2020/01/30,MN,Mongolia,Asia,46,105,0,0,0
2020/01/31,MN,Mongolia,Asia,46,105,0,0,0
2020/02/01,MN,Mongolia,Asia,46,105,0,0,0
2020/02/02,MN,Mongolia,Asia,46,105,0,0,0
2020/02/03,MN,Mongolia,Asia,46,105,0,0,0
2020/02/04,MN,Mongolia,Asia,46,105,0,0,0
2020/02/05,MN,Mongolia,Asia,46,105,0,0,0
2020/02/06,MN,Mongolia,Asia,46,105,0,0,0
2020/02/07,MN,Mongolia,Asia,46,105,0,0,0
2020/02/08,MN,Mongolia,Asia,46,105,0,0,0
2020/02/09,MN,Mongolia,Asia,46,105,0,0,0
2020/02/10,MN,Mongolia,Asia,46,105,0,0,0
2020/02/11,MN,Mongolia,Asia,46,105,0,0,0
2020/02/12,MN,Mongolia,Asia,46,105,0,0,0
2020/02/13,MN,Mongolia,Asia,46,105,0,0,0
2020/02/14,MN,Mongolia,Asia,46,105,0,0,0
2020/02/15,MN,Mongolia,Asia,46,105,0,0,0
2020/02/16,MN,Mongolia,Asia,46,105,0,0,0
2020/02/17,MN,Mongolia,Asia,46,105,0,0,0
2020/02/18,MN,Mongolia,Asia,46,105,0,0,0
2020/02/19,MN,Mongolia,Asia,46,105,0,0,0
2020/02/20,MN,Mongolia,Asia,46,105,0,0,0
2020/02/21,MN,Mongolia,Asia,46,105,0,0,0
2020/02/22,MN,Mongolia,Asia,46,105,0,0,0
2020/02/23,MN,Mongolia,Asia,46,105,0,0,0
2020/02/24,MN,Mongolia,Asia,46,105,0,0,0
2020/02/25,MN,Mongolia,Asia,46,105,0,0,0
2020/02/26,MN,Mongolia,Asia,46,105,0,0,0
2020/02/27,MN,Mongolia,Asia,46,105,0,0,0
2020/02/28,MN,Mongolia,Asia,46,105,0,0,0
2020/02/29,MN,Mongolia,Asia,46,105,0,0,0
2020/03/01,MN,Mongolia,Asia,46,105,0,0,0
2020/03/02,MN,Mongolia,Asia,46,105,0,0,0
2020/03/03,MN,Mongolia,Asia,46,105,0,0,0
2020/03/04,MN,Mongolia,Asia,46,105,0,0,0
2020/03/05,MN,Mongolia,Asia,46,105,0,0,0
2020/03/06,MN,Mongolia,Asia,46,105,0,0,0
2020/03/07,MN,Mongolia,Asia,46,105,0,0,0
2020/03/08,MN,Mongolia,Asia,46,105,0,0,0
2020/03/09,MN,Mongolia,Asia,46,105,0,0,0
2020/03/10,MN,Mongolia,Asia,46,105,1,0,0
2020/03/11,MN,Mongolia,Asia,46,105,1,0,0
2020/03/12,MN,Mongolia,Asia,46,105,1,0,0
2020/03/13,MN,Mongolia,Asia,46,105,1,0,0
2020/03/14,MN,Mongolia,Asia,46,105,1,0,0
2020/03/15,MN,Mongolia,Asia,46,105,1,0,0
2020/03/16,MN,Mongolia,Asia,46,105,1,0,0
2020/03/17,MN,Mongolia,Asia,46,105,5,0,0
2020/03/18,MN,Mongolia,Asia,46,105,6,0,0
2020/03/19,MN,Mongolia,Asia,46,105,6,0,0
2020/03/20,MN,Mongolia,Asia,46,105,6,0,0
2020/03/21,MN,Mongolia,Asia,46,105,10,0,0
2020/03/22,MN,Mongolia,Asia,46,105,10,0,0
2020/03/23,MN,Mongolia,Asia,46,105,10,0,0
2020/03/24,MN,Mongolia,Asia,46,105,10,0,0
2020/03/25,MN,Mongolia,Asia,46,105,10,0,0
2020/03/26,MN,Mongolia,Asia,46,105,11,0,0
2020/03/27,MN,Mongolia,Asia,46,105,11,0,0
2020/03/28,MN,Mongolia,Asia,46,105,12,0,0
2020/03/29,MN,Mongolia,Asia,46,105,12,0,0
2020/03/30,MN,Mongolia,Asia,46,105,12,2,0
2020/03/31,MN,Mongolia,Asia,46,105,12,2,0
2020/04/01,MN,Mongolia,Asia,46,105,14,2,0
2020/04/02,MN,Mongolia,Asia,46,105,14,2,0
2020/04/03,MN,Mongolia,Asia,46,105,14,2,0
2020/04/04,MN,Mongolia,Asia,46,105,14,2,0
2020/04/05,MN,Mongolia,Asia,46,105,14,2,0
2020/04/06,MN,Mongolia,Asia,46,105,15,2,0
2020/04/07,MN,Mongolia,Asia,46,105,15,4,0
2020/04/08,MN,Mongolia,Asia,46,105,16,4,0
2020/04/09,MN,Mongolia,Asia,46,105,16,4,0
2020/04/10,MN,Mongolia,Asia,46,105,16,4,0
2020/04/11,MN,Mongolia,Asia,46,105,16,4,0
2020/04/12,MN,Mongolia,Asia,46,105,16,4,0
2020/04/13,MN,Mongolia,Asia,46,105,17,4,0
2020/04/14,MN,Mongolia,Asia,46,105,30,5,0
2020/04/15,MN,Mongolia,Asia,46,105,30,5,0
2020/04/16,MN,Mongolia,Asia,46,105,31,5,0
2020/04/17,MN,Mongolia,Asia,46,105,31,5,0
2020/04/18,MN,Mongolia,Asia,46,105,31,5,0
2020/04/19,MN,Mongolia,Asia,46,105,32,7,0
2020/04/20,MN,Mongolia,Asia,46,105,33,7,0
2020/04/21,MN,Mongolia,Asia,46,105,34,8,0
2020/04/22,MN,Mongolia,Asia,46,105,35,8,0
2020/04/23,MN,Mongolia,Asia,46,105,35,8,0
2020/04/24,MN,Mongolia,Asia,46,105,36,9,0
2020/04/25,MN,Mongolia,Asia,46,105,37,9,0
2020/04/26,MN,Mongolia,Asia,46,105,38,9,0
2020/04/27,MN,Mongolia,Asia,46,105,38,10,0
2020/04/28,MN,Mongolia,Asia,46,105,38,10,0
2020/04/29,MN,Mongolia,Asia,46,105,38,10,0
2020/04/30,MN,Mongolia,Asia,46,105,38,10,0
2020/05/01,MN,Mongolia,Asia,46,105,38,10,0
