day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/23,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/24,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/25,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/26,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/27,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/28,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/29,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/30,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/01/31,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/01,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/02,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/03,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/04,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/05,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/06,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/07,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/08,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/09,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/10,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/11,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/12,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/13,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/14,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/15,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/16,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/17,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/18,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/19,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/20,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/21,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/22,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/23,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/24,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/25,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/26,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/27,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/28,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/02/29,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/01,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/02,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/03,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/04,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/05,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/06,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/07,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/08,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/09,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/10,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/11,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/12,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/13,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/14,CG,Republic of the Congo,Africa,-1,15,0,0,0
2020/03/15,CG,Republic of the Congo,Africa,-1,15,1,0,0
2020/03/16,CG,Republic of the Congo,Africa,-1,15,1,0,0
2020/03/17,CG,Republic of the Congo,Africa,-1,15,1,0,0
2020/03/18,CG,Republic of the Congo,Africa,-1,15,1,0,0
2020/03/19,CG,Republic of the Congo,Africa,-1,15,3,0,0
2020/03/20,CG,Republic of the Congo,Africa,-1,15,3,0,0
2020/03/21,CG,Republic of the Congo,Africa,-1,15,3,0,0
2020/03/22,CG,Republic of the Congo,Africa,-1,15,3,0,0
2020/03/23,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/24,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/25,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/26,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/27,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/28,CG,Republic of the Congo,Africa,-1,15,4,0,0
2020/03/29,CG,Republic of the Congo,Africa,-1,15,19,0,0
2020/03/30,CG,Republic of the Congo,Africa,-1,15,19,0,0
2020/03/31,CG,Republic of the Congo,Africa,-1,15,19,0,0
2020/04/01,CG,Republic of the Congo,Africa,-1,15,22,0,2
2020/04/02,CG,Republic of the Congo,Africa,-1,15,22,2,2
2020/04/03,CG,Republic of the Congo,Africa,-1,15,22,2,2
2020/04/04,CG,Republic of the Congo,Africa,-1,15,22,2,2
2020/04/05,CG,Republic of the Congo,Africa,-1,15,45,2,5
2020/04/06,CG,Republic of the Congo,Africa,-1,15,45,2,5
2020/04/07,CG,Republic of the Congo,Africa,-1,15,45,2,5
2020/04/08,CG,Republic of the Congo,Africa,-1,15,45,2,5
