day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SN,Senegal,Africa,14,-14,0,0,0
2020/01/23,SN,Senegal,Africa,14,-14,0,0,0
2020/01/24,SN,Senegal,Africa,14,-14,0,0,0
2020/01/25,SN,Senegal,Africa,14,-14,0,0,0
2020/01/26,SN,Senegal,Africa,14,-14,0,0,0
2020/01/27,SN,Senegal,Africa,14,-14,0,0,0
2020/01/28,SN,Senegal,Africa,14,-14,0,0,0
2020/01/29,SN,Senegal,Africa,14,-14,0,0,0
2020/01/30,SN,Senegal,Africa,14,-14,0,0,0
2020/01/31,SN,Senegal,Africa,14,-14,0,0,0
2020/02/01,SN,Senegal,Africa,14,-14,0,0,0
2020/02/02,SN,Senegal,Africa,14,-14,0,0,0
2020/02/03,SN,Senegal,Africa,14,-14,0,0,0
2020/02/04,SN,Senegal,Africa,14,-14,0,0,0
2020/02/05,SN,Senegal,Africa,14,-14,0,0,0
2020/02/06,SN,Senegal,Africa,14,-14,0,0,0
2020/02/07,SN,Senegal,Africa,14,-14,0,0,0
2020/02/08,SN,Senegal,Africa,14,-14,0,0,0
2020/02/09,SN,Senegal,Africa,14,-14,0,0,0
2020/02/10,SN,Senegal,Africa,14,-14,0,0,0
2020/02/11,SN,Senegal,Africa,14,-14,0,0,0
2020/02/12,SN,Senegal,Africa,14,-14,0,0,0
2020/02/13,SN,Senegal,Africa,14,-14,0,0,0
2020/02/14,SN,Senegal,Africa,14,-14,0,0,0
2020/02/15,SN,Senegal,Africa,14,-14,0,0,0
2020/02/16,SN,Senegal,Africa,14,-14,0,0,0
2020/02/17,SN,Senegal,Africa,14,-14,0,0,0
2020/02/18,SN,Senegal,Africa,14,-14,0,0,0
2020/02/19,SN,Senegal,Africa,14,-14,0,0,0
2020/02/20,SN,Senegal,Africa,14,-14,0,0,0
2020/02/21,SN,Senegal,Africa,14,-14,0,0,0
2020/02/22,SN,Senegal,Africa,14,-14,0,0,0
2020/02/23,SN,Senegal,Africa,14,-14,0,0,0
2020/02/24,SN,Senegal,Africa,14,-14,0,0,0
2020/02/25,SN,Senegal,Africa,14,-14,0,0,0
2020/02/26,SN,Senegal,Africa,14,-14,0,0,0
2020/02/27,SN,Senegal,Africa,14,-14,0,0,0
2020/02/28,SN,Senegal,Africa,14,-14,0,0,0
2020/02/29,SN,Senegal,Africa,14,-14,0,0,0
2020/03/01,SN,Senegal,Africa,14,-14,0,0,0
2020/03/02,SN,Senegal,Africa,14,-14,1,0,0
2020/03/03,SN,Senegal,Africa,14,-14,2,0,0
2020/03/04,SN,Senegal,Africa,14,-14,4,0,0
2020/03/05,SN,Senegal,Africa,14,-14,4,0,0
2020/03/06,SN,Senegal,Africa,14,-14,4,0,0
