day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/23,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/24,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/25,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/26,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/27,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/28,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/29,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/30,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/01/31,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/01,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/02,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/03,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/04,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/05,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/06,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/07,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/08,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/09,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/10,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/11,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/12,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/13,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/14,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/15,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/16,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/17,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/18,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/19,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/20,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/21,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/22,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/23,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/24,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/25,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/26,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/27,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/28,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/02/29,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/03/01,SA,Saudi Arabia,Asia,25,45,0,0,0
2020/03/02,SA,Saudi Arabia,Asia,25,45,1,0,0
2020/03/03,SA,Saudi Arabia,Asia,25,45,1,0,0
2020/03/04,SA,Saudi Arabia,Asia,25,45,1,0,0
2020/03/05,SA,Saudi Arabia,Asia,25,45,5,0,0
2020/03/06,SA,Saudi Arabia,Asia,25,45,5,0,0
2020/03/07,SA,Saudi Arabia,Asia,25,45,5,0,0
2020/03/08,SA,Saudi Arabia,Asia,25,45,11,0,0
2020/03/09,SA,Saudi Arabia,Asia,25,45,15,0,0
2020/03/10,SA,Saudi Arabia,Asia,25,45,20,1,0
2020/03/11,SA,Saudi Arabia,Asia,25,45,21,1,0
2020/03/12,SA,Saudi Arabia,Asia,25,45,45,1,0
2020/03/13,SA,Saudi Arabia,Asia,25,45,86,1,0
2020/03/14,SA,Saudi Arabia,Asia,25,45,103,1,0
2020/03/15,SA,Saudi Arabia,Asia,25,45,103,1,0
2020/03/16,SA,Saudi Arabia,Asia,25,45,118,2,0
2020/03/17,SA,Saudi Arabia,Asia,25,45,171,6,0
2020/03/18,SA,Saudi Arabia,Asia,25,45,171,6,0
2020/03/19,SA,Saudi Arabia,Asia,25,45,274,6,0
2020/03/20,SA,Saudi Arabia,Asia,25,45,344,8,0
2020/03/21,SA,Saudi Arabia,Asia,25,45,392,16,0
2020/03/22,SA,Saudi Arabia,Asia,25,45,511,16,0
2020/03/23,SA,Saudi Arabia,Asia,25,45,562,19,0
2020/03/24,SA,Saudi Arabia,Asia,25,45,767,28,1
2020/03/25,SA,Saudi Arabia,Asia,25,45,900,29,2
2020/03/26,SA,Saudi Arabia,Asia,25,45,1012,33,3
2020/03/27,SA,Saudi Arabia,Asia,25,45,1104,35,3
2020/03/28,SA,Saudi Arabia,Asia,25,45,1203,37,4
2020/03/29,SA,Saudi Arabia,Asia,25,45,1299,66,8
2020/03/30,SA,Saudi Arabia,Asia,25,45,1453,115,8
2020/03/31,SA,Saudi Arabia,Asia,25,45,1563,165,10
2020/04/01,SA,Saudi Arabia,Asia,25,45,1720,264,16
2020/04/02,SA,Saudi Arabia,Asia,25,45,1885,328,21
2020/04/03,SA,Saudi Arabia,Asia,25,45,2039,351,25
2020/04/04,SA,Saudi Arabia,Asia,25,45,2179,420,29
2020/04/05,SA,Saudi Arabia,Asia,25,45,2402,488,34
2020/04/06,SA,Saudi Arabia,Asia,25,45,2605,551,38
2020/04/07,SA,Saudi Arabia,Asia,25,45,2795,615,41
2020/04/08,SA,Saudi Arabia,Asia,25,45,2932,631,41
2020/04/09,SA,Saudi Arabia,Asia,25,45,3287,666,44
2020/04/10,SA,Saudi Arabia,Asia,25,45,3651,685,47
2020/04/11,SA,Saudi Arabia,Asia,25,45,4033,720,52
2020/04/12,SA,Saudi Arabia,Asia,25,45,4462,761,59
2020/04/13,SA,Saudi Arabia,Asia,25,45,4934,805,65
2020/04/14,SA,Saudi Arabia,Asia,25,45,5369,889,73
2020/04/15,SA,Saudi Arabia,Asia,25,45,5862,931,79
2020/04/16,SA,Saudi Arabia,Asia,25,45,6380,990,83
2020/04/17,SA,Saudi Arabia,Asia,25,45,7142,1049,87
2020/04/18,SA,Saudi Arabia,Asia,25,45,8274,1329,92
2020/04/19,SA,Saudi Arabia,Asia,25,45,9362,1398,97
2020/04/20,SA,Saudi Arabia,Asia,25,45,10484,1490,103
2020/04/21,SA,Saudi Arabia,Asia,25,45,11631,1640,109
2020/04/22,SA,Saudi Arabia,Asia,25,45,12772,1812,114
2020/04/23,SA,Saudi Arabia,Asia,25,45,13930,1925,121
2020/04/24,SA,Saudi Arabia,Asia,25,45,15102,2049,127
2020/04/25,SA,Saudi Arabia,Asia,25,45,16299,2215,136
2020/04/26,SA,Saudi Arabia,Asia,25,45,17522,2357,139
2020/04/27,SA,Saudi Arabia,Asia,25,45,18811,2531,144
2020/04/28,SA,Saudi Arabia,Asia,25,45,20077,2784,152
2020/04/29,SA,Saudi Arabia,Asia,25,45,21402,2953,157
2020/04/30,SA,Saudi Arabia,Asia,25,45,22753,3163,162
2020/05/01,SA,Saudi Arabia,Asia,25,45,24097,3555,169
2020/05/02,SA,Saudi Arabia,Asia,25,45,25459,3765,176
2020/05/03,SA,Saudi Arabia,Asia,25,45,27011,4134,184
2020/05/04,SA,Saudi Arabia,Asia,25,45,28656,4476,191
2020/05/05,SA,Saudi Arabia,Asia,25,45,30251,5431,200
2020/05/06,SA,Saudi Arabia,Asia,25,45,31938,6783,209
2020/05/07,SA,Saudi Arabia,Asia,25,45,33731,7798,219
2020/05/08,SA,Saudi Arabia,Asia,25,45,35432,9120,229
2020/05/09,SA,Saudi Arabia,Asia,25,45,37136,10144,239
2020/05/10,SA,Saudi Arabia,Asia,25,45,39048,11457,246
2020/05/11,SA,Saudi Arabia,Asia,25,45,41014,12737,255
2020/05/12,SA,Saudi Arabia,Asia,25,45,42925,15257,264
2020/05/13,SA,Saudi Arabia,Asia,25,45,44830,17622,273
2020/05/14,SA,Saudi Arabia,Asia,25,45,46869,19051,283
2020/05/15,SA,Saudi Arabia,Asia,25,45,49176,21869,292
2020/05/16,SA,Saudi Arabia,Asia,25,45,52016,23666,302
2020/05/17,SA,Saudi Arabia,Asia,25,45,54752,25722,312
2020/05/18,SA,Saudi Arabia,Asia,25,45,57345,28748,320
2020/05/19,SA,Saudi Arabia,Asia,25,45,59854,31634,329
2020/05/20,SA,Saudi Arabia,Asia,25,45,62545,33478,339
2020/05/21,SA,Saudi Arabia,Asia,25,45,65077,36040,351
2020/05/22,SA,Saudi Arabia,Asia,25,45,67719,39003,364
2020/05/23,SA,Saudi Arabia,Asia,25,45,70161,41236,379
2020/05/24,SA,Saudi Arabia,Asia,25,45,72560,43520,390
2020/05/25,SA,Saudi Arabia,Asia,25,45,74795,45668,399
2020/05/26,SA,Saudi Arabia,Asia,25,45,76726,48450,411
2020/05/27,SA,Saudi Arabia,Asia,25,45,78541,51022,425
2020/05/28,SA,Saudi Arabia,Asia,25,45,80185,54553,441
2020/05/29,SA,Saudi Arabia,Asia,25,45,81766,57013,458
2020/05/30,SA,Saudi Arabia,Asia,25,45,83384,58883,480
2020/05/31,SA,Saudi Arabia,Asia,25,45,85261,62442,503
2020/06/01,SA,Saudi Arabia,Asia,25,45,87142,64306,525
2020/06/02,SA,Saudi Arabia,Asia,25,45,89011,65790,549
2020/06/03,SA,Saudi Arabia,Asia,25,45,91182,68159,579
2020/06/04,SA,Saudi Arabia,Asia,25,45,93157,68965,611
2020/06/05,SA,Saudi Arabia,Asia,25,45,95748,70616,642
2020/06/06,SA,Saudi Arabia,Asia,25,45,98869,71791,676
2020/06/07,SA,Saudi Arabia,Asia,25,45,101914,72817,712
2020/06/08,SA,Saudi Arabia,Asia,25,45,105283,74524,746
2020/06/09,SA,Saudi Arabia,Asia,25,45,108571,76339,783
2020/06/10,SA,Saudi Arabia,Asia,25,45,112288,77954,819
2020/06/11,SA,Saudi Arabia,Asia,25,45,116021,80019,857
2020/06/12,SA,Saudi Arabia,Asia,25,45,119942,81029,893
2020/06/13,SA,Saudi Arabia,Asia,25,45,123308,82548,932
2020/06/14,SA,Saudi Arabia,Asia,25,45,127541,84720,972
2020/06/15,SA,Saudi Arabia,Asia,25,45,132048,87890,1011
2020/06/16,SA,Saudi Arabia,Asia,25,45,136315,89540,1052
2020/06/17,SA,Saudi Arabia,Asia,25,45,141234,91662,1091
2020/06/18,SA,Saudi Arabia,Asia,25,45,145991,93915,1139
2020/06/19,SA,Saudi Arabia,Asia,25,45,150292,95764,1184
2020/06/20,SA,Saudi Arabia,Asia,25,45,154233,98917,1230
2020/06/21,SA,Saudi Arabia,Asia,25,45,157612,101130,1267
2020/06/22,SA,Saudi Arabia,Asia,25,45,161005,105175,1307
2020/06/23,SA,Saudi Arabia,Asia,25,45,164144,109885,1346
2020/06/24,SA,Saudi Arabia,Asia,25,45,167267,112797,1387
2020/06/25,SA,Saudi Arabia,Asia,25,45,170639,117882,1428
