day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IQ,Iraq,Asia,33,44,0,0,0
2020/01/23,IQ,Iraq,Asia,33,44,0,0,0
2020/01/24,IQ,Iraq,Asia,33,44,0,0,0
2020/01/25,IQ,Iraq,Asia,33,44,0,0,0
2020/01/26,IQ,Iraq,Asia,33,44,0,0,0
2020/01/27,IQ,Iraq,Asia,33,44,0,0,0
2020/01/28,IQ,Iraq,Asia,33,44,0,0,0
2020/01/29,IQ,Iraq,Asia,33,44,0,0,0
2020/01/30,IQ,Iraq,Asia,33,44,0,0,0
2020/01/31,IQ,Iraq,Asia,33,44,0,0,0
2020/02/01,IQ,Iraq,Asia,33,44,0,0,0
2020/02/02,IQ,Iraq,Asia,33,44,0,0,0
2020/02/03,IQ,Iraq,Asia,33,44,0,0,0
2020/02/04,IQ,Iraq,Asia,33,44,0,0,0
2020/02/05,IQ,Iraq,Asia,33,44,0,0,0
2020/02/06,IQ,Iraq,Asia,33,44,0,0,0
2020/02/07,IQ,Iraq,Asia,33,44,0,0,0
2020/02/08,IQ,Iraq,Asia,33,44,0,0,0
2020/02/09,IQ,Iraq,Asia,33,44,0,0,0
2020/02/10,IQ,Iraq,Asia,33,44,0,0,0
2020/02/11,IQ,Iraq,Asia,33,44,0,0,0
2020/02/12,IQ,Iraq,Asia,33,44,0,0,0
2020/02/13,IQ,Iraq,Asia,33,44,0,0,0
2020/02/14,IQ,Iraq,Asia,33,44,0,0,0
2020/02/15,IQ,Iraq,Asia,33,44,0,0,0
2020/02/16,IQ,Iraq,Asia,33,44,0,0,0
2020/02/17,IQ,Iraq,Asia,33,44,0,0,0
2020/02/18,IQ,Iraq,Asia,33,44,0,0,0
2020/02/19,IQ,Iraq,Asia,33,44,0,0,0
2020/02/20,IQ,Iraq,Asia,33,44,0,0,0
2020/02/21,IQ,Iraq,Asia,33,44,0,0,0
2020/02/22,IQ,Iraq,Asia,33,44,0,0,0
2020/02/23,IQ,Iraq,Asia,33,44,0,0,0
2020/02/24,IQ,Iraq,Asia,33,44,1,0,0
2020/02/25,IQ,Iraq,Asia,33,44,1,0,0
2020/02/26,IQ,Iraq,Asia,33,44,5,0,0
2020/02/27,IQ,Iraq,Asia,33,44,7,0,0
2020/02/28,IQ,Iraq,Asia,33,44,7,0,0
2020/02/29,IQ,Iraq,Asia,33,44,13,0,0
2020/03/01,IQ,Iraq,Asia,33,44,19,0,0
2020/03/02,IQ,Iraq,Asia,33,44,26,0,0
2020/03/03,IQ,Iraq,Asia,33,44,32,0,0
2020/03/04,IQ,Iraq,Asia,33,44,35,0,2
2020/03/05,IQ,Iraq,Asia,33,44,35,0,2
2020/03/06,IQ,Iraq,Asia,33,44,40,0,3
2020/03/07,IQ,Iraq,Asia,33,44,54,0,4
2020/03/08,IQ,Iraq,Asia,33,44,60,0,6
2020/03/09,IQ,Iraq,Asia,33,44,60,3,6
2020/03/10,IQ,Iraq,Asia,33,44,71,3,7
2020/03/11,IQ,Iraq,Asia,33,44,71,15,7
2020/03/12,IQ,Iraq,Asia,33,44,71,15,8
2020/03/13,IQ,Iraq,Asia,33,44,101,24,9
2020/03/14,IQ,Iraq,Asia,33,44,110,26,10
2020/03/15,IQ,Iraq,Asia,33,44,116,26,10
2020/03/16,IQ,Iraq,Asia,33,44,124,26,10
2020/03/17,IQ,Iraq,Asia,33,44,154,32,11
2020/03/18,IQ,Iraq,Asia,33,44,164,43,12
2020/03/19,IQ,Iraq,Asia,33,44,192,43,13
2020/03/20,IQ,Iraq,Asia,33,44,208,49,17
2020/03/21,IQ,Iraq,Asia,33,44,214,51,17
2020/03/22,IQ,Iraq,Asia,33,44,233,57,20
2020/03/23,IQ,Iraq,Asia,33,44,266,62,23
2020/03/24,IQ,Iraq,Asia,33,44,316,75,27
2020/03/25,IQ,Iraq,Asia,33,44,346,103,29
2020/03/26,IQ,Iraq,Asia,33,44,382,105,36
2020/03/27,IQ,Iraq,Asia,33,44,458,122,40
2020/03/28,IQ,Iraq,Asia,33,44,506,131,42
2020/03/29,IQ,Iraq,Asia,33,44,547,143,42
2020/03/30,IQ,Iraq,Asia,33,44,630,152,46
2020/03/31,IQ,Iraq,Asia,33,44,694,170,50
2020/04/01,IQ,Iraq,Asia,33,44,728,182,52
2020/04/02,IQ,Iraq,Asia,33,44,772,202,54
2020/04/03,IQ,Iraq,Asia,33,44,820,226,54
2020/04/04,IQ,Iraq,Asia,33,44,878,259,56
2020/04/05,IQ,Iraq,Asia,33,44,961,279,61
2020/04/06,IQ,Iraq,Asia,33,44,1031,344,64
