day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/23,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/24,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/25,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/26,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/27,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/28,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/29,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/30,ZM,Zambia,Africa,-15,30,0,0,0
2020/01/31,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/01,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/02,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/03,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/04,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/05,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/06,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/07,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/08,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/09,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/10,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/11,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/12,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/13,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/14,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/15,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/16,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/17,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/18,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/19,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/20,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/21,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/22,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/23,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/24,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/25,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/26,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/27,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/28,ZM,Zambia,Africa,-15,30,0,0,0
2020/02/29,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/01,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/02,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/03,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/04,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/05,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/06,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/07,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/08,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/09,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/10,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/11,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/12,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/13,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/14,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/15,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/16,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/17,ZM,Zambia,Africa,-15,30,0,0,0
2020/03/18,ZM,Zambia,Africa,-15,30,2,0,0
2020/03/19,ZM,Zambia,Africa,-15,30,2,0,0
2020/03/20,ZM,Zambia,Africa,-15,30,2,0,0
2020/03/21,ZM,Zambia,Africa,-15,30,2,0,0
2020/03/22,ZM,Zambia,Africa,-15,30,3,0,0
2020/03/23,ZM,Zambia,Africa,-15,30,3,0,0
2020/03/24,ZM,Zambia,Africa,-15,30,3,0,0
2020/03/25,ZM,Zambia,Africa,-15,30,12,0,0
2020/03/26,ZM,Zambia,Africa,-15,30,16,0,0
2020/03/27,ZM,Zambia,Africa,-15,30,22,0,0
2020/03/28,ZM,Zambia,Africa,-15,30,28,0,0
2020/03/29,ZM,Zambia,Africa,-15,30,29,0,0
2020/03/30,ZM,Zambia,Africa,-15,30,35,0,0
2020/03/31,ZM,Zambia,Africa,-15,30,35,0,0
2020/04/01,ZM,Zambia,Africa,-15,30,36,0,0
2020/04/02,ZM,Zambia,Africa,-15,30,39,0,1
2020/04/03,ZM,Zambia,Africa,-15,30,39,2,1
2020/04/04,ZM,Zambia,Africa,-15,30,39,2,1
2020/04/05,ZM,Zambia,Africa,-15,30,39,3,1
2020/04/06,ZM,Zambia,Africa,-15,30,39,5,1
2020/04/07,ZM,Zambia,Africa,-15,30,39,7,1
2020/04/08,ZM,Zambia,Africa,-15,30,39,7,1
2020/04/09,ZM,Zambia,Africa,-15,30,39,24,1
2020/04/10,ZM,Zambia,Africa,-15,30,40,25,2
2020/04/11,ZM,Zambia,Africa,-15,30,40,28,2
2020/04/12,ZM,Zambia,Africa,-15,30,43,30,2
2020/04/13,ZM,Zambia,Africa,-15,30,45,30,2
2020/04/14,ZM,Zambia,Africa,-15,30,45,30,2
2020/04/15,ZM,Zambia,Africa,-15,30,48,30,2
2020/04/16,ZM,Zambia,Africa,-15,30,48,30,2
2020/04/17,ZM,Zambia,Africa,-15,30,52,30,2
2020/04/18,ZM,Zambia,Africa,-15,30,57,33,2
2020/04/19,ZM,Zambia,Africa,-15,30,61,33,3
2020/04/20,ZM,Zambia,Africa,-15,30,65,35,3
2020/04/21,ZM,Zambia,Africa,-15,30,70,35,3
2020/04/22,ZM,Zambia,Africa,-15,30,74,35,3
2020/04/23,ZM,Zambia,Africa,-15,30,76,37,3
2020/04/24,ZM,Zambia,Africa,-15,30,84,37,3
2020/04/25,ZM,Zambia,Africa,-15,30,84,37,3
2020/04/26,ZM,Zambia,Africa,-15,30,88,42,3
2020/04/27,ZM,Zambia,Africa,-15,30,88,42,3
2020/04/28,ZM,Zambia,Africa,-15,30,95,42,3
