day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CH,Switzerland,Europe,47,8,0,0,0
2020/01/23,CH,Switzerland,Europe,47,8,0,0,0
2020/01/24,CH,Switzerland,Europe,47,8,0,0,0
2020/01/25,CH,Switzerland,Europe,47,8,0,0,0
2020/01/26,CH,Switzerland,Europe,47,8,0,0,0
2020/01/27,CH,Switzerland,Europe,47,8,0,0,0
2020/01/28,CH,Switzerland,Europe,47,8,0,0,0
2020/01/29,CH,Switzerland,Europe,47,8,0,0,0
2020/01/30,CH,Switzerland,Europe,47,8,0,0,0
2020/01/31,CH,Switzerland,Europe,47,8,0,0,0
2020/02/01,CH,Switzerland,Europe,47,8,0,0,0
2020/02/02,CH,Switzerland,Europe,47,8,0,0,0
2020/02/03,CH,Switzerland,Europe,47,8,0,0,0
2020/02/04,CH,Switzerland,Europe,47,8,0,0,0
2020/02/05,CH,Switzerland,Europe,47,8,0,0,0
2020/02/06,CH,Switzerland,Europe,47,8,0,0,0
2020/02/07,CH,Switzerland,Europe,47,8,0,0,0
2020/02/08,CH,Switzerland,Europe,47,8,0,0,0
2020/02/09,CH,Switzerland,Europe,47,8,0,0,0
2020/02/10,CH,Switzerland,Europe,47,8,0,0,0
2020/02/11,CH,Switzerland,Europe,47,8,0,0,0
2020/02/12,CH,Switzerland,Europe,47,8,0,0,0
2020/02/13,CH,Switzerland,Europe,47,8,0,0,0
2020/02/14,CH,Switzerland,Europe,47,8,0,0,0
2020/02/15,CH,Switzerland,Europe,47,8,0,0,0
2020/02/16,CH,Switzerland,Europe,47,8,0,0,0
2020/02/17,CH,Switzerland,Europe,47,8,0,0,0
2020/02/18,CH,Switzerland,Europe,47,8,0,0,0
2020/02/19,CH,Switzerland,Europe,47,8,0,0,0
2020/02/20,CH,Switzerland,Europe,47,8,0,0,0
2020/02/21,CH,Switzerland,Europe,47,8,0,0,0
2020/02/22,CH,Switzerland,Europe,47,8,0,0,0
2020/02/23,CH,Switzerland,Europe,47,8,0,0,0
2020/02/24,CH,Switzerland,Europe,47,8,0,0,0
2020/02/25,CH,Switzerland,Europe,47,8,1,0,0
2020/02/26,CH,Switzerland,Europe,47,8,1,0,0
2020/02/27,CH,Switzerland,Europe,47,8,8,0,0
2020/02/28,CH,Switzerland,Europe,47,8,8,0,0
2020/02/29,CH,Switzerland,Europe,47,8,18,0,0
2020/03/01,CH,Switzerland,Europe,47,8,27,0,0
2020/03/02,CH,Switzerland,Europe,47,8,42,0,0
2020/03/03,CH,Switzerland,Europe,47,8,56,2,0
2020/03/04,CH,Switzerland,Europe,47,8,90,3,0
2020/03/05,CH,Switzerland,Europe,47,8,114,3,1
2020/03/06,CH,Switzerland,Europe,47,8,214,3,1
2020/03/07,CH,Switzerland,Europe,47,8,268,3,1
2020/03/08,CH,Switzerland,Europe,47,8,337,3,2
2020/03/09,CH,Switzerland,Europe,47,8,374,3,2
2020/03/10,CH,Switzerland,Europe,47,8,491,3,3
