day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/23,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/24,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/25,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/26,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/27,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/28,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/29,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/30,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/01/31,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/01,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/02,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/03,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/04,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/05,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/06,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/07,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/08,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/09,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/10,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/11,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/12,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/13,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/14,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/15,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/16,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/17,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/18,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/19,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/20,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/21,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/22,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/23,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/24,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/25,MK,North Macedonia,Europe,41.83333333,22,0,0,0
2020/02/26,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/02/27,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/02/28,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/02/29,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/01,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/02,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/03,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/04,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/05,MK,North Macedonia,Europe,41.83333333,22,1,0,0
2020/03/06,MK,North Macedonia,Europe,41.83333333,22,3,0,0
2020/03/07,MK,North Macedonia,Europe,41.83333333,22,3,0,0
2020/03/08,MK,North Macedonia,Europe,41.83333333,22,3,0,0
2020/03/09,MK,North Macedonia,Europe,41.83333333,22,3,0,0
2020/03/10,MK,North Macedonia,Europe,41.83333333,22,7,0,0
2020/03/11,MK,North Macedonia,Europe,41.83333333,22,7,0,0
2020/03/12,MK,North Macedonia,Europe,41.83333333,22,7,0,0
2020/03/13,MK,North Macedonia,Europe,41.83333333,22,14,1,0
2020/03/14,MK,North Macedonia,Europe,41.83333333,22,14,1,0
2020/03/15,MK,North Macedonia,Europe,41.83333333,22,14,1,0
2020/03/16,MK,North Macedonia,Europe,41.83333333,22,18,1,0
2020/03/17,MK,North Macedonia,Europe,41.83333333,22,26,1,0
2020/03/18,MK,North Macedonia,Europe,41.83333333,22,35,1,0
2020/03/19,MK,North Macedonia,Europe,41.83333333,22,48,1,0
2020/03/20,MK,North Macedonia,Europe,41.83333333,22,67,1,0
2020/03/21,MK,North Macedonia,Europe,41.83333333,22,85,1,0
2020/03/22,MK,North Macedonia,Europe,41.83333333,22,114,1,1
2020/03/23,MK,North Macedonia,Europe,41.83333333,22,136,1,2
2020/03/24,MK,North Macedonia,Europe,41.83333333,22,148,1,2
2020/03/25,MK,North Macedonia,Europe,41.83333333,22,177,1,3
2020/03/26,MK,North Macedonia,Europe,41.83333333,22,201,3,3
2020/03/27,MK,North Macedonia,Europe,41.83333333,22,219,3,3
2020/03/28,MK,North Macedonia,Europe,41.83333333,22,241,3,4
2020/03/29,MK,North Macedonia,Europe,41.83333333,22,259,3,6
2020/03/30,MK,North Macedonia,Europe,41.83333333,22,285,12,7
2020/03/31,MK,North Macedonia,Europe,41.83333333,22,329,12,9
2020/04/01,MK,North Macedonia,Europe,41.83333333,22,354,17,11
2020/04/02,MK,North Macedonia,Europe,41.83333333,22,384,17,11
2020/04/03,MK,North Macedonia,Europe,41.83333333,22,430,20,12
2020/04/04,MK,North Macedonia,Europe,41.83333333,22,483,20,17
2020/04/05,MK,North Macedonia,Europe,41.83333333,22,555,23,18
2020/04/06,MK,North Macedonia,Europe,41.83333333,22,570,30,23
2020/04/07,MK,North Macedonia,Europe,41.83333333,22,599,30,26
2020/04/08,MK,North Macedonia,Europe,41.83333333,22,617,35,29
2020/04/09,MK,North Macedonia,Europe,41.83333333,22,663,37,30
2020/04/10,MK,North Macedonia,Europe,41.83333333,22,711,41,32
2020/04/11,MK,North Macedonia,Europe,41.83333333,22,760,41,34
2020/04/12,MK,North Macedonia,Europe,41.83333333,22,828,41,34
2020/04/13,MK,North Macedonia,Europe,41.83333333,22,854,44,38
2020/04/14,MK,North Macedonia,Europe,41.83333333,22,908,86,44
2020/04/15,MK,North Macedonia,Europe,41.83333333,22,974,98,45
2020/04/16,MK,North Macedonia,Europe,41.83333333,22,1081,121,46
2020/04/17,MK,North Macedonia,Europe,41.83333333,22,1117,139,49
2020/04/18,MK,North Macedonia,Europe,41.83333333,22,1170,164,49
2020/04/19,MK,North Macedonia,Europe,41.83333333,22,1207,179,51
2020/04/20,MK,North Macedonia,Europe,41.83333333,22,1225,200,54
2020/04/21,MK,North Macedonia,Europe,41.83333333,22,1231,224,55
2020/04/22,MK,North Macedonia,Europe,41.83333333,22,1259,272,56
2020/04/23,MK,North Macedonia,Europe,41.83333333,22,1300,301,56
2020/04/24,MK,North Macedonia,Europe,41.83333333,22,1326,337,57
2020/04/25,MK,North Macedonia,Europe,41.83333333,22,1367,374,59
2020/04/26,MK,North Macedonia,Europe,41.83333333,22,1386,500,61
2020/04/27,MK,North Macedonia,Europe,41.83333333,22,1399,553,65
2020/04/28,MK,North Macedonia,Europe,41.83333333,22,1421,589,71
2020/04/29,MK,North Macedonia,Europe,41.83333333,22,1442,627,73
2020/04/30,MK,North Macedonia,Europe,41.83333333,22,1465,738,77
2020/05/01,MK,North Macedonia,Europe,41.83333333,22,1494,807,81
2020/05/02,MK,North Macedonia,Europe,41.83333333,22,1506,852,82
2020/05/03,MK,North Macedonia,Europe,41.83333333,22,1511,945,84
2020/05/04,MK,North Macedonia,Europe,41.83333333,22,1518,992,85
2020/05/05,MK,North Macedonia,Europe,41.83333333,22,1526,1013,86
2020/05/06,MK,North Macedonia,Europe,41.83333333,22,1539,1057,88
2020/05/07,MK,North Macedonia,Europe,41.83333333,22,1572,1079,89
2020/05/08,MK,North Macedonia,Europe,41.83333333,22,1586,1099,90
2020/05/09,MK,North Macedonia,Europe,41.83333333,22,1622,1112,91
2020/05/10,MK,North Macedonia,Europe,41.83333333,22,1642,1136,91
2020/05/11,MK,North Macedonia,Europe,41.83333333,22,1664,1200,91
2020/05/12,MK,North Macedonia,Europe,41.83333333,22,1674,1205,92
2020/05/13,MK,North Macedonia,Europe,41.83333333,22,1694,1229,95
