day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/23,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/24,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/25,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/26,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/27,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/28,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/29,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/30,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/01/31,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/01,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/02,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/03,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/04,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/05,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/06,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/07,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/08,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/09,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/10,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/11,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/12,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/13,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/14,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/15,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/16,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/17,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/18,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/19,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/20,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/21,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/22,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/23,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/24,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/25,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/26,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/27,NZ,New Zealand,Oceania,-41,174,0,0,0
2020/02/28,NZ,New Zealand,Oceania,-41,174,1,0,0
2020/02/29,NZ,New Zealand,Oceania,-41,174,1,0,0
2020/03/01,NZ,New Zealand,Oceania,-41,174,1,0,0
2020/03/02,NZ,New Zealand,Oceania,-41,174,1,0,0
2020/03/03,NZ,New Zealand,Oceania,-41,174,1,0,0
2020/03/04,NZ,New Zealand,Oceania,-41,174,3,0,0
2020/03/05,NZ,New Zealand,Oceania,-41,174,3,0,0
2020/03/06,NZ,New Zealand,Oceania,-41,174,4,0,0
2020/03/07,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/08,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/09,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/10,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/11,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/12,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/13,NZ,New Zealand,Oceania,-41,174,5,0,0
2020/03/14,NZ,New Zealand,Oceania,-41,174,6,0,0
2020/03/15,NZ,New Zealand,Oceania,-41,174,8,0,0
2020/03/16,NZ,New Zealand,Oceania,-41,174,8,0,0
2020/03/17,NZ,New Zealand,Oceania,-41,174,12,0,0
2020/03/18,NZ,New Zealand,Oceania,-41,174,20,0,0
2020/03/19,NZ,New Zealand,Oceania,-41,174,28,0,0
2020/03/20,NZ,New Zealand,Oceania,-41,174,39,0,0
2020/03/21,NZ,New Zealand,Oceania,-41,174,52,0,0
2020/03/22,NZ,New Zealand,Oceania,-41,174,66,0,0
2020/03/23,NZ,New Zealand,Oceania,-41,174,102,0,0
2020/03/24,NZ,New Zealand,Oceania,-41,174,155,12,0
2020/03/25,NZ,New Zealand,Oceania,-41,174,205,22,0
2020/03/26,NZ,New Zealand,Oceania,-41,174,283,27,0
2020/03/27,NZ,New Zealand,Oceania,-41,174,368,37,0
2020/03/28,NZ,New Zealand,Oceania,-41,174,451,50,0
2020/03/29,NZ,New Zealand,Oceania,-41,174,514,56,1
2020/03/30,NZ,New Zealand,Oceania,-41,174,589,63,1
2020/03/31,NZ,New Zealand,Oceania,-41,174,647,74,1
2020/04/01,NZ,New Zealand,Oceania,-41,174,708,83,1
2020/04/02,NZ,New Zealand,Oceania,-41,174,797,92,1
2020/04/03,NZ,New Zealand,Oceania,-41,174,868,103,1
2020/04/04,NZ,New Zealand,Oceania,-41,174,950,127,1
