day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/23,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/24,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/25,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/26,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/27,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/28,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/29,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/30,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/01/31,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/01,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/02,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/03,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/04,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/05,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/06,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/07,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/08,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/09,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/10,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/11,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/12,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/13,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/14,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/15,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/16,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/17,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/18,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/19,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/20,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/21,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/22,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/23,KW,Kuwait,Asia,29.5,45.75,0,0,0
2020/02/24,KW,Kuwait,Asia,29.5,45.75,1,0,0
2020/02/25,KW,Kuwait,Asia,29.5,45.75,11,0,0
2020/02/26,KW,Kuwait,Asia,29.5,45.75,26,0,0
2020/02/27,KW,Kuwait,Asia,29.5,45.75,43,0,0
2020/02/28,KW,Kuwait,Asia,29.5,45.75,45,0,0
2020/02/29,KW,Kuwait,Asia,29.5,45.75,45,0,0
2020/03/01,KW,Kuwait,Asia,29.5,45.75,45,0,0
2020/03/02,KW,Kuwait,Asia,29.5,45.75,56,0,0
2020/03/03,KW,Kuwait,Asia,29.5,45.75,56,0,0
2020/03/04,KW,Kuwait,Asia,29.5,45.75,56,0,0
2020/03/05,KW,Kuwait,Asia,29.5,45.75,58,0,0
2020/03/06,KW,Kuwait,Asia,29.5,45.75,58,0,0
2020/03/07,KW,Kuwait,Asia,29.5,45.75,61,0,0
2020/03/08,KW,Kuwait,Asia,29.5,45.75,64,1,0
2020/03/09,KW,Kuwait,Asia,29.5,45.75,64,1,0
2020/03/10,KW,Kuwait,Asia,29.5,45.75,69,1,0
2020/03/11,KW,Kuwait,Asia,29.5,45.75,72,2,0
2020/03/12,KW,Kuwait,Asia,29.5,45.75,80,5,0
2020/03/13,KW,Kuwait,Asia,29.5,45.75,80,5,0
2020/03/14,KW,Kuwait,Asia,29.5,45.75,104,5,0
2020/03/15,KW,Kuwait,Asia,29.5,45.75,112,5,0
2020/03/16,KW,Kuwait,Asia,29.5,45.75,123,9,0
2020/03/17,KW,Kuwait,Asia,29.5,45.75,130,9,0
2020/03/18,KW,Kuwait,Asia,29.5,45.75,142,15,0
2020/03/19,KW,Kuwait,Asia,29.5,45.75,148,18,0
2020/03/20,KW,Kuwait,Asia,29.5,45.75,159,18,0
2020/03/21,KW,Kuwait,Asia,29.5,45.75,176,27,0
2020/03/22,KW,Kuwait,Asia,29.5,45.75,188,27,0
2020/03/23,KW,Kuwait,Asia,29.5,45.75,189,30,0
2020/03/24,KW,Kuwait,Asia,29.5,45.75,191,39,0
2020/03/25,KW,Kuwait,Asia,29.5,45.75,195,43,0
2020/03/26,KW,Kuwait,Asia,29.5,45.75,208,49,0
2020/03/27,KW,Kuwait,Asia,29.5,45.75,225,57,0
2020/03/28,KW,Kuwait,Asia,29.5,45.75,235,64,0
2020/03/29,KW,Kuwait,Asia,29.5,45.75,255,67,0
2020/03/30,KW,Kuwait,Asia,29.5,45.75,266,72,0
2020/03/31,KW,Kuwait,Asia,29.5,45.75,289,73,0
2020/04/01,KW,Kuwait,Asia,29.5,45.75,317,80,0
2020/04/02,KW,Kuwait,Asia,29.5,45.75,342,81,0
2020/04/03,KW,Kuwait,Asia,29.5,45.75,417,82,0
2020/04/04,KW,Kuwait,Asia,29.5,45.75,479,93,1
2020/04/05,KW,Kuwait,Asia,29.5,45.75,556,99,1
