day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,DZ,Algeria,Africa,28,3,0,0,0
2020/01/23,DZ,Algeria,Africa,28,3,0,0,0
2020/01/24,DZ,Algeria,Africa,28,3,0,0,0
2020/01/25,DZ,Algeria,Africa,28,3,0,0,0
2020/01/26,DZ,Algeria,Africa,28,3,0,0,0
2020/01/27,DZ,Algeria,Africa,28,3,0,0,0
2020/01/28,DZ,Algeria,Africa,28,3,0,0,0
2020/01/29,DZ,Algeria,Africa,28,3,0,0,0
2020/01/30,DZ,Algeria,Africa,28,3,0,0,0
2020/01/31,DZ,Algeria,Africa,28,3,0,0,0
2020/02/01,DZ,Algeria,Africa,28,3,0,0,0
2020/02/02,DZ,Algeria,Africa,28,3,0,0,0
2020/02/03,DZ,Algeria,Africa,28,3,0,0,0
2020/02/04,DZ,Algeria,Africa,28,3,0,0,0
2020/02/05,DZ,Algeria,Africa,28,3,0,0,0
2020/02/06,DZ,Algeria,Africa,28,3,0,0,0
2020/02/07,DZ,Algeria,Africa,28,3,0,0,0
2020/02/08,DZ,Algeria,Africa,28,3,0,0,0
2020/02/09,DZ,Algeria,Africa,28,3,0,0,0
2020/02/10,DZ,Algeria,Africa,28,3,0,0,0
2020/02/11,DZ,Algeria,Africa,28,3,0,0,0
2020/02/12,DZ,Algeria,Africa,28,3,0,0,0
2020/02/13,DZ,Algeria,Africa,28,3,0,0,0
2020/02/14,DZ,Algeria,Africa,28,3,0,0,0
2020/02/15,DZ,Algeria,Africa,28,3,0,0,0
2020/02/16,DZ,Algeria,Africa,28,3,0,0,0
2020/02/17,DZ,Algeria,Africa,28,3,0,0,0
2020/02/18,DZ,Algeria,Africa,28,3,0,0,0
2020/02/19,DZ,Algeria,Africa,28,3,0,0,0
2020/02/20,DZ,Algeria,Africa,28,3,0,0,0
2020/02/21,DZ,Algeria,Africa,28,3,0,0,0
2020/02/22,DZ,Algeria,Africa,28,3,0,0,0
2020/02/23,DZ,Algeria,Africa,28,3,0,0,0
2020/02/24,DZ,Algeria,Africa,28,3,0,0,0
2020/02/25,DZ,Algeria,Africa,28,3,1,0,0
2020/02/26,DZ,Algeria,Africa,28,3,1,0,0
2020/02/27,DZ,Algeria,Africa,28,3,1,0,0
2020/02/28,DZ,Algeria,Africa,28,3,1,0,0
2020/02/29,DZ,Algeria,Africa,28,3,1,0,0
2020/03/01,DZ,Algeria,Africa,28,3,1,0,0
2020/03/02,DZ,Algeria,Africa,28,3,3,0,0
2020/03/03,DZ,Algeria,Africa,28,3,5,0,0
2020/03/04,DZ,Algeria,Africa,28,3,12,0,0
2020/03/05,DZ,Algeria,Africa,28,3,12,0,0
2020/03/06,DZ,Algeria,Africa,28,3,17,0,0
2020/03/07,DZ,Algeria,Africa,28,3,17,0,0
2020/03/08,DZ,Algeria,Africa,28,3,19,0,0
2020/03/09,DZ,Algeria,Africa,28,3,20,0,0
2020/03/10,DZ,Algeria,Africa,28,3,20,0,0
2020/03/11,DZ,Algeria,Africa,28,3,20,0,0
2020/03/12,DZ,Algeria,Africa,28,3,24,8,1
2020/03/13,DZ,Algeria,Africa,28,3,26,8,2
2020/03/14,DZ,Algeria,Africa,28,3,37,12,3
2020/03/15,DZ,Algeria,Africa,28,3,48,12,4
2020/03/16,DZ,Algeria,Africa,28,3,54,12,4
2020/03/17,DZ,Algeria,Africa,28,3,60,12,4
2020/03/18,DZ,Algeria,Africa,28,3,74,12,7
2020/03/19,DZ,Algeria,Africa,28,3,87,24,9
2020/03/20,DZ,Algeria,Africa,28,3,90,24,11
2020/03/21,DZ,Algeria,Africa,28,3,139,24,15
2020/03/22,DZ,Algeria,Africa,28,3,201,24,17
2020/03/23,DZ,Algeria,Africa,28,3,230,24,17
2020/03/24,DZ,Algeria,Africa,28,3,264,24,19
2020/03/25,DZ,Algeria,Africa,28,3,264,24,19
2020/03/26,DZ,Algeria,Africa,28,3,367,29,25
2020/03/27,DZ,Algeria,Africa,28,3,409,29,26
2020/03/28,DZ,Algeria,Africa,28,3,454,31,29
2020/03/29,DZ,Algeria,Africa,28,3,511,31,31
2020/03/30,DZ,Algeria,Africa,28,3,584,37,35
2020/03/31,DZ,Algeria,Africa,28,3,716,46,44
