day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/23,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/24,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/25,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/26,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/27,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/28,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/29,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/30,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/01/31,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/01,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/02,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/03,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/04,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/05,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/06,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/07,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/08,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/09,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/10,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/11,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/12,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/13,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/14,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/15,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/16,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/17,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/18,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/19,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/20,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/21,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/22,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/23,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/24,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/25,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/26,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/27,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/28,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/02/29,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/01,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/02,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/03,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/04,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/05,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/06,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/07,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/08,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/09,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/10,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/11,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/12,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/13,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/14,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/15,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/16,GM,Gambia,Africa,13.46666666,-16.56666666,0,0,0
2020/03/17,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/18,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/19,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/20,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/21,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/22,GM,Gambia,Africa,13.46666666,-16.56666666,1,0,0
2020/03/23,GM,Gambia,Africa,13.46666666,-16.56666666,2,0,1
2020/03/24,GM,Gambia,Africa,13.46666666,-16.56666666,3,0,1
2020/03/25,GM,Gambia,Africa,13.46666666,-16.56666666,3,0,1
2020/03/26,GM,Gambia,Africa,13.46666666,-16.56666666,3,0,1
2020/03/27,GM,Gambia,Africa,13.46666666,-16.56666666,3,0,1
2020/03/28,GM,Gambia,Africa,13.46666666,-16.56666666,3,0,1
2020/03/29,GM,Gambia,Africa,13.46666666,-16.56666666,4,0,1
2020/03/30,GM,Gambia,Africa,13.46666666,-16.56666666,4,0,1
2020/03/31,GM,Gambia,Africa,13.46666666,-16.56666666,4,0,1
2020/04/01,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/02,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/03,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/04,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/05,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/06,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/07,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/08,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/09,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/10,GM,Gambia,Africa,13.46666666,-16.56666666,4,2,1
2020/04/11,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/12,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/13,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/14,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/15,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/16,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/17,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/18,GM,Gambia,Africa,13.46666666,-16.56666666,9,2,1
2020/04/19,GM,Gambia,Africa,13.46666666,-16.56666666,10,2,1
2020/04/20,GM,Gambia,Africa,13.46666666,-16.56666666,10,2,1
2020/04/21,GM,Gambia,Africa,13.46666666,-16.56666666,10,2,1
2020/04/22,GM,Gambia,Africa,13.46666666,-16.56666666,10,2,1
2020/04/23,GM,Gambia,Africa,13.46666666,-16.56666666,10,2,1
2020/04/24,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/25,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/26,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/27,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/28,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/29,GM,Gambia,Africa,13.46666666,-16.56666666,10,8,1
2020/04/30,GM,Gambia,Africa,13.46666666,-16.56666666,11,8,1
2020/05/01,GM,Gambia,Africa,13.46666666,-16.56666666,12,8,1
2020/05/02,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/03,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/04,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/05,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/06,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/07,GM,Gambia,Africa,13.46666666,-16.56666666,17,9,1
2020/05/08,GM,Gambia,Africa,13.46666666,-16.56666666,18,9,1
2020/05/09,GM,Gambia,Africa,13.46666666,-16.56666666,20,9,1
2020/05/10,GM,Gambia,Africa,13.46666666,-16.56666666,20,9,1
2020/05/11,GM,Gambia,Africa,13.46666666,-16.56666666,22,10,1
2020/05/12,GM,Gambia,Africa,13.46666666,-16.56666666,22,10,1
2020/05/13,GM,Gambia,Africa,13.46666666,-16.56666666,23,10,1
