day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/23,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/24,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/25,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/26,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/27,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/28,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/29,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/30,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/01/31,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/01,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/02,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/03,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/04,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/05,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/06,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/07,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/08,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/09,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/10,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/11,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/12,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/13,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/14,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/15,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/16,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/17,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/18,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/19,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/20,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/21,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/22,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/23,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/24,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/25,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/26,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/27,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/28,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/02/29,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/01,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/02,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/03,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/04,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/05,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/06,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/07,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/08,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/09,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/10,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/11,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/12,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/13,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/14,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/15,BS,Bahamas,Americas,24.25,-76,0,0,0
2020/03/16,BS,Bahamas,Americas,24.25,-76,1,0,0
2020/03/17,BS,Bahamas,Americas,24.25,-76,1,0,0
2020/03/18,BS,Bahamas,Americas,24.25,-76,1,0,0
2020/03/19,BS,Bahamas,Americas,24.25,-76,3,0,0
2020/03/20,BS,Bahamas,Americas,24.25,-76,3,0,0
2020/03/21,BS,Bahamas,Americas,24.25,-76,4,0,0
2020/03/22,BS,Bahamas,Americas,24.25,-76,4,0,0
2020/03/23,BS,Bahamas,Americas,24.25,-76,4,0,0
2020/03/24,BS,Bahamas,Americas,24.25,-76,5,0,0
2020/03/25,BS,Bahamas,Americas,24.25,-76,5,0,0
2020/03/26,BS,Bahamas,Americas,24.25,-76,9,0,0
2020/03/27,BS,Bahamas,Americas,24.25,-76,10,0,0
2020/03/28,BS,Bahamas,Americas,24.25,-76,10,0,0
2020/03/29,BS,Bahamas,Americas,24.25,-76,14,0,0
2020/03/30,BS,Bahamas,Americas,24.25,-76,14,0,0
2020/03/31,BS,Bahamas,Americas,24.25,-76,14,0,0
2020/04/01,BS,Bahamas,Americas,24.25,-76,21,0,1
2020/04/02,BS,Bahamas,Americas,24.25,-76,24,0,1
2020/04/03,BS,Bahamas,Americas,24.25,-76,24,0,3
2020/04/04,BS,Bahamas,Americas,24.25,-76,28,0,4
2020/04/05,BS,Bahamas,Americas,24.25,-76,29,4,5
2020/04/06,BS,Bahamas,Americas,24.25,-76,33,5,5
2020/04/07,BS,Bahamas,Americas,24.25,-76,33,5,6
2020/04/08,BS,Bahamas,Americas,24.25,-76,40,5,7
2020/04/09,BS,Bahamas,Americas,24.25,-76,41,5,8
2020/04/10,BS,Bahamas,Americas,24.25,-76,42,5,8
2020/04/11,BS,Bahamas,Americas,24.25,-76,46,5,8
2020/04/12,BS,Bahamas,Americas,24.25,-76,46,5,8
2020/04/13,BS,Bahamas,Americas,24.25,-76,47,6,8
2020/04/14,BS,Bahamas,Americas,24.25,-76,49,6,8
2020/04/15,BS,Bahamas,Americas,24.25,-76,53,6,8
2020/04/16,BS,Bahamas,Americas,24.25,-76,53,6,8
2020/04/17,BS,Bahamas,Americas,24.25,-76,54,6,9
2020/04/18,BS,Bahamas,Americas,24.25,-76,55,10,9
2020/04/19,BS,Bahamas,Americas,24.25,-76,55,10,9
2020/04/20,BS,Bahamas,Americas,24.25,-76,60,11,9
2020/04/21,BS,Bahamas,Americas,24.25,-76,65,12,9
2020/04/22,BS,Bahamas,Americas,24.25,-76,65,12,9
2020/04/23,BS,Bahamas,Americas,24.25,-76,72,14,11
2020/04/24,BS,Bahamas,Americas,24.25,-76,73,15,11
2020/04/25,BS,Bahamas,Americas,24.25,-76,78,15,11
2020/04/26,BS,Bahamas,Americas,24.25,-76,80,22,11
