day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/23,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/24,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/25,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/26,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/27,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/28,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/29,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/30,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/01/31,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/01,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/02,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/03,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/04,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/05,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/06,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/07,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/08,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/09,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/10,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/11,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/12,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/13,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/14,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/15,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
2020/02/16,SI,Slovenia,Europe,46.11666666,14.81666666,0,0,0
