day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/23,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/24,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/25,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/26,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/27,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/28,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/29,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/30,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/01/31,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/01,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/02,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/03,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/04,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/05,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/06,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/07,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/08,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/09,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/10,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/11,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/12,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/13,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/14,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/15,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/16,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/17,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/18,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/19,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/20,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/21,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/22,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/23,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/24,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/25,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/26,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/27,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/28,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/02/29,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/01,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/02,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/03,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/04,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/05,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/06,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/07,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/08,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/09,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/10,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/11,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/12,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/13,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/14,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/15,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/16,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/17,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/18,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/19,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/20,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/21,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/22,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/23,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/24,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/25,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
2020/03/26,AI,Anguilla,Americas,18.25,-63.16666666,0,0,0
