day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TN,Tunisia,Africa,34,9,0,0,0
2020/01/23,TN,Tunisia,Africa,34,9,0,0,0
2020/01/24,TN,Tunisia,Africa,34,9,0,0,0
2020/01/25,TN,Tunisia,Africa,34,9,0,0,0
2020/01/26,TN,Tunisia,Africa,34,9,0,0,0
2020/01/27,TN,Tunisia,Africa,34,9,0,0,0
2020/01/28,TN,Tunisia,Africa,34,9,0,0,0
2020/01/29,TN,Tunisia,Africa,34,9,0,0,0
2020/01/30,TN,Tunisia,Africa,34,9,0,0,0
2020/01/31,TN,Tunisia,Africa,34,9,0,0,0
2020/02/01,TN,Tunisia,Africa,34,9,0,0,0
2020/02/02,TN,Tunisia,Africa,34,9,0,0,0
2020/02/03,TN,Tunisia,Africa,34,9,0,0,0
2020/02/04,TN,Tunisia,Africa,34,9,0,0,0
2020/02/05,TN,Tunisia,Africa,34,9,0,0,0
2020/02/06,TN,Tunisia,Africa,34,9,0,0,0
2020/02/07,TN,Tunisia,Africa,34,9,0,0,0
2020/02/08,TN,Tunisia,Africa,34,9,0,0,0
2020/02/09,TN,Tunisia,Africa,34,9,0,0,0
2020/02/10,TN,Tunisia,Africa,34,9,0,0,0
2020/02/11,TN,Tunisia,Africa,34,9,0,0,0
2020/02/12,TN,Tunisia,Africa,34,9,0,0,0
2020/02/13,TN,Tunisia,Africa,34,9,0,0,0
2020/02/14,TN,Tunisia,Africa,34,9,0,0,0
2020/02/15,TN,Tunisia,Africa,34,9,0,0,0
2020/02/16,TN,Tunisia,Africa,34,9,0,0,0
2020/02/17,TN,Tunisia,Africa,34,9,0,0,0
2020/02/18,TN,Tunisia,Africa,34,9,0,0,0
2020/02/19,TN,Tunisia,Africa,34,9,0,0,0
2020/02/20,TN,Tunisia,Africa,34,9,0,0,0
2020/02/21,TN,Tunisia,Africa,34,9,0,0,0
2020/02/22,TN,Tunisia,Africa,34,9,0,0,0
2020/02/23,TN,Tunisia,Africa,34,9,0,0,0
2020/02/24,TN,Tunisia,Africa,34,9,0,0,0
2020/02/25,TN,Tunisia,Africa,34,9,0,0,0
2020/02/26,TN,Tunisia,Africa,34,9,0,0,0
2020/02/27,TN,Tunisia,Africa,34,9,0,0,0
2020/02/28,TN,Tunisia,Africa,34,9,0,0,0
2020/02/29,TN,Tunisia,Africa,34,9,0,0,0
2020/03/01,TN,Tunisia,Africa,34,9,0,0,0
2020/03/02,TN,Tunisia,Africa,34,9,0,0,0
2020/03/03,TN,Tunisia,Africa,34,9,0,0,0
2020/03/04,TN,Tunisia,Africa,34,9,1,0,0
2020/03/05,TN,Tunisia,Africa,34,9,1,0,0
2020/03/06,TN,Tunisia,Africa,34,9,1,0,0
2020/03/07,TN,Tunisia,Africa,34,9,1,0,0
2020/03/08,TN,Tunisia,Africa,34,9,2,0,0
2020/03/09,TN,Tunisia,Africa,34,9,2,0,0
2020/03/10,TN,Tunisia,Africa,34,9,5,0,0
2020/03/11,TN,Tunisia,Africa,34,9,7,0,0
2020/03/12,TN,Tunisia,Africa,34,9,7,0,0
2020/03/13,TN,Tunisia,Africa,34,9,16,0,0
2020/03/14,TN,Tunisia,Africa,34,9,18,0,0
2020/03/15,TN,Tunisia,Africa,34,9,18,0,0
2020/03/16,TN,Tunisia,Africa,34,9,20,0,0
2020/03/17,TN,Tunisia,Africa,34,9,24,0,0
2020/03/18,TN,Tunisia,Africa,34,9,29,0,0
2020/03/19,TN,Tunisia,Africa,34,9,39,0,1
2020/03/20,TN,Tunisia,Africa,34,9,54,0,1
2020/03/21,TN,Tunisia,Africa,34,9,60,0,1
2020/03/22,TN,Tunisia,Africa,34,9,75,1,3
2020/03/23,TN,Tunisia,Africa,34,9,89,1,3
2020/03/24,TN,Tunisia,Africa,34,9,114,1,4
2020/03/25,TN,Tunisia,Africa,34,9,173,2,5
2020/03/26,TN,Tunisia,Africa,34,9,197,2,6
2020/03/27,TN,Tunisia,Africa,34,9,227,2,7
2020/03/28,TN,Tunisia,Africa,34,9,278,2,8
