day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PL,Poland,Europe,52,20,0,0,0
2020/01/23,PL,Poland,Europe,52,20,0,0,0
2020/01/24,PL,Poland,Europe,52,20,0,0,0
2020/01/25,PL,Poland,Europe,52,20,0,0,0
2020/01/26,PL,Poland,Europe,52,20,0,0,0
2020/01/27,PL,Poland,Europe,52,20,0,0,0
2020/01/28,PL,Poland,Europe,52,20,0,0,0
2020/01/29,PL,Poland,Europe,52,20,0,0,0
2020/01/30,PL,Poland,Europe,52,20,0,0,0
2020/01/31,PL,Poland,Europe,52,20,0,0,0
2020/02/01,PL,Poland,Europe,52,20,0,0,0
2020/02/02,PL,Poland,Europe,52,20,0,0,0
2020/02/03,PL,Poland,Europe,52,20,0,0,0
2020/02/04,PL,Poland,Europe,52,20,0,0,0
2020/02/05,PL,Poland,Europe,52,20,0,0,0
2020/02/06,PL,Poland,Europe,52,20,0,0,0
2020/02/07,PL,Poland,Europe,52,20,0,0,0
2020/02/08,PL,Poland,Europe,52,20,0,0,0
2020/02/09,PL,Poland,Europe,52,20,0,0,0
2020/02/10,PL,Poland,Europe,52,20,0,0,0
2020/02/11,PL,Poland,Europe,52,20,0,0,0
2020/02/12,PL,Poland,Europe,52,20,0,0,0
2020/02/13,PL,Poland,Europe,52,20,0,0,0
2020/02/14,PL,Poland,Europe,52,20,0,0,0
2020/02/15,PL,Poland,Europe,52,20,0,0,0
2020/02/16,PL,Poland,Europe,52,20,0,0,0
2020/02/17,PL,Poland,Europe,52,20,0,0,0
2020/02/18,PL,Poland,Europe,52,20,0,0,0
2020/02/19,PL,Poland,Europe,52,20,0,0,0
2020/02/20,PL,Poland,Europe,52,20,0,0,0
2020/02/21,PL,Poland,Europe,52,20,0,0,0
2020/02/22,PL,Poland,Europe,52,20,0,0,0
2020/02/23,PL,Poland,Europe,52,20,0,0,0
2020/02/24,PL,Poland,Europe,52,20,0,0,0
2020/02/25,PL,Poland,Europe,52,20,0,0,0
2020/02/26,PL,Poland,Europe,52,20,0,0,0
2020/02/27,PL,Poland,Europe,52,20,0,0,0
2020/02/28,PL,Poland,Europe,52,20,0,0,0
2020/02/29,PL,Poland,Europe,52,20,0,0,0
2020/03/01,PL,Poland,Europe,52,20,0,0,0
2020/03/02,PL,Poland,Europe,52,20,0,0,0
2020/03/03,PL,Poland,Europe,52,20,0,0,0
2020/03/04,PL,Poland,Europe,52,20,1,0,0
2020/03/05,PL,Poland,Europe,52,20,1,0,0
2020/03/06,PL,Poland,Europe,52,20,5,0,0
2020/03/07,PL,Poland,Europe,52,20,5,0,0
2020/03/08,PL,Poland,Europe,52,20,11,0,0
2020/03/09,PL,Poland,Europe,52,20,16,0,0
2020/03/10,PL,Poland,Europe,52,20,22,0,0
2020/03/11,PL,Poland,Europe,52,20,31,0,0
2020/03/12,PL,Poland,Europe,52,20,49,0,1
2020/03/13,PL,Poland,Europe,52,20,68,0,2
2020/03/14,PL,Poland,Europe,52,20,103,0,3
2020/03/15,PL,Poland,Europe,52,20,119,0,3
2020/03/16,PL,Poland,Europe,52,20,177,1,4
2020/03/17,PL,Poland,Europe,52,20,238,1,5
2020/03/18,PL,Poland,Europe,52,20,251,1,5
2020/03/19,PL,Poland,Europe,52,20,355,1,5
2020/03/20,PL,Poland,Europe,52,20,425,1,5
2020/03/21,PL,Poland,Europe,52,20,536,1,5
2020/03/22,PL,Poland,Europe,52,20,634,1,7
2020/03/23,PL,Poland,Europe,52,20,749,1,8
2020/03/24,PL,Poland,Europe,52,20,901,1,10
2020/03/25,PL,Poland,Europe,52,20,1051,7,14
2020/03/26,PL,Poland,Europe,52,20,1221,7,16
2020/03/27,PL,Poland,Europe,52,20,1389,7,16
2020/03/28,PL,Poland,Europe,52,20,1638,7,18
2020/03/29,PL,Poland,Europe,52,20,1862,7,22
2020/03/30,PL,Poland,Europe,52,20,2055,7,31
2020/03/31,PL,Poland,Europe,52,20,2311,7,33
2020/04/01,PL,Poland,Europe,52,20,2554,56,43
2020/04/02,PL,Poland,Europe,52,20,2946,56,57
2020/04/03,PL,Poland,Europe,52,20,3383,56,71
2020/04/04,PL,Poland,Europe,52,20,3627,116,79
2020/04/05,PL,Poland,Europe,52,20,4102,134,94
2020/04/06,PL,Poland,Europe,52,20,4413,162,107
2020/04/07,PL,Poland,Europe,52,20,4848,191,129
2020/04/08,PL,Poland,Europe,52,20,5205,222,159
2020/04/09,PL,Poland,Europe,52,20,5575,284,174
2020/04/10,PL,Poland,Europe,52,20,5955,318,181
2020/04/11,PL,Poland,Europe,52,20,6356,375,208
2020/04/12,PL,Poland,Europe,52,20,6674,439,232
2020/04/13,PL,Poland,Europe,52,20,6934,487,245
2020/04/14,PL,Poland,Europe,52,20,7202,618,263
2020/04/15,PL,Poland,Europe,52,20,7582,668,286
2020/04/16,PL,Poland,Europe,52,20,7918,774,314
2020/04/17,PL,Poland,Europe,52,20,8379,866,332
2020/04/18,PL,Poland,Europe,52,20,8742,981,347
2020/04/19,PL,Poland,Europe,52,20,9287,1040,360
2020/04/20,PL,Poland,Europe,52,20,9593,1133,380
2020/04/21,PL,Poland,Europe,52,20,9856,1297,401
2020/04/22,PL,Poland,Europe,52,20,10169,1513,426
2020/04/23,PL,Poland,Europe,52,20,10511,1740,454
2020/04/24,PL,Poland,Europe,52,20,10892,1944,494
2020/04/25,PL,Poland,Europe,52,20,11273,2126,524
2020/04/26,PL,Poland,Europe,52,20,11617,2265,535
2020/04/27,PL,Poland,Europe,52,20,11902,2466,562
2020/04/28,PL,Poland,Europe,52,20,12218,2655,596
2020/04/29,PL,Poland,Europe,52,20,12640,3025,624
2020/04/30,PL,Poland,Europe,52,20,12877,3236,644
2020/05/01,PL,Poland,Europe,52,20,13105,3491,651
2020/05/02,PL,Poland,Europe,52,20,13375,3762,664
2020/05/03,PL,Poland,Europe,52,20,13693,3945,678
2020/05/04,PL,Poland,Europe,52,20,14006,4095,698
2020/05/05,PL,Poland,Europe,52,20,14431,4280,716
2020/05/06,PL,Poland,Europe,52,20,14740,4655,733
2020/05/07,PL,Poland,Europe,52,20,15047,4862,755
2020/05/08,PL,Poland,Europe,52,20,15366,5184,776
2020/05/09,PL,Poland,Europe,52,20,15651,5437,785
2020/05/10,PL,Poland,Europe,52,20,15996,5698,800
2020/05/11,PL,Poland,Europe,52,20,16326,5816,811
2020/05/12,PL,Poland,Europe,52,20,16921,6131,839
2020/05/13,PL,Poland,Europe,52,20,17204,6410,861
2020/05/14,PL,Poland,Europe,52,20,17615,6696,883
2020/05/15,PL,Poland,Europe,52,20,18016,6918,907
2020/05/16,PL,Poland,Europe,52,20,18257,7175,915
2020/05/17,PL,Poland,Europe,52,20,18529,7451,925
2020/05/18,PL,Poland,Europe,52,20,18885,7628,936
2020/05/19,PL,Poland,Europe,52,20,19268,7903,948
2020/05/20,PL,Poland,Europe,52,20,19739,8183,962
2020/05/21,PL,Poland,Europe,52,20,20143,8452,972
2020/05/22,PL,Poland,Europe,52,20,20619,8731,982
2020/05/23,PL,Poland,Europe,52,20,20931,8977,993
2020/05/24,PL,Poland,Europe,52,20,21326,9194,996
2020/05/25,PL,Poland,Europe,52,20,21631,9276,1007
2020/05/26,PL,Poland,Europe,52,20,22074,10020,1024
2020/05/27,PL,Poland,Europe,52,20,22473,10330,1028
2020/05/28,PL,Poland,Europe,52,20,22825,10560,1038
2020/05/29,PL,Poland,Europe,52,20,23155,10692,1051
2020/05/30,PL,Poland,Europe,52,20,23571,11016,1061
2020/05/31,PL,Poland,Europe,52,20,23786,11271,1064
2020/06/01,PL,Poland,Europe,52,20,24165,11449,1074
2020/06/02,PL,Poland,Europe,52,20,24395,11726,1092
2020/06/03,PL,Poland,Europe,52,20,24687,12014,1115
2020/06/04,PL,Poland,Europe,52,20,25048,12227,1117
