day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/23,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/24,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/25,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/26,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/27,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/28,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/29,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/30,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/01/31,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/01,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/02,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/03,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/04,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/05,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/06,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/07,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/08,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/09,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/10,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/11,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/12,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/13,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/14,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/15,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/16,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/17,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/18,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/19,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/20,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/21,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/22,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/23,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
2020/02/24,SZ,Eswatini,Africa,-26.5,31.5,0,0,0
