day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SG,Singapore,Asia,1.36666666,103.8,0,0,0
2020/01/23,SG,Singapore,Asia,1.36666666,103.8,1,0,0
2020/01/24,SG,Singapore,Asia,1.36666666,103.8,3,0,0
2020/01/25,SG,Singapore,Asia,1.36666666,103.8,3,0,0
2020/01/26,SG,Singapore,Asia,1.36666666,103.8,4,0,0
2020/01/27,SG,Singapore,Asia,1.36666666,103.8,5,0,0
2020/01/28,SG,Singapore,Asia,1.36666666,103.8,7,0,0
2020/01/29,SG,Singapore,Asia,1.36666666,103.8,7,0,0
2020/01/30,SG,Singapore,Asia,1.36666666,103.8,10,0,0
2020/01/31,SG,Singapore,Asia,1.36666666,103.8,13,0,0
2020/02/01,SG,Singapore,Asia,1.36666666,103.8,16,0,0
2020/02/02,SG,Singapore,Asia,1.36666666,103.8,18,0,0
2020/02/03,SG,Singapore,Asia,1.36666666,103.8,18,0,0
2020/02/04,SG,Singapore,Asia,1.36666666,103.8,24,0,0
2020/02/05,SG,Singapore,Asia,1.36666666,103.8,28,0,0
2020/02/06,SG,Singapore,Asia,1.36666666,103.8,28,0,0
2020/02/07,SG,Singapore,Asia,1.36666666,103.8,30,0,0
2020/02/08,SG,Singapore,Asia,1.36666666,103.8,33,2,0
2020/02/09,SG,Singapore,Asia,1.36666666,103.8,40,2,0
2020/02/10,SG,Singapore,Asia,1.36666666,103.8,45,2,0
2020/02/11,SG,Singapore,Asia,1.36666666,103.8,47,9,0
2020/02/12,SG,Singapore,Asia,1.36666666,103.8,50,15,0
2020/02/13,SG,Singapore,Asia,1.36666666,103.8,58,15,0
2020/02/14,SG,Singapore,Asia,1.36666666,103.8,67,17,0
2020/02/15,SG,Singapore,Asia,1.36666666,103.8,72,18,0
2020/02/16,SG,Singapore,Asia,1.36666666,103.8,75,18,0
2020/02/17,SG,Singapore,Asia,1.36666666,103.8,77,24,0
2020/02/18,SG,Singapore,Asia,1.36666666,103.8,81,29,0
2020/02/19,SG,Singapore,Asia,1.36666666,103.8,84,34,0
2020/02/20,SG,Singapore,Asia,1.36666666,103.8,84,34,0
2020/02/21,SG,Singapore,Asia,1.36666666,103.8,85,37,0
2020/02/22,SG,Singapore,Asia,1.36666666,103.8,85,37,0
2020/02/23,SG,Singapore,Asia,1.36666666,103.8,89,51,0
2020/02/24,SG,Singapore,Asia,1.36666666,103.8,89,51,0
2020/02/25,SG,Singapore,Asia,1.36666666,103.8,91,53,0
2020/02/26,SG,Singapore,Asia,1.36666666,103.8,93,62,0
2020/02/27,SG,Singapore,Asia,1.36666666,103.8,93,62,0
2020/02/28,SG,Singapore,Asia,1.36666666,103.8,93,62,0
2020/02/29,SG,Singapore,Asia,1.36666666,103.8,102,72,0
2020/03/01,SG,Singapore,Asia,1.36666666,103.8,106,72,0
2020/03/02,SG,Singapore,Asia,1.36666666,103.8,108,78,0
2020/03/03,SG,Singapore,Asia,1.36666666,103.8,110,78,0
2020/03/04,SG,Singapore,Asia,1.36666666,103.8,110,78,0
2020/03/05,SG,Singapore,Asia,1.36666666,103.8,117,78,0
2020/03/06,SG,Singapore,Asia,1.36666666,103.8,130,78,0
2020/03/07,SG,Singapore,Asia,1.36666666,103.8,138,78,0
2020/03/08,SG,Singapore,Asia,1.36666666,103.8,150,78,0
2020/03/09,SG,Singapore,Asia,1.36666666,103.8,150,78,0
2020/03/10,SG,Singapore,Asia,1.36666666,103.8,160,78,0
2020/03/11,SG,Singapore,Asia,1.36666666,103.8,178,96,0
2020/03/12,SG,Singapore,Asia,1.36666666,103.8,178,96,0
2020/03/13,SG,Singapore,Asia,1.36666666,103.8,200,97,0
2020/03/14,SG,Singapore,Asia,1.36666666,103.8,212,105,0
2020/03/15,SG,Singapore,Asia,1.36666666,103.8,226,105,0
2020/03/16,SG,Singapore,Asia,1.36666666,103.8,243,109,0
2020/03/17,SG,Singapore,Asia,1.36666666,103.8,266,114,0
2020/03/18,SG,Singapore,Asia,1.36666666,103.8,313,114,0
2020/03/19,SG,Singapore,Asia,1.36666666,103.8,345,114,0
2020/03/20,SG,Singapore,Asia,1.36666666,103.8,385,124,0
2020/03/21,SG,Singapore,Asia,1.36666666,103.8,432,140,2
2020/03/22,SG,Singapore,Asia,1.36666666,103.8,455,144,2
2020/03/23,SG,Singapore,Asia,1.36666666,103.8,509,152,2
2020/03/24,SG,Singapore,Asia,1.36666666,103.8,558,156,2
2020/03/25,SG,Singapore,Asia,1.36666666,103.8,631,160,2
2020/03/26,SG,Singapore,Asia,1.36666666,103.8,683,172,2
2020/03/27,SG,Singapore,Asia,1.36666666,103.8,732,183,2
2020/03/28,SG,Singapore,Asia,1.36666666,103.8,802,198,2
2020/03/29,SG,Singapore,Asia,1.36666666,103.8,844,212,3
2020/03/30,SG,Singapore,Asia,1.36666666,103.8,879,228,3
2020/03/31,SG,Singapore,Asia,1.36666666,103.8,926,240,3
2020/04/01,SG,Singapore,Asia,1.36666666,103.8,1000,245,3
2020/04/02,SG,Singapore,Asia,1.36666666,103.8,1049,266,4
2020/04/03,SG,Singapore,Asia,1.36666666,103.8,1114,282,5
2020/04/04,SG,Singapore,Asia,1.36666666,103.8,1189,297,6
