day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/23,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/24,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/25,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/26,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/27,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/28,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/29,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/30,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/01/31,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/01,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/02,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/03,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/04,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/05,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/06,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/07,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/08,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/09,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/10,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/11,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/12,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/13,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/14,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/15,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/16,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/17,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/18,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/19,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/20,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/21,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/22,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/23,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/24,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/25,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/26,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/27,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/28,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/02/29,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/01,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/02,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/03,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/04,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/05,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/06,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/07,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/08,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/09,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/10,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/11,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/12,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/13,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/14,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/15,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/16,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/17,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/18,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/19,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/20,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/21,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/22,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/23,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/24,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/25,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/26,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/27,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/28,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/29,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/30,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/03/31,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/04/01,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/04/02,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/04/03,FK,Falkland Islands,Americas,-51.75,-59,0,0,0
2020/04/04,FK,Falkland Islands,Americas,-51.75,-59,1,0,0
2020/04/05,FK,Falkland Islands,Americas,-51.75,-59,2,0,0
2020/04/06,FK,Falkland Islands,Americas,-51.75,-59,2,0,0
2020/04/07,FK,Falkland Islands,Americas,-51.75,-59,2,0,0
2020/04/08,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/09,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/10,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/11,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/12,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/13,FK,Falkland Islands,Americas,-51.75,-59,5,1,0
2020/04/14,FK,Falkland Islands,Americas,-51.75,-59,11,1,0
2020/04/15,FK,Falkland Islands,Americas,-51.75,-59,11,1,0
2020/04/16,FK,Falkland Islands,Americas,-51.75,-59,11,1,0
2020/04/17,FK,Falkland Islands,Americas,-51.75,-59,11,1,0
2020/04/18,FK,Falkland Islands,Americas,-51.75,-59,11,3,0
