day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/23,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/24,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/25,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/26,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/27,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/28,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/29,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/30,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/01/31,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/01,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/02,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/03,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/04,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/05,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/06,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/07,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/08,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/09,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/10,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/11,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/12,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/13,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/14,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/15,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/16,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/17,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/18,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/19,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/20,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/21,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/22,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/23,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/24,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/25,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/26,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/27,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/28,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/02/29,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/03/01,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/03/02,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/03/03,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/03/04,BA,Bosnia and Herzegovina,Europe,44,18,0,0,0
2020/03/05,BA,Bosnia and Herzegovina,Europe,44,18,2,0,0
2020/03/06,BA,Bosnia and Herzegovina,Europe,44,18,2,0,0
2020/03/07,BA,Bosnia and Herzegovina,Europe,44,18,3,0,0
2020/03/08,BA,Bosnia and Herzegovina,Europe,44,18,3,0,0
2020/03/09,BA,Bosnia and Herzegovina,Europe,44,18,3,0,0
2020/03/10,BA,Bosnia and Herzegovina,Europe,44,18,5,0,0
2020/03/11,BA,Bosnia and Herzegovina,Europe,44,18,7,0,0
2020/03/12,BA,Bosnia and Herzegovina,Europe,44,18,11,0,0
2020/03/13,BA,Bosnia and Herzegovina,Europe,44,18,13,0,0
2020/03/14,BA,Bosnia and Herzegovina,Europe,44,18,18,0,0
2020/03/15,BA,Bosnia and Herzegovina,Europe,44,18,24,0,0
2020/03/16,BA,Bosnia and Herzegovina,Europe,44,18,25,0,0
2020/03/17,BA,Bosnia and Herzegovina,Europe,44,18,26,2,0
2020/03/18,BA,Bosnia and Herzegovina,Europe,44,18,38,2,0
2020/03/19,BA,Bosnia and Herzegovina,Europe,44,18,63,2,0
2020/03/20,BA,Bosnia and Herzegovina,Europe,44,18,89,2,0
2020/03/21,BA,Bosnia and Herzegovina,Europe,44,18,93,2,1
2020/03/22,BA,Bosnia and Herzegovina,Europe,44,18,126,2,1
2020/03/23,BA,Bosnia and Herzegovina,Europe,44,18,136,2,1
2020/03/24,BA,Bosnia and Herzegovina,Europe,44,18,166,2,3
2020/03/25,BA,Bosnia and Herzegovina,Europe,44,18,176,2,3
2020/03/26,BA,Bosnia and Herzegovina,Europe,44,18,191,2,3
2020/03/27,BA,Bosnia and Herzegovina,Europe,44,18,237,5,4
2020/03/28,BA,Bosnia and Herzegovina,Europe,44,18,278,8,6
