day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/23,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/24,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/25,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/26,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/27,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/28,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/29,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/30,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/01/31,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/01,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/02,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/03,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/04,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/05,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/06,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/07,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/08,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/09,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/10,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/11,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/12,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/13,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/14,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/15,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/16,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/17,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/18,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/19,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/20,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/21,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/22,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/23,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/24,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/25,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/26,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/27,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/28,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/02/29,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/01,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/02,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/03,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/04,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/05,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/06,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/07,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/08,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/09,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/10,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/11,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/12,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/13,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/14,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/15,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/16,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/17,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/18,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/19,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/20,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/21,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/22,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/23,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/24,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/25,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/26,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/27,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/28,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/29,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/30,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/03/31,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/04/01,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/04/02,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/04/03,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/04/04,EH,Western Sahara,Africa,24.5,-13,0,0,0
2020/04/05,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/06,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/07,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/08,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/09,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/10,EH,Western Sahara,Africa,24.5,-13,4,0,0
2020/04/11,EH,Western Sahara,Africa,24.5,-13,6,0,0
