day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IS,Iceland,Europe,65,-18,0,0,0
2020/01/23,IS,Iceland,Europe,65,-18,0,0,0
2020/01/24,IS,Iceland,Europe,65,-18,0,0,0
2020/01/25,IS,Iceland,Europe,65,-18,0,0,0
2020/01/26,IS,Iceland,Europe,65,-18,0,0,0
2020/01/27,IS,Iceland,Europe,65,-18,0,0,0
2020/01/28,IS,Iceland,Europe,65,-18,0,0,0
2020/01/29,IS,Iceland,Europe,65,-18,0,0,0
2020/01/30,IS,Iceland,Europe,65,-18,0,0,0
2020/01/31,IS,Iceland,Europe,65,-18,0,0,0
2020/02/01,IS,Iceland,Europe,65,-18,0,0,0
2020/02/02,IS,Iceland,Europe,65,-18,0,0,0
2020/02/03,IS,Iceland,Europe,65,-18,0,0,0
2020/02/04,IS,Iceland,Europe,65,-18,0,0,0
2020/02/05,IS,Iceland,Europe,65,-18,0,0,0
2020/02/06,IS,Iceland,Europe,65,-18,0,0,0
2020/02/07,IS,Iceland,Europe,65,-18,0,0,0
2020/02/08,IS,Iceland,Europe,65,-18,0,0,0
2020/02/09,IS,Iceland,Europe,65,-18,0,0,0
2020/02/10,IS,Iceland,Europe,65,-18,0,0,0
2020/02/11,IS,Iceland,Europe,65,-18,0,0,0
2020/02/12,IS,Iceland,Europe,65,-18,0,0,0
2020/02/13,IS,Iceland,Europe,65,-18,0,0,0
2020/02/14,IS,Iceland,Europe,65,-18,0,0,0
2020/02/15,IS,Iceland,Europe,65,-18,0,0,0
2020/02/16,IS,Iceland,Europe,65,-18,0,0,0
2020/02/17,IS,Iceland,Europe,65,-18,0,0,0
2020/02/18,IS,Iceland,Europe,65,-18,0,0,0
2020/02/19,IS,Iceland,Europe,65,-18,0,0,0
2020/02/20,IS,Iceland,Europe,65,-18,0,0,0
2020/02/21,IS,Iceland,Europe,65,-18,0,0,0
2020/02/22,IS,Iceland,Europe,65,-18,0,0,0
2020/02/23,IS,Iceland,Europe,65,-18,0,0,0
2020/02/24,IS,Iceland,Europe,65,-18,0,0,0
2020/02/25,IS,Iceland,Europe,65,-18,0,0,0
2020/02/26,IS,Iceland,Europe,65,-18,0,0,0
2020/02/27,IS,Iceland,Europe,65,-18,0,0,0
2020/02/28,IS,Iceland,Europe,65,-18,1,0,0
2020/02/29,IS,Iceland,Europe,65,-18,1,0,0
2020/03/01,IS,Iceland,Europe,65,-18,3,0,0
2020/03/02,IS,Iceland,Europe,65,-18,6,0,0
2020/03/03,IS,Iceland,Europe,65,-18,11,0,0
2020/03/04,IS,Iceland,Europe,65,-18,26,0,0
2020/03/05,IS,Iceland,Europe,65,-18,34,0,0
2020/03/06,IS,Iceland,Europe,65,-18,43,0,0
2020/03/07,IS,Iceland,Europe,65,-18,50,0,0
2020/03/08,IS,Iceland,Europe,65,-18,50,0,0
2020/03/09,IS,Iceland,Europe,65,-18,58,0,0
2020/03/10,IS,Iceland,Europe,65,-18,69,1,0
2020/03/11,IS,Iceland,Europe,65,-18,85,1,0
2020/03/12,IS,Iceland,Europe,65,-18,103,1,0
2020/03/13,IS,Iceland,Europe,65,-18,134,1,0
2020/03/14,IS,Iceland,Europe,65,-18,156,1,0
2020/03/15,IS,Iceland,Europe,65,-18,171,5,1
2020/03/16,IS,Iceland,Europe,65,-18,180,5,1
2020/03/17,IS,Iceland,Europe,65,-18,220,5,1
2020/03/18,IS,Iceland,Europe,65,-18,250,5,1
2020/03/19,IS,Iceland,Europe,65,-18,330,5,1
2020/03/20,IS,Iceland,Europe,65,-18,409,5,1
2020/03/21,IS,Iceland,Europe,65,-18,473,5,1
2020/03/22,IS,Iceland,Europe,65,-18,568,5,1
2020/03/23,IS,Iceland,Europe,65,-18,588,51,1
2020/03/24,IS,Iceland,Europe,65,-18,648,51,2
2020/03/25,IS,Iceland,Europe,65,-18,737,56,2
2020/03/26,IS,Iceland,Europe,65,-18,802,82,2
2020/03/27,IS,Iceland,Europe,65,-18,890,97,2
2020/03/28,IS,Iceland,Europe,65,-18,963,114,2
2020/03/29,IS,Iceland,Europe,65,-18,1020,135,2
2020/03/30,IS,Iceland,Europe,65,-18,1086,157,2
2020/03/31,IS,Iceland,Europe,65,-18,1135,198,2
2020/04/01,IS,Iceland,Europe,65,-18,1220,236,2
2020/04/02,IS,Iceland,Europe,65,-18,1319,284,4
2020/04/03,IS,Iceland,Europe,65,-18,1364,309,4
2020/04/04,IS,Iceland,Europe,65,-18,1417,396,4
2020/04/05,IS,Iceland,Europe,65,-18,1486,428,4
2020/04/06,IS,Iceland,Europe,65,-18,1562,460,6
2020/04/07,IS,Iceland,Europe,65,-18,1586,559,6
2020/04/08,IS,Iceland,Europe,65,-18,1616,633,6
2020/04/09,IS,Iceland,Europe,65,-18,1648,688,6
2020/04/10,IS,Iceland,Europe,65,-18,1675,751,7
2020/04/11,IS,Iceland,Europe,65,-18,1689,841,8
2020/04/12,IS,Iceland,Europe,65,-18,1701,889,8
2020/04/13,IS,Iceland,Europe,65,-18,1711,933,8
2020/04/14,IS,Iceland,Europe,65,-18,1720,989,8
2020/04/15,IS,Iceland,Europe,65,-18,1727,1077,8
