day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/23,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/24,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/25,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/26,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/27,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/28,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/29,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/30,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/01/31,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/01,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/02,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/03,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/04,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/05,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/06,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/07,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/08,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/09,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/10,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/11,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/12,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/13,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/14,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/15,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/16,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/17,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/18,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/19,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/20,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/21,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/22,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/23,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/24,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/25,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/26,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/27,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/28,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/02/29,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/01,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/02,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/03,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/04,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/05,SK,Slovakia,Europe,48.66666666,19.5,0,0,0
2020/03/06,SK,Slovakia,Europe,48.66666666,19.5,1,0,0
2020/03/07,SK,Slovakia,Europe,48.66666666,19.5,1,0,0
2020/03/08,SK,Slovakia,Europe,48.66666666,19.5,3,0,0
2020/03/09,SK,Slovakia,Europe,48.66666666,19.5,3,0,0
2020/03/10,SK,Slovakia,Europe,48.66666666,19.5,7,0,0
2020/03/11,SK,Slovakia,Europe,48.66666666,19.5,10,0,0
2020/03/12,SK,Slovakia,Europe,48.66666666,19.5,16,0,0
2020/03/13,SK,Slovakia,Europe,48.66666666,19.5,32,0,0
2020/03/14,SK,Slovakia,Europe,48.66666666,19.5,44,0,0
2020/03/15,SK,Slovakia,Europe,48.66666666,19.5,54,0,0
2020/03/16,SK,Slovakia,Europe,48.66666666,19.5,63,0,0
2020/03/17,SK,Slovakia,Europe,48.66666666,19.5,72,0,0
2020/03/18,SK,Slovakia,Europe,48.66666666,19.5,105,0,0
2020/03/19,SK,Slovakia,Europe,48.66666666,19.5,123,0,0
2020/03/20,SK,Slovakia,Europe,48.66666666,19.5,137,0,0
2020/03/21,SK,Slovakia,Europe,48.66666666,19.5,178,0,0
2020/03/22,SK,Slovakia,Europe,48.66666666,19.5,185,2,0
2020/03/23,SK,Slovakia,Europe,48.66666666,19.5,186,2,0
2020/03/24,SK,Slovakia,Europe,48.66666666,19.5,204,2,0
2020/03/25,SK,Slovakia,Europe,48.66666666,19.5,216,2,0
2020/03/26,SK,Slovakia,Europe,48.66666666,19.5,226,2,0
2020/03/27,SK,Slovakia,Europe,48.66666666,19.5,269,2,0
2020/03/28,SK,Slovakia,Europe,48.66666666,19.5,292,2,0
2020/03/29,SK,Slovakia,Europe,48.66666666,19.5,314,2,0
2020/03/30,SK,Slovakia,Europe,48.66666666,19.5,336,3,0
2020/03/31,SK,Slovakia,Europe,48.66666666,19.5,363,3,0
2020/04/01,SK,Slovakia,Europe,48.66666666,19.5,400,3,1
2020/04/02,SK,Slovakia,Europe,48.66666666,19.5,426,5,1
2020/04/03,SK,Slovakia,Europe,48.66666666,19.5,450,8,1
2020/04/04,SK,Slovakia,Europe,48.66666666,19.5,471,8,1
2020/04/05,SK,Slovakia,Europe,48.66666666,19.5,485,8,1
2020/04/06,SK,Slovakia,Europe,48.66666666,19.5,534,8,2
2020/04/07,SK,Slovakia,Europe,48.66666666,19.5,581,13,2
2020/04/08,SK,Slovakia,Europe,48.66666666,19.5,682,16,2
2020/04/09,SK,Slovakia,Europe,48.66666666,19.5,701,23,2
2020/04/10,SK,Slovakia,Europe,48.66666666,19.5,715,23,2
2020/04/11,SK,Slovakia,Europe,48.66666666,19.5,728,23,2
