day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/23,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/24,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/25,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/26,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/27,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/28,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/29,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/30,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/31,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/01,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/02,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/03,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/04,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/05,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/06,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/07,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/08,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/09,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/10,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/11,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/12,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/13,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/14,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/15,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/16,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/17,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/18,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/19,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/20,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/21,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/22,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/23,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/24,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/25,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/26,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/27,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/28,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/29,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/01,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/02,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/03,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/04,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/05,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/06,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/07,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/08,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/09,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/10,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/11,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/12,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/13,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/14,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/15,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/16,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/17,CI,Ivory Coast,Africa,8,-5,5,1,0
2020/03/18,CI,Ivory Coast,Africa,8,-5,6,1,0
2020/03/19,CI,Ivory Coast,Africa,8,-5,9,1,0
2020/03/20,CI,Ivory Coast,Africa,8,-5,9,1,0
2020/03/21,CI,Ivory Coast,Africa,8,-5,14,1,0
2020/03/22,CI,Ivory Coast,Africa,8,-5,14,1,0
2020/03/23,CI,Ivory Coast,Africa,8,-5,25,2,0
2020/03/24,CI,Ivory Coast,Africa,8,-5,73,2,0
2020/03/25,CI,Ivory Coast,Africa,8,-5,80,3,0
2020/03/26,CI,Ivory Coast,Africa,8,-5,96,3,0
2020/03/27,CI,Ivory Coast,Africa,8,-5,101,3,0
2020/03/28,CI,Ivory Coast,Africa,8,-5,101,3,0
2020/03/29,CI,Ivory Coast,Africa,8,-5,165,4,1
2020/03/30,CI,Ivory Coast,Africa,8,-5,168,6,1
2020/03/31,CI,Ivory Coast,Africa,8,-5,179,7,1
2020/04/01,CI,Ivory Coast,Africa,8,-5,190,9,1
2020/04/02,CI,Ivory Coast,Africa,8,-5,194,15,1
2020/04/03,CI,Ivory Coast,Africa,8,-5,218,19,1
2020/04/04,CI,Ivory Coast,Africa,8,-5,245,25,1
2020/04/05,CI,Ivory Coast,Africa,8,-5,261,37,3
2020/04/06,CI,Ivory Coast,Africa,8,-5,323,41,3
2020/04/07,CI,Ivory Coast,Africa,8,-5,349,41,3
2020/04/08,CI,Ivory Coast,Africa,8,-5,384,48,3
2020/04/09,CI,Ivory Coast,Africa,8,-5,444,52,3
2020/04/10,CI,Ivory Coast,Africa,8,-5,480,54,3
2020/04/11,CI,Ivory Coast,Africa,8,-5,533,58,4
2020/04/12,CI,Ivory Coast,Africa,8,-5,574,85,5
2020/04/13,CI,Ivory Coast,Africa,8,-5,626,89,6
2020/04/14,CI,Ivory Coast,Africa,8,-5,638,114,6
2020/04/15,CI,Ivory Coast,Africa,8,-5,654,146,6
2020/04/16,CI,Ivory Coast,Africa,8,-5,654,146,6
2020/04/17,CI,Ivory Coast,Africa,8,-5,688,193,6
2020/04/18,CI,Ivory Coast,Africa,8,-5,801,239,8
2020/04/19,CI,Ivory Coast,Africa,8,-5,847,260,9
2020/04/20,CI,Ivory Coast,Africa,8,-5,847,260,9
2020/04/21,CI,Ivory Coast,Africa,8,-5,916,303,13
2020/04/22,CI,Ivory Coast,Africa,8,-5,952,310,14
2020/04/23,CI,Ivory Coast,Africa,8,-5,1004,359,14
2020/04/24,CI,Ivory Coast,Africa,8,-5,1077,419,14
2020/04/25,CI,Ivory Coast,Africa,8,-5,1077,419,14
2020/04/26,CI,Ivory Coast,Africa,8,-5,1150,468,14
2020/04/27,CI,Ivory Coast,Africa,8,-5,1164,499,14
2020/04/28,CI,Ivory Coast,Africa,8,-5,1183,525,14
2020/04/29,CI,Ivory Coast,Africa,8,-5,1238,557,14
2020/04/30,CI,Ivory Coast,Africa,8,-5,1275,574,14
2020/05/01,CI,Ivory Coast,Africa,8,-5,1333,597,15
2020/05/02,CI,Ivory Coast,Africa,8,-5,1362,622,15
2020/05/03,CI,Ivory Coast,Africa,8,-5,1398,653,17
2020/05/04,CI,Ivory Coast,Africa,8,-5,1432,693,17
2020/05/05,CI,Ivory Coast,Africa,8,-5,1464,701,18
2020/05/06,CI,Ivory Coast,Africa,8,-5,1516,721,18
2020/05/07,CI,Ivory Coast,Africa,8,-5,1516,721,18
2020/05/08,CI,Ivory Coast,Africa,8,-5,1602,754,20
2020/05/09,CI,Ivory Coast,Africa,8,-5,1667,769,21
2020/05/10,CI,Ivory Coast,Africa,8,-5,1700,794,21
2020/05/11,CI,Ivory Coast,Africa,8,-5,1730,818,21
2020/05/12,CI,Ivory Coast,Africa,8,-5,1857,820,21
2020/05/13,CI,Ivory Coast,Africa,8,-5,1912,902,24
2020/05/14,CI,Ivory Coast,Africa,8,-5,1971,930,24
2020/05/15,CI,Ivory Coast,Africa,8,-5,2017,942,24
2020/05/16,CI,Ivory Coast,Africa,8,-5,2061,987,25
2020/05/17,CI,Ivory Coast,Africa,8,-5,2109,1004,27
2020/05/18,CI,Ivory Coast,Africa,8,-5,2119,1040,28
2020/05/19,CI,Ivory Coast,Africa,8,-5,2153,1050,28
2020/05/20,CI,Ivory Coast,Africa,8,-5,2231,1083,29
2020/05/21,CI,Ivory Coast,Africa,8,-5,2301,1100,29
2020/05/22,CI,Ivory Coast,Africa,8,-5,2341,1146,29
2020/05/23,CI,Ivory Coast,Africa,8,-5,2366,1188,30
2020/05/24,CI,Ivory Coast,Africa,8,-5,2376,1219,30
2020/05/25,CI,Ivory Coast,Africa,8,-5,2423,1257,30
2020/05/26,CI,Ivory Coast,Africa,8,-5,2477,1286,30
2020/05/27,CI,Ivory Coast,Africa,8,-5,2556,1302,31
2020/05/28,CI,Ivory Coast,Africa,8,-5,2641,1326,32
2020/05/29,CI,Ivory Coast,Africa,8,-5,2750,1370,32
2020/05/30,CI,Ivory Coast,Africa,8,-5,2799,1385,33
2020/05/31,CI,Ivory Coast,Africa,8,-5,2833,1435,33
2020/06/01,CI,Ivory Coast,Africa,8,-5,2951,1467,33
2020/06/02,CI,Ivory Coast,Africa,8,-5,3024,1501,33
2020/06/03,CI,Ivory Coast,Africa,8,-5,3110,1530,35
2020/06/04,CI,Ivory Coast,Africa,8,-5,3262,1584,35
2020/06/05,CI,Ivory Coast,Africa,8,-5,3431,1604,36
2020/06/06,CI,Ivory Coast,Africa,8,-5,3557,1750,36
2020/06/07,CI,Ivory Coast,Africa,8,-5,3739,1818,36
2020/06/08,CI,Ivory Coast,Africa,8,-5,3881,1869,38
2020/06/09,CI,Ivory Coast,Africa,8,-5,3995,2045,38
2020/06/10,CI,Ivory Coast,Africa,8,-5,4181,2174,41
2020/06/11,CI,Ivory Coast,Africa,8,-5,4404,2212,41
2020/06/12,CI,Ivory Coast,Africa,8,-5,4684,2263,45
2020/06/13,CI,Ivory Coast,Africa,8,-5,4848,2397,45
2020/06/14,CI,Ivory Coast,Africa,8,-5,5084,2505,45
2020/06/15,CI,Ivory Coast,Africa,8,-5,5439,2590,46
2020/06/16,CI,Ivory Coast,Africa,8,-5,5679,2637,46
2020/06/17,CI,Ivory Coast,Africa,8,-5,6063,2749,48
2020/06/18,CI,Ivory Coast,Africa,8,-5,6444,2863,49
2020/06/19,CI,Ivory Coast,Africa,8,-5,6874,2942,49
2020/06/20,CI,Ivory Coast,Africa,8,-5,7276,2992,52
2020/06/21,CI,Ivory Coast,Africa,8,-5,7492,3068,54
2020/06/22,CI,Ivory Coast,Africa,8,-5,7677,3493,56
2020/06/23,CI,Ivory Coast,Africa,8,-5,7904,3182,58
2020/06/24,CI,Ivory Coast,Africa,8,-5,8164,3419,58
2020/06/25,CI,Ivory Coast,Africa,8,-5,8334,3487,60
2020/06/26,CI,Ivory Coast,Africa,8,-5,8739,3587,64
2020/06/27,CI,Ivory Coast,Africa,8,-5,8944,3722,66
2020/06/28,CI,Ivory Coast,Africa,8,-5,9101,3808,66
2020/06/29,CI,Ivory Coast,Africa,8,-5,9214,3996,66
2020/06/30,CI,Ivory Coast,Africa,8,-5,9499,4273,68
2020/07/01,CI,Ivory Coast,Africa,8,-5,9702,4381,68
2020/07/02,CI,Ivory Coast,Africa,8,-5,9992,4660,68
2020/07/03,CI,Ivory Coast,Africa,8,-5,10244,4726,70
2020/07/04,CI,Ivory Coast,Africa,8,-5,10462,4807,72
2020/07/05,CI,Ivory Coast,Africa,8,-5,10772,5067,74
2020/07/06,CI,Ivory Coast,Africa,8,-5,10966,5384,75
2020/07/07,CI,Ivory Coast,Africa,8,-5,11194,5487,76
2020/07/08,CI,Ivory Coast,Africa,8,-5,11504,5571,78
2020/07/09,CI,Ivory Coast,Africa,8,-5,11750,5752,79
2020/07/10,CI,Ivory Coast,Africa,8,-5,12052,6080,81
2020/07/11,CI,Ivory Coast,Africa,8,-5,12443,6357,82
2020/07/12,CI,Ivory Coast,Africa,8,-5,12766,6654,84
2020/07/13,CI,Ivory Coast,Africa,8,-5,12872,6810,84
2020/07/14,CI,Ivory Coast,Africa,8,-5,13037,6908,87
2020/07/15,CI,Ivory Coast,Africa,8,-5,13403,7146,87
2020/07/16,CI,Ivory Coast,Africa,8,-5,13554,7363,87
2020/07/17,CI,Ivory Coast,Africa,8,-5,13696,7607,87
2020/07/18,CI,Ivory Coast,Africa,8,-5,13912,8000,91
2020/07/19,CI,Ivory Coast,Africa,8,-5,14119,8366,92
2020/07/20,CI,Ivory Coast,Africa,8,-5,14312,8659,92
2020/07/21,CI,Ivory Coast,Africa,8,-5,14531,8857,93
2020/07/22,CI,Ivory Coast,Africa,8,-5,14733,8995,93
2020/07/23,CI,Ivory Coast,Africa,8,-5,15001,9282,93
2020/07/24,CI,Ivory Coast,Africa,8,-5,15253,9499,94
2020/07/25,CI,Ivory Coast,Africa,8,-5,15494,9880,94
2020/07/26,CI,Ivory Coast,Africa,8,-5,15596,10178,96
2020/07/27,CI,Ivory Coast,Africa,8,-5,15655,10361,96
2020/07/28,CI,Ivory Coast,Africa,8,-5,15713,10537,98
2020/07/29,CI,Ivory Coast,Africa,8,-5,15813,10793,99
2020/07/30,CI,Ivory Coast,Africa,8,-5,15978,11160,100
2020/07/31,CI,Ivory Coast,Africa,8,-5,16047,11428,102
2020/08/01,CI,Ivory Coast,Africa,8,-5,16109,11750,102
2020/08/02,CI,Ivory Coast,Africa,8,-5,16182,11801,102
2020/08/03,CI,Ivory Coast,Africa,8,-5,16220,11887,102
2020/08/04,CI,Ivory Coast,Africa,8,-5,16293,11955,103
2020/08/05,CI,Ivory Coast,Africa,8,-5,16349,12191,103
2020/08/06,CI,Ivory Coast,Africa,8,-5,16447,12484,103
2020/08/07,CI,Ivory Coast,Africa,8,-5,16524,12802,104
2020/08/08,CI,Ivory Coast,Africa,8,-5,16620,12893,104
2020/08/09,CI,Ivory Coast,Africa,8,-5,16715,12926,105
2020/08/10,CI,Ivory Coast,Africa,8,-5,16798,13052,105
2020/08/11,CI,Ivory Coast,Africa,8,-5,16847,13321,105
2020/08/12,CI,Ivory Coast,Africa,8,-5,16847,13321,105
2020/08/13,CI,Ivory Coast,Africa,8,-5,16889,13522,107
2020/08/14,CI,Ivory Coast,Africa,8,-5,16935,13721,108
2020/08/15,CI,Ivory Coast,Africa,8,-5,16993,13759,108
2020/08/16,CI,Ivory Coast,Africa,8,-5,17026,13947,110
2020/08/17,CI,Ivory Coast,Africa,8,-5,17107,13990,110
2020/08/18,CI,Ivory Coast,Africa,8,-5,17150,14183,110
2020/08/19,CI,Ivory Coast,Africa,8,-5,17232,14422,111
2020/08/20,CI,Ivory Coast,Africa,8,-5,17249,14611,112
2020/08/21,CI,Ivory Coast,Africa,8,-5,17310,14820,112
2020/08/22,CI,Ivory Coast,Africa,8,-5,17374,15106,113
2020/08/23,CI,Ivory Coast,Africa,8,-5,17471,15301,113
2020/08/24,CI,Ivory Coast,Africa,8,-5,17506,15633,114
2020/08/25,CI,Ivory Coast,Africa,8,-5,17562,15908,114
2020/08/26,CI,Ivory Coast,Africa,8,-5,17603,15941,114
2020/08/27,CI,Ivory Coast,Africa,8,-5,17702,16139,115
2020/08/28,CI,Ivory Coast,Africa,8,-5,17797,16315,115
2020/08/29,CI,Ivory Coast,Africa,8,-5,17893,16440,115
2020/08/30,CI,Ivory Coast,Africa,8,-5,17948,16553,115
2020/08/31,CI,Ivory Coast,Africa,8,-5,18067,16699,117
2020/09/01,CI,Ivory Coast,Africa,8,-5,18103,16814,117
2020/09/02,CI,Ivory Coast,Africa,8,-5,18161,16933,117
2020/09/03,CI,Ivory Coast,Africa,8,-5,18208,17045,119
2020/09/04,CI,Ivory Coast,Africa,8,-5,18269,17162,119
2020/09/05,CI,Ivory Coast,Africa,8,-5,18472,17323,119
2020/09/06,CI,Ivory Coast,Africa,8,-5,18588,17472,119
2020/09/07,CI,Ivory Coast,Africa,8,-5,18701,17599,119
2020/09/08,CI,Ivory Coast,Africa,8,-5,18778,17688,119
2020/09/09,CI,Ivory Coast,Africa,8,-5,18815,17770,119
2020/09/10,CI,Ivory Coast,Africa,8,-5,18869,17884,119
2020/09/11,CI,Ivory Coast,Africa,8,-5,18916,17960,119
2020/09/12,CI,Ivory Coast,Africa,8,-5,18916,17960,119
2020/09/13,CI,Ivory Coast,Africa,8,-5,19013,18112,120
2020/09/14,CI,Ivory Coast,Africa,8,-5,19066,18174,120
2020/09/15,CI,Ivory Coast,Africa,8,-5,19100,18228,120
2020/09/16,CI,Ivory Coast,Africa,8,-5,19132,18289,120
2020/09/17,CI,Ivory Coast,Africa,8,-5,19158,18330,120
2020/09/18,CI,Ivory Coast,Africa,8,-5,19200,18392,120
2020/09/19,CI,Ivory Coast,Africa,8,-5,19269,18392,120
2020/09/20,CI,Ivory Coast,Africa,8,-5,19320,18460,120
2020/09/21,CI,Ivory Coast,Africa,8,-5,19327,18630,120
2020/09/22,CI,Ivory Coast,Africa,8,-5,19343,18682,120
2020/09/23,CI,Ivory Coast,Africa,8,-5,19430,18875,120
2020/09/24,CI,Ivory Coast,Africa,8,-5,19501,19003,120
2020/09/25,CI,Ivory Coast,Africa,8,-5,19556,19065,120
2020/09/26,CI,Ivory Coast,Africa,8,-5,19600,19122,120
2020/09/27,CI,Ivory Coast,Africa,8,-5,19629,19163,120
2020/09/28,CI,Ivory Coast,Africa,8,-5,19641,19202,120
2020/09/29,CI,Ivory Coast,Africa,8,-5,19669,19241,120
2020/09/30,CI,Ivory Coast,Africa,8,-5,19724,19291,120
2020/10/01,CI,Ivory Coast,Africa,8,-5,19755,19320,120
2020/10/02,CI,Ivory Coast,Africa,8,-5,19793,19357,120
2020/10/03,CI,Ivory Coast,Africa,8,-5,19849,19421,120
2020/10/04,CI,Ivory Coast,Africa,8,-5,19882,19449,120
2020/10/05,CI,Ivory Coast,Africa,8,-5,19885,19490,120
2020/10/06,CI,Ivory Coast,Africa,8,-5,19903,19539,120
2020/10/07,CI,Ivory Coast,Africa,8,-5,19935,19550,120
2020/10/08,CI,Ivory Coast,Africa,8,-5,19982,19626,120
2020/10/09,CI,Ivory Coast,Africa,8,-5,20036,19696,120
