day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/23,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/24,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/25,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/26,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/27,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/28,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/29,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/30,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/01/31,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/01,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/02,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/03,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/04,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/05,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/06,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/07,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/08,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/09,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/10,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/11,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/12,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/13,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/14,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/15,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/16,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/17,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/18,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/19,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/20,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/21,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/22,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/23,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/24,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/25,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/26,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/27,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/28,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/02/29,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/01,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/02,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/03,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/04,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/05,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/06,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/07,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/08,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/09,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/10,CI,Ivory Coast,Africa,8,-5,0,0,0
2020/03/11,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/12,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/13,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/14,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/15,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/16,CI,Ivory Coast,Africa,8,-5,1,0,0
2020/03/17,CI,Ivory Coast,Africa,8,-5,5,1,0
2020/03/18,CI,Ivory Coast,Africa,8,-5,6,1,0
2020/03/19,CI,Ivory Coast,Africa,8,-5,9,1,0
2020/03/20,CI,Ivory Coast,Africa,8,-5,9,1,0
2020/03/21,CI,Ivory Coast,Africa,8,-5,14,1,0
2020/03/22,CI,Ivory Coast,Africa,8,-5,14,1,0
2020/03/23,CI,Ivory Coast,Africa,8,-5,25,2,0
2020/03/24,CI,Ivory Coast,Africa,8,-5,73,2,0
2020/03/25,CI,Ivory Coast,Africa,8,-5,80,3,0
2020/03/26,CI,Ivory Coast,Africa,8,-5,96,3,0
2020/03/27,CI,Ivory Coast,Africa,8,-5,101,3,0
2020/03/28,CI,Ivory Coast,Africa,8,-5,101,3,0
2020/03/29,CI,Ivory Coast,Africa,8,-5,165,4,1
2020/03/30,CI,Ivory Coast,Africa,8,-5,168,6,1
2020/03/31,CI,Ivory Coast,Africa,8,-5,179,7,1
2020/04/01,CI,Ivory Coast,Africa,8,-5,190,9,1
2020/04/02,CI,Ivory Coast,Africa,8,-5,194,15,1
2020/04/03,CI,Ivory Coast,Africa,8,-5,218,19,1
2020/04/04,CI,Ivory Coast,Africa,8,-5,245,25,1
2020/04/05,CI,Ivory Coast,Africa,8,-5,261,37,3
2020/04/06,CI,Ivory Coast,Africa,8,-5,323,41,3
2020/04/07,CI,Ivory Coast,Africa,8,-5,349,41,3
2020/04/08,CI,Ivory Coast,Africa,8,-5,384,48,3
2020/04/09,CI,Ivory Coast,Africa,8,-5,444,52,3
2020/04/10,CI,Ivory Coast,Africa,8,-5,480,54,3
2020/04/11,CI,Ivory Coast,Africa,8,-5,533,58,4
2020/04/12,CI,Ivory Coast,Africa,8,-5,574,85,5
2020/04/13,CI,Ivory Coast,Africa,8,-5,626,89,6
2020/04/14,CI,Ivory Coast,Africa,8,-5,638,114,6
2020/04/15,CI,Ivory Coast,Africa,8,-5,654,146,6
2020/04/16,CI,Ivory Coast,Africa,8,-5,654,146,6
2020/04/17,CI,Ivory Coast,Africa,8,-5,688,193,6
2020/04/18,CI,Ivory Coast,Africa,8,-5,801,239,8
2020/04/19,CI,Ivory Coast,Africa,8,-5,847,260,9
2020/04/20,CI,Ivory Coast,Africa,8,-5,847,260,9
2020/04/21,CI,Ivory Coast,Africa,8,-5,916,303,13
2020/04/22,CI,Ivory Coast,Africa,8,-5,952,310,14
2020/04/23,CI,Ivory Coast,Africa,8,-5,1004,359,14
2020/04/24,CI,Ivory Coast,Africa,8,-5,1077,419,14
2020/04/25,CI,Ivory Coast,Africa,8,-5,1077,419,14
2020/04/26,CI,Ivory Coast,Africa,8,-5,1150,468,14
2020/04/27,CI,Ivory Coast,Africa,8,-5,1164,499,14
2020/04/28,CI,Ivory Coast,Africa,8,-5,1183,525,14
2020/04/29,CI,Ivory Coast,Africa,8,-5,1238,557,14
2020/04/30,CI,Ivory Coast,Africa,8,-5,1275,574,14
2020/05/01,CI,Ivory Coast,Africa,8,-5,1333,597,15
2020/05/02,CI,Ivory Coast,Africa,8,-5,1362,622,15
2020/05/03,CI,Ivory Coast,Africa,8,-5,1398,653,17
2020/05/04,CI,Ivory Coast,Africa,8,-5,1432,693,17
2020/05/05,CI,Ivory Coast,Africa,8,-5,1464,701,18
2020/05/06,CI,Ivory Coast,Africa,8,-5,1516,721,18
2020/05/07,CI,Ivory Coast,Africa,8,-5,1516,721,18
2020/05/08,CI,Ivory Coast,Africa,8,-5,1602,754,20
2020/05/09,CI,Ivory Coast,Africa,8,-5,1667,769,21
2020/05/10,CI,Ivory Coast,Africa,8,-5,1700,794,21
2020/05/11,CI,Ivory Coast,Africa,8,-5,1730,818,21
2020/05/12,CI,Ivory Coast,Africa,8,-5,1857,820,21
2020/05/13,CI,Ivory Coast,Africa,8,-5,1912,902,24
2020/05/14,CI,Ivory Coast,Africa,8,-5,1971,930,24
2020/05/15,CI,Ivory Coast,Africa,8,-5,2017,942,24
2020/05/16,CI,Ivory Coast,Africa,8,-5,2061,987,25
2020/05/17,CI,Ivory Coast,Africa,8,-5,2109,1004,27
2020/05/18,CI,Ivory Coast,Africa,8,-5,2119,1040,28
2020/05/19,CI,Ivory Coast,Africa,8,-5,2153,1050,28
2020/05/20,CI,Ivory Coast,Africa,8,-5,2231,1083,29
2020/05/21,CI,Ivory Coast,Africa,8,-5,2301,1100,29
2020/05/22,CI,Ivory Coast,Africa,8,-5,2341,1146,29
2020/05/23,CI,Ivory Coast,Africa,8,-5,2366,1188,30
2020/05/24,CI,Ivory Coast,Africa,8,-5,2376,1219,30
2020/05/25,CI,Ivory Coast,Africa,8,-5,2423,1257,30
2020/05/26,CI,Ivory Coast,Africa,8,-5,2477,1286,30
2020/05/27,CI,Ivory Coast,Africa,8,-5,2556,1302,31
2020/05/28,CI,Ivory Coast,Africa,8,-5,2641,1326,32
2020/05/29,CI,Ivory Coast,Africa,8,-5,2750,1370,32
2020/05/30,CI,Ivory Coast,Africa,8,-5,2799,1385,33
2020/05/31,CI,Ivory Coast,Africa,8,-5,2833,1435,33
2020/06/01,CI,Ivory Coast,Africa,8,-5,2951,1467,33
2020/06/02,CI,Ivory Coast,Africa,8,-5,3024,1501,33
2020/06/03,CI,Ivory Coast,Africa,8,-5,3110,1530,35
