day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/23,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/24,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/25,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/26,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/27,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/28,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/29,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/30,BI,Burundi,Africa,-3.5,30,0,0,0
2020/01/31,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/01,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/02,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/03,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/04,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/05,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/06,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/07,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/08,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/09,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/10,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/11,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/12,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/13,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/14,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/15,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/16,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/17,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/18,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/19,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/20,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/21,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/22,BI,Burundi,Africa,-3.5,30,0,0,0
2020/02/23,BI,Burundi,Africa,-3.5,30,0,0,0
