day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,RO,Romania,Europe,46,25,0,0,0
2020/01/23,RO,Romania,Europe,46,25,0,0,0
2020/01/24,RO,Romania,Europe,46,25,0,0,0
2020/01/25,RO,Romania,Europe,46,25,0,0,0
2020/01/26,RO,Romania,Europe,46,25,0,0,0
2020/01/27,RO,Romania,Europe,46,25,0,0,0
2020/01/28,RO,Romania,Europe,46,25,0,0,0
2020/01/29,RO,Romania,Europe,46,25,0,0,0
2020/01/30,RO,Romania,Europe,46,25,0,0,0
2020/01/31,RO,Romania,Europe,46,25,0,0,0
2020/02/01,RO,Romania,Europe,46,25,0,0,0
2020/02/02,RO,Romania,Europe,46,25,0,0,0
2020/02/03,RO,Romania,Europe,46,25,0,0,0
2020/02/04,RO,Romania,Europe,46,25,0,0,0
2020/02/05,RO,Romania,Europe,46,25,0,0,0
2020/02/06,RO,Romania,Europe,46,25,0,0,0
2020/02/07,RO,Romania,Europe,46,25,0,0,0
2020/02/08,RO,Romania,Europe,46,25,0,0,0
2020/02/09,RO,Romania,Europe,46,25,0,0,0
2020/02/10,RO,Romania,Europe,46,25,0,0,0
2020/02/11,RO,Romania,Europe,46,25,0,0,0
2020/02/12,RO,Romania,Europe,46,25,0,0,0
2020/02/13,RO,Romania,Europe,46,25,0,0,0
2020/02/14,RO,Romania,Europe,46,25,0,0,0
2020/02/15,RO,Romania,Europe,46,25,0,0,0
2020/02/16,RO,Romania,Europe,46,25,0,0,0
2020/02/17,RO,Romania,Europe,46,25,0,0,0
2020/02/18,RO,Romania,Europe,46,25,0,0,0
2020/02/19,RO,Romania,Europe,46,25,0,0,0
2020/02/20,RO,Romania,Europe,46,25,0,0,0
2020/02/21,RO,Romania,Europe,46,25,0,0,0
2020/02/22,RO,Romania,Europe,46,25,0,0,0
2020/02/23,RO,Romania,Europe,46,25,0,0,0
2020/02/24,RO,Romania,Europe,46,25,0,0,0
2020/02/25,RO,Romania,Europe,46,25,0,0,0
2020/02/26,RO,Romania,Europe,46,25,1,0,0
2020/02/27,RO,Romania,Europe,46,25,1,0,0
2020/02/28,RO,Romania,Europe,46,25,3,0,0
2020/02/29,RO,Romania,Europe,46,25,3,0,0
2020/03/01,RO,Romania,Europe,46,25,3,0,0
2020/03/02,RO,Romania,Europe,46,25,3,0,0
2020/03/03,RO,Romania,Europe,46,25,3,0,0
2020/03/04,RO,Romania,Europe,46,25,4,1,0
2020/03/05,RO,Romania,Europe,46,25,6,1,0
2020/03/06,RO,Romania,Europe,46,25,9,1,0
2020/03/07,RO,Romania,Europe,46,25,9,3,0
2020/03/08,RO,Romania,Europe,46,25,15,3,0
2020/03/09,RO,Romania,Europe,46,25,15,3,0
2020/03/10,RO,Romania,Europe,46,25,25,3,0
2020/03/11,RO,Romania,Europe,46,25,45,6,0
2020/03/12,RO,Romania,Europe,46,25,49,6,0
2020/03/13,RO,Romania,Europe,46,25,89,7,0
2020/03/14,RO,Romania,Europe,46,25,123,9,0
2020/03/15,RO,Romania,Europe,46,25,131,9,0
2020/03/16,RO,Romania,Europe,46,25,158,9,0
2020/03/17,RO,Romania,Europe,46,25,184,16,0
2020/03/18,RO,Romania,Europe,46,25,260,19,0
2020/03/19,RO,Romania,Europe,46,25,277,25,0
2020/03/20,RO,Romania,Europe,46,25,308,25,0
2020/03/21,RO,Romania,Europe,46,25,367,52,0
2020/03/22,RO,Romania,Europe,46,25,433,64,3
2020/03/23,RO,Romania,Europe,46,25,576,73,7
2020/03/24,RO,Romania,Europe,46,25,794,79,12
2020/03/25,RO,Romania,Europe,46,25,906,86,17
2020/03/26,RO,Romania,Europe,46,25,1029,94,23
2020/03/27,RO,Romania,Europe,46,25,1292,115,26
