day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,RO,Romania,Europe,46,25,0,0,0
2020/01/23,RO,Romania,Europe,46,25,0,0,0
2020/01/24,RO,Romania,Europe,46,25,0,0,0
2020/01/25,RO,Romania,Europe,46,25,0,0,0
2020/01/26,RO,Romania,Europe,46,25,0,0,0
2020/01/27,RO,Romania,Europe,46,25,0,0,0
2020/01/28,RO,Romania,Europe,46,25,0,0,0
2020/01/29,RO,Romania,Europe,46,25,0,0,0
2020/01/30,RO,Romania,Europe,46,25,0,0,0
2020/01/31,RO,Romania,Europe,46,25,0,0,0
2020/02/01,RO,Romania,Europe,46,25,0,0,0
2020/02/02,RO,Romania,Europe,46,25,0,0,0
2020/02/03,RO,Romania,Europe,46,25,0,0,0
2020/02/04,RO,Romania,Europe,46,25,0,0,0
2020/02/05,RO,Romania,Europe,46,25,0,0,0
2020/02/06,RO,Romania,Europe,46,25,0,0,0
2020/02/07,RO,Romania,Europe,46,25,0,0,0
2020/02/08,RO,Romania,Europe,46,25,0,0,0
2020/02/09,RO,Romania,Europe,46,25,0,0,0
2020/02/10,RO,Romania,Europe,46,25,0,0,0
2020/02/11,RO,Romania,Europe,46,25,0,0,0
2020/02/12,RO,Romania,Europe,46,25,0,0,0
2020/02/13,RO,Romania,Europe,46,25,0,0,0
2020/02/14,RO,Romania,Europe,46,25,0,0,0
2020/02/15,RO,Romania,Europe,46,25,0,0,0
2020/02/16,RO,Romania,Europe,46,25,0,0,0
2020/02/17,RO,Romania,Europe,46,25,0,0,0
2020/02/18,RO,Romania,Europe,46,25,0,0,0
2020/02/19,RO,Romania,Europe,46,25,0,0,0
2020/02/20,RO,Romania,Europe,46,25,0,0,0
2020/02/21,RO,Romania,Europe,46,25,0,0,0
2020/02/22,RO,Romania,Europe,46,25,0,0,0
2020/02/23,RO,Romania,Europe,46,25,0,0,0
2020/02/24,RO,Romania,Europe,46,25,0,0,0
2020/02/25,RO,Romania,Europe,46,25,0,0,0
2020/02/26,RO,Romania,Europe,46,25,1,0,0
2020/02/27,RO,Romania,Europe,46,25,1,0,0
2020/02/28,RO,Romania,Europe,46,25,3,0,0
2020/02/29,RO,Romania,Europe,46,25,3,0,0
2020/03/01,RO,Romania,Europe,46,25,3,0,0
2020/03/02,RO,Romania,Europe,46,25,3,0,0
2020/03/03,RO,Romania,Europe,46,25,3,0,0
2020/03/04,RO,Romania,Europe,46,25,4,1,0
2020/03/05,RO,Romania,Europe,46,25,6,1,0
2020/03/06,RO,Romania,Europe,46,25,9,1,0
2020/03/07,RO,Romania,Europe,46,25,9,3,0
2020/03/08,RO,Romania,Europe,46,25,15,3,0
2020/03/09,RO,Romania,Europe,46,25,15,3,0
2020/03/10,RO,Romania,Europe,46,25,25,3,0
2020/03/11,RO,Romania,Europe,46,25,45,6,0
2020/03/12,RO,Romania,Europe,46,25,49,6,0
2020/03/13,RO,Romania,Europe,46,25,89,7,0
2020/03/14,RO,Romania,Europe,46,25,123,9,0
2020/03/15,RO,Romania,Europe,46,25,131,9,0
2020/03/16,RO,Romania,Europe,46,25,158,9,0
2020/03/17,RO,Romania,Europe,46,25,184,16,0
2020/03/18,RO,Romania,Europe,46,25,260,19,0
2020/03/19,RO,Romania,Europe,46,25,277,25,0
2020/03/20,RO,Romania,Europe,46,25,308,25,0
2020/03/21,RO,Romania,Europe,46,25,367,52,0
2020/03/22,RO,Romania,Europe,46,25,433,64,3
2020/03/23,RO,Romania,Europe,46,25,576,73,7
2020/03/24,RO,Romania,Europe,46,25,794,79,12
2020/03/25,RO,Romania,Europe,46,25,906,86,17
2020/03/26,RO,Romania,Europe,46,25,1029,94,23
2020/03/27,RO,Romania,Europe,46,25,1292,115,26
2020/03/28,RO,Romania,Europe,46,25,1452,139,37
2020/03/29,RO,Romania,Europe,46,25,1815,206,43
2020/03/30,RO,Romania,Europe,46,25,2109,209,65
2020/03/31,RO,Romania,Europe,46,25,2245,220,82
2020/04/01,RO,Romania,Europe,46,25,2460,252,92
2020/04/02,RO,Romania,Europe,46,25,2738,267,115
2020/04/03,RO,Romania,Europe,46,25,3183,283,133
2020/04/04,RO,Romania,Europe,46,25,3613,329,146
2020/04/05,RO,Romania,Europe,46,25,3864,374,151
2020/04/06,RO,Romania,Europe,46,25,4057,406,176
2020/04/07,RO,Romania,Europe,46,25,4417,460,197
2020/04/08,RO,Romania,Europe,46,25,4761,528,220
2020/04/09,RO,Romania,Europe,46,25,5202,647,248
2020/04/10,RO,Romania,Europe,46,25,5467,729,270
2020/04/11,RO,Romania,Europe,46,25,5990,758,291
2020/04/12,RO,Romania,Europe,46,25,6300,852,316
2020/04/13,RO,Romania,Europe,46,25,6633,914,331
2020/04/14,RO,Romania,Europe,46,25,6879,1051,351
2020/04/15,RO,Romania,Europe,46,25,7216,1217,372
2020/04/16,RO,Romania,Europe,46,25,7707,1357,392
2020/04/17,RO,Romania,Europe,46,25,8067,1508,411
2020/04/18,RO,Romania,Europe,46,25,8418,1730,421
2020/04/19,RO,Romania,Europe,46,25,8746,1892,451
2020/04/20,RO,Romania,Europe,46,25,8936,2017,478
