day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/23,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/24,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/25,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/26,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/27,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/28,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/29,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/30,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/01/31,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/01,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/02,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/03,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/04,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/05,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/06,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/07,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/08,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/09,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/10,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/11,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/12,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/13,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/14,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/15,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/16,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/17,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/18,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/19,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/20,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/21,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/22,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/23,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/24,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/25,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/26,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
2020/02/27,KM,Comoros,Africa,-12.16666666,44.25,0,0,0
