day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TR,Turkey,Asia,39,35,0,0,0
2020/01/23,TR,Turkey,Asia,39,35,0,0,0
2020/01/24,TR,Turkey,Asia,39,35,0,0,0
2020/01/25,TR,Turkey,Asia,39,35,0,0,0
2020/01/26,TR,Turkey,Asia,39,35,0,0,0
2020/01/27,TR,Turkey,Asia,39,35,0,0,0
2020/01/28,TR,Turkey,Asia,39,35,0,0,0
2020/01/29,TR,Turkey,Asia,39,35,0,0,0
2020/01/30,TR,Turkey,Asia,39,35,0,0,0
2020/01/31,TR,Turkey,Asia,39,35,0,0,0
2020/02/01,TR,Turkey,Asia,39,35,0,0,0
2020/02/02,TR,Turkey,Asia,39,35,0,0,0
2020/02/03,TR,Turkey,Asia,39,35,0,0,0
2020/02/04,TR,Turkey,Asia,39,35,0,0,0
2020/02/05,TR,Turkey,Asia,39,35,0,0,0
2020/02/06,TR,Turkey,Asia,39,35,0,0,0
2020/02/07,TR,Turkey,Asia,39,35,0,0,0
2020/02/08,TR,Turkey,Asia,39,35,0,0,0
2020/02/09,TR,Turkey,Asia,39,35,0,0,0
2020/02/10,TR,Turkey,Asia,39,35,0,0,0
2020/02/11,TR,Turkey,Asia,39,35,0,0,0
2020/02/12,TR,Turkey,Asia,39,35,0,0,0
2020/02/13,TR,Turkey,Asia,39,35,0,0,0
2020/02/14,TR,Turkey,Asia,39,35,0,0,0
2020/02/15,TR,Turkey,Asia,39,35,0,0,0
2020/02/16,TR,Turkey,Asia,39,35,0,0,0
2020/02/17,TR,Turkey,Asia,39,35,0,0,0
2020/02/18,TR,Turkey,Asia,39,35,0,0,0
2020/02/19,TR,Turkey,Asia,39,35,0,0,0
2020/02/20,TR,Turkey,Asia,39,35,0,0,0
2020/02/21,TR,Turkey,Asia,39,35,0,0,0
2020/02/22,TR,Turkey,Asia,39,35,0,0,0
2020/02/23,TR,Turkey,Asia,39,35,0,0,0
2020/02/24,TR,Turkey,Asia,39,35,0,0,0
2020/02/25,TR,Turkey,Asia,39,35,0,0,0
2020/02/26,TR,Turkey,Asia,39,35,0,0,0
2020/02/27,TR,Turkey,Asia,39,35,0,0,0
2020/02/28,TR,Turkey,Asia,39,35,0,0,0
2020/02/29,TR,Turkey,Asia,39,35,0,0,0
2020/03/01,TR,Turkey,Asia,39,35,0,0,0
2020/03/02,TR,Turkey,Asia,39,35,0,0,0
2020/03/03,TR,Turkey,Asia,39,35,0,0,0
2020/03/04,TR,Turkey,Asia,39,35,0,0,0
2020/03/05,TR,Turkey,Asia,39,35,0,0,0
2020/03/06,TR,Turkey,Asia,39,35,0,0,0
2020/03/07,TR,Turkey,Asia,39,35,0,0,0
2020/03/08,TR,Turkey,Asia,39,35,0,0,0
2020/03/09,TR,Turkey,Asia,39,35,0,0,0
2020/03/10,TR,Turkey,Asia,39,35,0,0,0
2020/03/11,TR,Turkey,Asia,39,35,1,0,0
2020/03/12,TR,Turkey,Asia,39,35,1,0,0
2020/03/13,TR,Turkey,Asia,39,35,2,0,0
2020/03/14,TR,Turkey,Asia,39,35,5,0,0
2020/03/15,TR,Turkey,Asia,39,35,6,0,0
2020/03/16,TR,Turkey,Asia,39,35,18,0,0
2020/03/17,TR,Turkey,Asia,39,35,47,0,0
2020/03/18,TR,Turkey,Asia,39,35,191,0,1
2020/03/19,TR,Turkey,Asia,39,35,359,0,4
2020/03/20,TR,Turkey,Asia,39,35,670,0,9
2020/03/21,TR,Turkey,Asia,39,35,947,0,21
2020/03/22,TR,Turkey,Asia,39,35,1236,0,30
2020/03/23,TR,Turkey,Asia,39,35,1529,0,37
2020/03/24,TR,Turkey,Asia,39,35,1872,0,44
2020/03/25,TR,Turkey,Asia,39,35,2433,26,59
2020/03/26,TR,Turkey,Asia,39,35,3629,26,75
2020/03/27,TR,Turkey,Asia,39,35,5698,42,92
2020/03/28,TR,Turkey,Asia,39,35,7402,70,108
2020/03/29,TR,Turkey,Asia,39,35,9217,105,131
2020/03/30,TR,Turkey,Asia,39,35,10827,162,168
2020/03/31,TR,Turkey,Asia,39,35,13531,243,214
2020/04/01,TR,Turkey,Asia,39,35,15679,333,277
2020/04/02,TR,Turkey,Asia,39,35,18135,415,356
2020/04/03,TR,Turkey,Asia,39,35,20921,484,425
2020/04/04,TR,Turkey,Asia,39,35,23934,786,501
2020/04/05,TR,Turkey,Asia,39,35,27069,1042,574
