day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/23,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/24,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/25,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/26,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/27,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/28,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/29,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/30,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/31,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/01,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/02,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/03,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/04,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/05,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/06,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/07,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/08,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/09,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/10,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/11,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/12,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/13,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/14,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/15,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/16,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/17,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/18,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/19,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/20,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/21,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/22,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/23,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/24,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/25,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/26,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/27,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/28,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/29,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/01,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/02,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/03,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/04,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/05,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/06,AR,Argentina,Americas,-34,-64,2,0,0
2020/03/07,AR,Argentina,Americas,-34,-64,8,0,0
2020/03/08,AR,Argentina,Americas,-34,-64,12,0,1
2020/03/09,AR,Argentina,Americas,-34,-64,12,0,1
2020/03/10,AR,Argentina,Americas,-34,-64,17,0,1
2020/03/11,AR,Argentina,Americas,-34,-64,19,0,1
2020/03/12,AR,Argentina,Americas,-34,-64,19,0,1
2020/03/13,AR,Argentina,Americas,-34,-64,31,0,2
2020/03/14,AR,Argentina,Americas,-34,-64,34,1,2
2020/03/15,AR,Argentina,Americas,-34,-64,45,1,2
2020/03/16,AR,Argentina,Americas,-34,-64,56,1,2
2020/03/17,AR,Argentina,Americas,-34,-64,68,3,2
2020/03/18,AR,Argentina,Americas,-34,-64,79,3,2
2020/03/19,AR,Argentina,Americas,-34,-64,97,3,3
2020/03/20,AR,Argentina,Americas,-34,-64,128,3,3
2020/03/21,AR,Argentina,Americas,-34,-64,158,3,4
2020/03/22,AR,Argentina,Americas,-34,-64,225,3,4
2020/03/23,AR,Argentina,Americas,-34,-64,301,51,4
2020/03/24,AR,Argentina,Americas,-34,-64,387,52,6
2020/03/25,AR,Argentina,Americas,-34,-64,387,52,8
2020/03/26,AR,Argentina,Americas,-34,-64,502,63,9
2020/03/27,AR,Argentina,Americas,-34,-64,589,72,13
2020/03/28,AR,Argentina,Americas,-34,-64,690,72,18
2020/03/29,AR,Argentina,Americas,-34,-64,820,91,20
2020/03/30,AR,Argentina,Americas,-34,-64,820,228,23
2020/03/31,AR,Argentina,Americas,-34,-64,1054,240,27
2020/04/01,AR,Argentina,Americas,-34,-64,1133,248,32
2020/04/02,AR,Argentina,Americas,-34,-64,1265,256,36
2020/04/03,AR,Argentina,Americas,-34,-64,1353,266,42
2020/04/04,AR,Argentina,Americas,-34,-64,1451,279,43
2020/04/05,AR,Argentina,Americas,-34,-64,1554,280,46
2020/04/06,AR,Argentina,Americas,-34,-64,1554,325,48
2020/04/07,AR,Argentina,Americas,-34,-64,1628,338,56
2020/04/08,AR,Argentina,Americas,-34,-64,1795,358,65
2020/04/09,AR,Argentina,Americas,-34,-64,1894,365,79
2020/04/10,AR,Argentina,Americas,-34,-64,1975,375,82
2020/04/11,AR,Argentina,Americas,-34,-64,1975,440,83
2020/04/12,AR,Argentina,Americas,-34,-64,2142,468,90
2020/04/13,AR,Argentina,Americas,-34,-64,2208,515,97
2020/04/14,AR,Argentina,Americas,-34,-64,2277,559,102
2020/04/15,AR,Argentina,Americas,-34,-64,2443,596,111
2020/04/16,AR,Argentina,Americas,-34,-64,2571,631,115
2020/04/17,AR,Argentina,Americas,-34,-64,2669,666,123
2020/04/18,AR,Argentina,Americas,-34,-64,2758,685,129
2020/04/19,AR,Argentina,Americas,-34,-64,2839,709,132
2020/04/20,AR,Argentina,Americas,-34,-64,3031,737,142
2020/04/21,AR,Argentina,Americas,-34,-64,3031,840,147
2020/04/22,AR,Argentina,Americas,-34,-64,3144,872,152
