day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/23,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/24,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/25,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/26,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/27,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/28,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/29,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/30,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/01/31,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/01,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/02,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/03,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/04,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/05,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/06,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/07,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/08,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/09,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/10,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/11,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/12,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/13,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/14,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/15,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/16,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/17,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/18,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/19,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/20,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/21,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/22,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/23,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/24,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/25,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/26,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/27,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/28,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/02/29,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/01,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/02,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/03,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/04,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/05,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/06,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/07,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/08,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/09,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/10,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/11,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/12,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/13,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/14,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/15,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/16,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/17,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/18,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/19,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/20,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/21,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/22,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/23,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/24,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/25,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/26,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/27,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/28,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/29,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/30,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/03/31,SL,Sierra Leone,Africa,8.5,-11.5,0,0,0
2020/04/01,SL,Sierra Leone,Africa,8.5,-11.5,2,0,0
2020/04/02,SL,Sierra Leone,Africa,8.5,-11.5,2,0,0
2020/04/03,SL,Sierra Leone,Africa,8.5,-11.5,2,0,0
2020/04/04,SL,Sierra Leone,Africa,8.5,-11.5,4,0,0
2020/04/05,SL,Sierra Leone,Africa,8.5,-11.5,6,0,0
2020/04/06,SL,Sierra Leone,Africa,8.5,-11.5,6,0,0
2020/04/07,SL,Sierra Leone,Africa,8.5,-11.5,6,0,0
2020/04/08,SL,Sierra Leone,Africa,8.5,-11.5,7,0,0
2020/04/09,SL,Sierra Leone,Africa,8.5,-11.5,7,0,0
2020/04/10,SL,Sierra Leone,Africa,8.5,-11.5,8,0,0
2020/04/11,SL,Sierra Leone,Africa,8.5,-11.5,8,0,0
2020/04/12,SL,Sierra Leone,Africa,8.5,-11.5,10,0,0
2020/04/13,SL,Sierra Leone,Africa,8.5,-11.5,10,0,0
2020/04/14,SL,Sierra Leone,Africa,8.5,-11.5,11,0,0
2020/04/15,SL,Sierra Leone,Africa,8.5,-11.5,13,0,0
2020/04/16,SL,Sierra Leone,Africa,8.5,-11.5,15,0,0
2020/04/17,SL,Sierra Leone,Africa,8.5,-11.5,26,0,0
2020/04/18,SL,Sierra Leone,Africa,8.5,-11.5,30,0,0
2020/04/19,SL,Sierra Leone,Africa,8.5,-11.5,35,6,0
2020/04/20,SL,Sierra Leone,Africa,8.5,-11.5,43,6,0
2020/04/21,SL,Sierra Leone,Africa,8.5,-11.5,50,6,0
2020/04/22,SL,Sierra Leone,Africa,8.5,-11.5,61,6,0
2020/04/23,SL,Sierra Leone,Africa,8.5,-11.5,64,10,1
2020/04/24,SL,Sierra Leone,Africa,8.5,-11.5,82,10,2
2020/04/25,SL,Sierra Leone,Africa,8.5,-11.5,82,10,2
2020/04/26,SL,Sierra Leone,Africa,8.5,-11.5,93,10,4
2020/04/27,SL,Sierra Leone,Africa,8.5,-11.5,93,10,4
2020/04/28,SL,Sierra Leone,Africa,8.5,-11.5,104,12,4
2020/04/29,SL,Sierra Leone,Africa,8.5,-11.5,104,12,4
2020/04/30,SL,Sierra Leone,Africa,8.5,-11.5,124,21,7
2020/05/01,SL,Sierra Leone,Africa,8.5,-11.5,136,21,7
2020/05/02,SL,Sierra Leone,Africa,8.5,-11.5,155,21,8
2020/05/03,SL,Sierra Leone,Africa,8.5,-11.5,166,29,8
2020/05/04,SL,Sierra Leone,Africa,8.5,-11.5,178,37,9
2020/05/05,SL,Sierra Leone,Africa,8.5,-11.5,199,43,11
2020/05/06,SL,Sierra Leone,Africa,8.5,-11.5,225,54,14
2020/05/07,SL,Sierra Leone,Africa,8.5,-11.5,231,54,16
2020/05/08,SL,Sierra Leone,Africa,8.5,-11.5,257,54,17
2020/05/09,SL,Sierra Leone,Africa,8.5,-11.5,291,58,18
2020/05/10,SL,Sierra Leone,Africa,8.5,-11.5,307,67,18
2020/05/11,SL,Sierra Leone,Africa,8.5,-11.5,338,72,19
2020/05/12,SL,Sierra Leone,Africa,8.5,-11.5,338,72,19
2020/05/13,SL,Sierra Leone,Africa,8.5,-11.5,387,97,26
2020/05/14,SL,Sierra Leone,Africa,8.5,-11.5,408,97,26
2020/05/15,SL,Sierra Leone,Africa,8.5,-11.5,447,97,27
2020/05/16,SL,Sierra Leone,Africa,8.5,-11.5,462,106,29
2020/05/17,SL,Sierra Leone,Africa,8.5,-11.5,505,141,32
2020/05/18,SL,Sierra Leone,Africa,8.5,-11.5,519,148,33
2020/05/19,SL,Sierra Leone,Africa,8.5,-11.5,534,167,33
2020/05/20,SL,Sierra Leone,Africa,8.5,-11.5,570,205,34
2020/05/21,SL,Sierra Leone,Africa,8.5,-11.5,585,205,35
2020/05/22,SL,Sierra Leone,Africa,8.5,-11.5,606,230,38
2020/05/23,SL,Sierra Leone,Africa,8.5,-11.5,621,241,39
2020/05/24,SL,Sierra Leone,Africa,8.5,-11.5,707,241,40
2020/05/25,SL,Sierra Leone,Africa,8.5,-11.5,735,293,42
2020/05/26,SL,Sierra Leone,Africa,8.5,-11.5,754,297,44
2020/05/27,SL,Sierra Leone,Africa,8.5,-11.5,782,297,45
2020/05/28,SL,Sierra Leone,Africa,8.5,-11.5,812,361,45
2020/05/29,SL,Sierra Leone,Africa,8.5,-11.5,829,386,45
