day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,JP,Japan,Asia,36,138,2,0,0
2020/01/23,JP,Japan,Asia,36,138,2,0,0
2020/01/24,JP,Japan,Asia,36,138,2,0,0
2020/01/25,JP,Japan,Asia,36,138,2,0,0
2020/01/26,JP,Japan,Asia,36,138,4,1,0
2020/01/27,JP,Japan,Asia,36,138,4,1,0
2020/01/28,JP,Japan,Asia,36,138,7,1,0
2020/01/29,JP,Japan,Asia,36,138,7,1,0
2020/01/30,JP,Japan,Asia,36,138,11,1,0
2020/01/31,JP,Japan,Asia,36,138,15,1,0
2020/02/01,JP,Japan,Asia,36,138,20,1,0
2020/02/02,JP,Japan,Asia,36,138,20,1,0
2020/02/03,JP,Japan,Asia,36,138,20,1,0
2020/02/04,JP,Japan,Asia,36,138,22,1,0
2020/02/05,JP,Japan,Asia,36,138,22,1,0
2020/02/06,JP,Japan,Asia,36,138,25,1,0
2020/02/07,JP,Japan,Asia,36,138,25,1,0
2020/02/08,JP,Japan,Asia,36,138,25,1,0
2020/02/09,JP,Japan,Asia,36,138,26,1,0
2020/02/10,JP,Japan,Asia,36,138,26,4,0
2020/02/11,JP,Japan,Asia,36,138,26,9,0
2020/02/12,JP,Japan,Asia,36,138,28,9,0
2020/02/13,JP,Japan,Asia,36,138,28,9,1
2020/02/14,JP,Japan,Asia,36,138,29,9,1
2020/02/15,JP,Japan,Asia,36,138,43,12,1
2020/02/16,JP,Japan,Asia,36,138,59,12,1
2020/02/17,JP,Japan,Asia,36,138,66,12,1
2020/02/18,JP,Japan,Asia,36,138,74,13,1
2020/02/19,JP,Japan,Asia,36,138,84,18,1
2020/02/20,JP,Japan,Asia,36,138,94,18,1
2020/02/21,JP,Japan,Asia,36,138,105,22,1
2020/02/22,JP,Japan,Asia,36,138,122,22,1
2020/02/23,JP,Japan,Asia,36,138,147,22,1
2020/02/24,JP,Japan,Asia,36,138,159,22,1
2020/02/25,JP,Japan,Asia,36,138,170,22,1
2020/02/26,JP,Japan,Asia,36,138,189,22,2
2020/02/27,JP,Japan,Asia,36,138,214,22,4
2020/02/28,JP,Japan,Asia,36,138,228,22,4
2020/02/29,JP,Japan,Asia,36,138,241,32,5
2020/03/01,JP,Japan,Asia,36,138,256,32,6
2020/03/02,JP,Japan,Asia,36,138,274,32,6
2020/03/03,JP,Japan,Asia,36,138,293,43,6
2020/03/04,JP,Japan,Asia,36,138,331,43,6
2020/03/05,JP,Japan,Asia,36,138,360,43,6
2020/03/06,JP,Japan,Asia,36,138,420,46,6
2020/03/07,JP,Japan,Asia,36,138,461,76,6
2020/03/08,JP,Japan,Asia,36,138,502,76,6
2020/03/09,JP,Japan,Asia,36,138,511,76,10
2020/03/10,JP,Japan,Asia,36,138,581,101,10
2020/03/11,JP,Japan,Asia,36,138,639,118,15
2020/03/12,JP,Japan,Asia,36,138,639,118,16
2020/03/13,JP,Japan,Asia,36,138,701,118,19
2020/03/14,JP,Japan,Asia,36,138,773,118,22
2020/03/15,JP,Japan,Asia,36,138,839,118,22
2020/03/16,JP,Japan,Asia,36,138,839,144,27
2020/03/17,JP,Japan,Asia,36,138,878,144,29
2020/03/18,JP,Japan,Asia,36,138,889,144,29
2020/03/19,JP,Japan,Asia,36,138,924,150,29
2020/03/20,JP,Japan,Asia,36,138,963,191,33
2020/03/21,JP,Japan,Asia,36,138,1007,232,35
2020/03/22,JP,Japan,Asia,36,138,1086,235,36
2020/03/23,JP,Japan,Asia,36,138,1128,235,42
2020/03/24,JP,Japan,Asia,36,138,1193,285,43
2020/03/25,JP,Japan,Asia,36,138,1307,310,45
2020/03/26,JP,Japan,Asia,36,138,1387,359,47
2020/03/27,JP,Japan,Asia,36,138,1468,372,49
2020/03/28,JP,Japan,Asia,36,138,1693,404,52
2020/03/29,JP,Japan,Asia,36,138,1866,424,54
2020/03/30,JP,Japan,Asia,36,138,1866,424,54
2020/03/31,JP,Japan,Asia,36,138,1953,424,56
2020/04/01,JP,Japan,Asia,36,138,2384,472,57
2020/04/02,JP,Japan,Asia,36,138,2495,472,62
2020/04/03,JP,Japan,Asia,36,138,2617,514,63
2020/04/04,JP,Japan,Asia,36,138,3139,514,77
2020/04/05,JP,Japan,Asia,36,138,3139,514,77
2020/04/06,JP,Japan,Asia,36,138,3654,575,85
2020/04/07,JP,Japan,Asia,36,138,3906,592,92
2020/04/08,JP,Japan,Asia,36,138,4257,622,93
2020/04/09,JP,Japan,Asia,36,138,4667,632,94
2020/04/10,JP,Japan,Asia,36,138,5530,685,99
2020/04/11,JP,Japan,Asia,36,138,6005,762,99
2020/04/12,JP,Japan,Asia,36,138,6748,762,108
2020/04/13,JP,Japan,Asia,36,138,7618,799,143
2020/04/14,JP,Japan,Asia,36,138,7645,799,143
2020/04/15,JP,Japan,Asia,36,138,8100,853,146
2020/04/16,JP,Japan,Asia,36,138,8626,901,178
2020/04/17,JP,Japan,Asia,36,138,9787,935,190
2020/04/18,JP,Japan,Asia,36,138,10296,1069,222
2020/04/19,JP,Japan,Asia,36,138,10797,1159,236
2020/04/20,JP,Japan,Asia,36,138,10797,1159,236
2020/04/21,JP,Japan,Asia,36,138,11135,1239,263
2020/04/22,JP,Japan,Asia,36,138,11512,1356,281
2020/04/23,JP,Japan,Asia,36,138,11950,1424,299
2020/04/24,JP,Japan,Asia,36,138,12368,1494,328
2020/04/25,JP,Japan,Asia,36,138,12829,1530,345
2020/04/26,JP,Japan,Asia,36,138,13231,1656,360
2020/04/27,JP,Japan,Asia,36,138,13441,1809,372
2020/04/28,JP,Japan,Asia,36,138,13614,1899,385
2020/04/29,JP,Japan,Asia,36,138,13736,1899,394
2020/04/30,JP,Japan,Asia,36,138,14088,2460,430
2020/05/01,JP,Japan,Asia,36,138,14088,2460,430
2020/05/02,JP,Japan,Asia,36,138,14305,2975,455
2020/05/03,JP,Japan,Asia,36,138,14571,3205,474
2020/05/04,JP,Japan,Asia,36,138,14877,3981,487
2020/05/05,JP,Japan,Asia,36,138,15078,4156,536
2020/05/06,JP,Japan,Asia,36,138,15253,4496,556
2020/05/07,JP,Japan,Asia,36,138,15477,4918,577
2020/05/08,JP,Japan,Asia,36,138,15575,5146,590
2020/05/09,JP,Japan,Asia,36,138,15575,5146,590
2020/05/10,JP,Japan,Asia,36,138,15663,5906,607
2020/05/11,JP,Japan,Asia,36,138,15777,8127,624
2020/05/12,JP,Japan,Asia,36,138,15847,8293,633
2020/05/13,JP,Japan,Asia,36,138,15968,8531,657
2020/05/14,JP,Japan,Asia,36,138,16049,8920,678
2020/05/15,JP,Japan,Asia,36,138,16203,10338,713
2020/05/16,JP,Japan,Asia,36,138,16203,10338,713
2020/05/17,JP,Japan,Asia,36,138,16285,11153,744
2020/05/18,JP,Japan,Asia,36,138,16305,11564,749
