day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/23,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/24,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/25,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/26,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/27,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/28,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/29,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/30,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/01/31,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/01,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/02,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/03,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/04,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/05,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/06,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/07,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/08,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/09,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/10,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/11,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/12,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/13,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/14,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/15,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/16,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/17,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/18,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/19,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/20,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/21,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/22,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/23,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/24,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/25,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/26,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/27,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/28,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/02/29,DO,Dominican Republic,Americas,19,-70.66666666,0,0,0
2020/03/01,DO,Dominican Republic,Americas,19,-70.66666666,1,0,0
2020/03/02,DO,Dominican Republic,Americas,19,-70.66666666,1,0,0
2020/03/03,DO,Dominican Republic,Americas,19,-70.66666666,1,0,0
2020/03/04,DO,Dominican Republic,Americas,19,-70.66666666,1,0,0
2020/03/05,DO,Dominican Republic,Americas,19,-70.66666666,1,0,0
2020/03/06,DO,Dominican Republic,Americas,19,-70.66666666,2,0,0
2020/03/07,DO,Dominican Republic,Americas,19,-70.66666666,2,0,0
2020/03/08,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/09,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/10,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/11,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/12,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/13,DO,Dominican Republic,Americas,19,-70.66666666,5,0,0
2020/03/14,DO,Dominican Republic,Americas,19,-70.66666666,11,0,0
2020/03/15,DO,Dominican Republic,Americas,19,-70.66666666,11,0,0
2020/03/16,DO,Dominican Republic,Americas,19,-70.66666666,11,0,0
2020/03/17,DO,Dominican Republic,Americas,19,-70.66666666,21,0,1
2020/03/18,DO,Dominican Republic,Americas,19,-70.66666666,21,0,1
2020/03/19,DO,Dominican Republic,Americas,19,-70.66666666,34,0,2
2020/03/20,DO,Dominican Republic,Americas,19,-70.66666666,72,0,2
2020/03/21,DO,Dominican Republic,Americas,19,-70.66666666,112,0,2
2020/03/22,DO,Dominican Republic,Americas,19,-70.66666666,202,0,3
2020/03/23,DO,Dominican Republic,Americas,19,-70.66666666,245,3,3
2020/03/24,DO,Dominican Republic,Americas,19,-70.66666666,312,3,6
2020/03/25,DO,Dominican Republic,Americas,19,-70.66666666,392,3,10
2020/03/26,DO,Dominican Republic,Americas,19,-70.66666666,488,3,10
2020/03/27,DO,Dominican Republic,Americas,19,-70.66666666,581,3,20
2020/03/28,DO,Dominican Republic,Americas,19,-70.66666666,719,3,28
2020/03/29,DO,Dominican Republic,Americas,19,-70.66666666,859,3,39
2020/03/30,DO,Dominican Republic,Americas,19,-70.66666666,901,4,42
2020/03/31,DO,Dominican Republic,Americas,19,-70.66666666,1109,5,51
