day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,HU,Hungary,Europe,47,20,0,0,0
2020/01/23,HU,Hungary,Europe,47,20,0,0,0
2020/01/24,HU,Hungary,Europe,47,20,0,0,0
2020/01/25,HU,Hungary,Europe,47,20,0,0,0
2020/01/26,HU,Hungary,Europe,47,20,0,0,0
2020/01/27,HU,Hungary,Europe,47,20,0,0,0
2020/01/28,HU,Hungary,Europe,47,20,0,0,0
2020/01/29,HU,Hungary,Europe,47,20,0,0,0
2020/01/30,HU,Hungary,Europe,47,20,0,0,0
2020/01/31,HU,Hungary,Europe,47,20,0,0,0
2020/02/01,HU,Hungary,Europe,47,20,0,0,0
2020/02/02,HU,Hungary,Europe,47,20,0,0,0
2020/02/03,HU,Hungary,Europe,47,20,0,0,0
2020/02/04,HU,Hungary,Europe,47,20,0,0,0
2020/02/05,HU,Hungary,Europe,47,20,0,0,0
2020/02/06,HU,Hungary,Europe,47,20,0,0,0
2020/02/07,HU,Hungary,Europe,47,20,0,0,0
2020/02/08,HU,Hungary,Europe,47,20,0,0,0
2020/02/09,HU,Hungary,Europe,47,20,0,0,0
2020/02/10,HU,Hungary,Europe,47,20,0,0,0
2020/02/11,HU,Hungary,Europe,47,20,0,0,0
2020/02/12,HU,Hungary,Europe,47,20,0,0,0
2020/02/13,HU,Hungary,Europe,47,20,0,0,0
2020/02/14,HU,Hungary,Europe,47,20,0,0,0
2020/02/15,HU,Hungary,Europe,47,20,0,0,0
2020/02/16,HU,Hungary,Europe,47,20,0,0,0
2020/02/17,HU,Hungary,Europe,47,20,0,0,0
2020/02/18,HU,Hungary,Europe,47,20,0,0,0
2020/02/19,HU,Hungary,Europe,47,20,0,0,0
2020/02/20,HU,Hungary,Europe,47,20,0,0,0
2020/02/21,HU,Hungary,Europe,47,20,0,0,0
2020/02/22,HU,Hungary,Europe,47,20,0,0,0
2020/02/23,HU,Hungary,Europe,47,20,0,0,0
2020/02/24,HU,Hungary,Europe,47,20,0,0,0
2020/02/25,HU,Hungary,Europe,47,20,0,0,0
2020/02/26,HU,Hungary,Europe,47,20,0,0,0
2020/02/27,HU,Hungary,Europe,47,20,0,0,0
2020/02/28,HU,Hungary,Europe,47,20,0,0,0
2020/02/29,HU,Hungary,Europe,47,20,0,0,0
2020/03/01,HU,Hungary,Europe,47,20,0,0,0
2020/03/02,HU,Hungary,Europe,47,20,0,0,0
2020/03/03,HU,Hungary,Europe,47,20,0,0,0
2020/03/04,HU,Hungary,Europe,47,20,2,0,0
2020/03/05,HU,Hungary,Europe,47,20,2,0,0
2020/03/06,HU,Hungary,Europe,47,20,2,0,0
2020/03/07,HU,Hungary,Europe,47,20,4,0,0
2020/03/08,HU,Hungary,Europe,47,20,7,0,0
2020/03/09,HU,Hungary,Europe,47,20,9,0,0
2020/03/10,HU,Hungary,Europe,47,20,9,0,0
2020/03/11,HU,Hungary,Europe,47,20,13,0,0
2020/03/12,HU,Hungary,Europe,47,20,13,0,0
2020/03/13,HU,Hungary,Europe,47,20,19,0,0
2020/03/14,HU,Hungary,Europe,47,20,30,1,0
2020/03/15,HU,Hungary,Europe,47,20,32,1,1
2020/03/16,HU,Hungary,Europe,47,20,39,1,1
2020/03/17,HU,Hungary,Europe,47,20,50,2,1
2020/03/18,HU,Hungary,Europe,47,20,58,2,1
2020/03/19,HU,Hungary,Europe,47,20,73,2,1
2020/03/20,HU,Hungary,Europe,47,20,85,2,3
2020/03/21,HU,Hungary,Europe,47,20,103,7,4
2020/03/22,HU,Hungary,Europe,47,20,131,16,6
2020/03/23,HU,Hungary,Europe,47,20,167,16,7
2020/03/24,HU,Hungary,Europe,47,20,187,21,9
2020/03/25,HU,Hungary,Europe,47,20,226,21,10
2020/03/26,HU,Hungary,Europe,47,20,261,28,10
2020/03/27,HU,Hungary,Europe,47,20,300,34,10
2020/03/28,HU,Hungary,Europe,47,20,343,34,11
2020/03/29,HU,Hungary,Europe,47,20,408,34,13
2020/03/30,HU,Hungary,Europe,47,20,447,34,15
2020/03/31,HU,Hungary,Europe,47,20,492,37,16
2020/04/01,HU,Hungary,Europe,47,20,525,40,20
2020/04/02,HU,Hungary,Europe,47,20,585,42,21
2020/04/03,HU,Hungary,Europe,47,20,623,43,26
2020/04/04,HU,Hungary,Europe,47,20,678,58,32
2020/04/05,HU,Hungary,Europe,47,20,733,66,34
2020/04/06,HU,Hungary,Europe,47,20,744,67,38
2020/04/07,HU,Hungary,Europe,47,20,817,71,47
2020/04/08,HU,Hungary,Europe,47,20,895,94,58
2020/04/09,HU,Hungary,Europe,47,20,980,96,66
2020/04/10,HU,Hungary,Europe,47,20,1190,112,77
2020/04/11,HU,Hungary,Europe,47,20,1310,115,85
