day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,RU,Russia,Europe,60,100,0,0,0
2020/01/23,RU,Russia,Europe,60,100,0,0,0
2020/01/24,RU,Russia,Europe,60,100,0,0,0
2020/01/25,RU,Russia,Europe,60,100,0,0,0
2020/01/26,RU,Russia,Europe,60,100,0,0,0
2020/01/27,RU,Russia,Europe,60,100,0,0,0
2020/01/28,RU,Russia,Europe,60,100,0,0,0
2020/01/29,RU,Russia,Europe,60,100,0,0,0
2020/01/30,RU,Russia,Europe,60,100,0,0,0
2020/01/31,RU,Russia,Europe,60,100,2,0,0
2020/02/01,RU,Russia,Europe,60,100,2,0,0
2020/02/02,RU,Russia,Europe,60,100,2,0,0
2020/02/03,RU,Russia,Europe,60,100,2,0,0
2020/02/04,RU,Russia,Europe,60,100,2,0,0
2020/02/05,RU,Russia,Europe,60,100,2,0,0
2020/02/06,RU,Russia,Europe,60,100,2,0,0
2020/02/07,RU,Russia,Europe,60,100,2,0,0
2020/02/08,RU,Russia,Europe,60,100,2,0,0
2020/02/09,RU,Russia,Europe,60,100,2,0,0
2020/02/10,RU,Russia,Europe,60,100,2,0,0
2020/02/11,RU,Russia,Europe,60,100,2,0,0
2020/02/12,RU,Russia,Europe,60,100,2,2,0
2020/02/13,RU,Russia,Europe,60,100,2,2,0
2020/02/14,RU,Russia,Europe,60,100,2,2,0
2020/02/15,RU,Russia,Europe,60,100,2,2,0
2020/02/16,RU,Russia,Europe,60,100,2,2,0
2020/02/17,RU,Russia,Europe,60,100,2,2,0
2020/02/18,RU,Russia,Europe,60,100,2,2,0
2020/02/19,RU,Russia,Europe,60,100,2,2,0
2020/02/20,RU,Russia,Europe,60,100,2,2,0
2020/02/21,RU,Russia,Europe,60,100,2,2,0
2020/02/22,RU,Russia,Europe,60,100,2,2,0
2020/02/23,RU,Russia,Europe,60,100,2,2,0
2020/02/24,RU,Russia,Europe,60,100,2,2,0
2020/02/25,RU,Russia,Europe,60,100,2,2,0
2020/02/26,RU,Russia,Europe,60,100,2,2,0
2020/02/27,RU,Russia,Europe,60,100,2,2,0
2020/02/28,RU,Russia,Europe,60,100,2,2,0
2020/02/29,RU,Russia,Europe,60,100,2,2,0
2020/03/01,RU,Russia,Europe,60,100,2,2,0
2020/03/02,RU,Russia,Europe,60,100,3,2,0
2020/03/03,RU,Russia,Europe,60,100,3,2,0
2020/03/04,RU,Russia,Europe,60,100,3,2,0
2020/03/05,RU,Russia,Europe,60,100,4,2,0
2020/03/06,RU,Russia,Europe,60,100,13,2,0
2020/03/07,RU,Russia,Europe,60,100,13,2,0
2020/03/08,RU,Russia,Europe,60,100,17,3,0
2020/03/09,RU,Russia,Europe,60,100,17,3,0
2020/03/10,RU,Russia,Europe,60,100,20,3,0
