day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/23,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/24,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/25,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/26,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/27,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/28,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/29,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/30,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/01/31,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/01,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/02,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/03,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/04,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/05,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/06,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/07,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/08,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/09,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/10,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/11,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/12,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/13,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/14,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/15,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/16,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/17,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/18,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/19,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/20,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/21,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/22,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/23,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/24,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/25,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/26,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/27,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/28,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/02/29,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/01,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/02,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/03,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/04,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/05,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/06,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/07,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/08,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/09,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/10,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/11,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/12,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/13,TT,Trinidad and Tobago,Americas,11,-61,0,0,0
2020/03/14,TT,Trinidad and Tobago,Americas,11,-61,2,0,0
2020/03/15,TT,Trinidad and Tobago,Americas,11,-61,2,0,0
2020/03/16,TT,Trinidad and Tobago,Americas,11,-61,4,0,0
2020/03/17,TT,Trinidad and Tobago,Americas,11,-61,5,0,0
2020/03/18,TT,Trinidad and Tobago,Americas,11,-61,7,0,0
2020/03/19,TT,Trinidad and Tobago,Americas,11,-61,9,0,0
2020/03/20,TT,Trinidad and Tobago,Americas,11,-61,9,0,0
2020/03/21,TT,Trinidad and Tobago,Americas,11,-61,49,0,0
2020/03/22,TT,Trinidad and Tobago,Americas,11,-61,50,0,0
2020/03/23,TT,Trinidad and Tobago,Americas,11,-61,51,0,0
2020/03/24,TT,Trinidad and Tobago,Americas,11,-61,57,0,0
2020/03/25,TT,Trinidad and Tobago,Americas,11,-61,60,0,1
2020/03/26,TT,Trinidad and Tobago,Americas,11,-61,65,0,1
2020/03/27,TT,Trinidad and Tobago,Americas,11,-61,66,1,2
2020/03/28,TT,Trinidad and Tobago,Americas,11,-61,76,1,3
2020/03/29,TT,Trinidad and Tobago,Americas,11,-61,78,1,3
2020/03/30,TT,Trinidad and Tobago,Americas,11,-61,83,1,3
