day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/23,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/24,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/25,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/26,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/27,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/28,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/29,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/30,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/01/31,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/01,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/02,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/03,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/04,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/05,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/06,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/07,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/08,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/09,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/10,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/11,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/12,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/13,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/14,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/15,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/16,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/17,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/18,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/19,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/20,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
2020/02/21,BL,Saint Barthélemy,Americas,18.5,-63.41666666,0,0,0
