day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BW,Botswana,Africa,-22,24,0,0,0
2020/01/23,BW,Botswana,Africa,-22,24,0,0,0
2020/01/24,BW,Botswana,Africa,-22,24,0,0,0
2020/01/25,BW,Botswana,Africa,-22,24,0,0,0
2020/01/26,BW,Botswana,Africa,-22,24,0,0,0
2020/01/27,BW,Botswana,Africa,-22,24,0,0,0
2020/01/28,BW,Botswana,Africa,-22,24,0,0,0
2020/01/29,BW,Botswana,Africa,-22,24,0,0,0
2020/01/30,BW,Botswana,Africa,-22,24,0,0,0
2020/01/31,BW,Botswana,Africa,-22,24,0,0,0
2020/02/01,BW,Botswana,Africa,-22,24,0,0,0
2020/02/02,BW,Botswana,Africa,-22,24,0,0,0
2020/02/03,BW,Botswana,Africa,-22,24,0,0,0
2020/02/04,BW,Botswana,Africa,-22,24,0,0,0
2020/02/05,BW,Botswana,Africa,-22,24,0,0,0
2020/02/06,BW,Botswana,Africa,-22,24,0,0,0
2020/02/07,BW,Botswana,Africa,-22,24,0,0,0
2020/02/08,BW,Botswana,Africa,-22,24,0,0,0
2020/02/09,BW,Botswana,Africa,-22,24,0,0,0
2020/02/10,BW,Botswana,Africa,-22,24,0,0,0
2020/02/11,BW,Botswana,Africa,-22,24,0,0,0
2020/02/12,BW,Botswana,Africa,-22,24,0,0,0
2020/02/13,BW,Botswana,Africa,-22,24,0,0,0
2020/02/14,BW,Botswana,Africa,-22,24,0,0,0
2020/02/15,BW,Botswana,Africa,-22,24,0,0,0
2020/02/16,BW,Botswana,Africa,-22,24,0,0,0
2020/02/17,BW,Botswana,Africa,-22,24,0,0,0
2020/02/18,BW,Botswana,Africa,-22,24,0,0,0
2020/02/19,BW,Botswana,Africa,-22,24,0,0,0
2020/02/20,BW,Botswana,Africa,-22,24,0,0,0
2020/02/21,BW,Botswana,Africa,-22,24,0,0,0
2020/02/22,BW,Botswana,Africa,-22,24,0,0,0
2020/02/23,BW,Botswana,Africa,-22,24,0,0,0
2020/02/24,BW,Botswana,Africa,-22,24,0,0,0
2020/02/25,BW,Botswana,Africa,-22,24,0,0,0
2020/02/26,BW,Botswana,Africa,-22,24,0,0,0
2020/02/27,BW,Botswana,Africa,-22,24,0,0,0
2020/02/28,BW,Botswana,Africa,-22,24,0,0,0
2020/02/29,BW,Botswana,Africa,-22,24,0,0,0
2020/03/01,BW,Botswana,Africa,-22,24,0,0,0
2020/03/02,BW,Botswana,Africa,-22,24,0,0,0
2020/03/03,BW,Botswana,Africa,-22,24,0,0,0
2020/03/04,BW,Botswana,Africa,-22,24,0,0,0
2020/03/05,BW,Botswana,Africa,-22,24,0,0,0
2020/03/06,BW,Botswana,Africa,-22,24,0,0,0
2020/03/07,BW,Botswana,Africa,-22,24,0,0,0
2020/03/08,BW,Botswana,Africa,-22,24,0,0,0
2020/03/09,BW,Botswana,Africa,-22,24,0,0,0
2020/03/10,BW,Botswana,Africa,-22,24,0,0,0
2020/03/11,BW,Botswana,Africa,-22,24,0,0,0
2020/03/12,BW,Botswana,Africa,-22,24,0,0,0
2020/03/13,BW,Botswana,Africa,-22,24,0,0,0
2020/03/14,BW,Botswana,Africa,-22,24,0,0,0
2020/03/15,BW,Botswana,Africa,-22,24,0,0,0
2020/03/16,BW,Botswana,Africa,-22,24,0,0,0
2020/03/17,BW,Botswana,Africa,-22,24,0,0,0
2020/03/18,BW,Botswana,Africa,-22,24,0,0,0
2020/03/19,BW,Botswana,Africa,-22,24,0,0,0
2020/03/20,BW,Botswana,Africa,-22,24,0,0,0
2020/03/21,BW,Botswana,Africa,-22,24,0,0,0
2020/03/22,BW,Botswana,Africa,-22,24,0,0,0
2020/03/23,BW,Botswana,Africa,-22,24,0,0,0
2020/03/24,BW,Botswana,Africa,-22,24,0,0,0
2020/03/25,BW,Botswana,Africa,-22,24,0,0,0
2020/03/26,BW,Botswana,Africa,-22,24,0,0,0
2020/03/27,BW,Botswana,Africa,-22,24,0,0,0
2020/03/28,BW,Botswana,Africa,-22,24,0,0,0
2020/03/29,BW,Botswana,Africa,-22,24,0,0,0
2020/03/30,BW,Botswana,Africa,-22,24,0,0,0
2020/03/31,BW,Botswana,Africa,-22,24,0,0,0
2020/04/01,BW,Botswana,Africa,-22,24,4,0,1
2020/04/02,BW,Botswana,Africa,-22,24,4,0,1
2020/04/03,BW,Botswana,Africa,-22,24,4,0,1
2020/04/04,BW,Botswana,Africa,-22,24,4,0,1
2020/04/05,BW,Botswana,Africa,-22,24,6,0,1
2020/04/06,BW,Botswana,Africa,-22,24,6,0,1
2020/04/07,BW,Botswana,Africa,-22,24,6,0,1
2020/04/08,BW,Botswana,Africa,-22,24,6,0,1
2020/04/09,BW,Botswana,Africa,-22,24,13,0,1
2020/04/10,BW,Botswana,Africa,-22,24,13,0,1
2020/04/11,BW,Botswana,Africa,-22,24,13,0,1
2020/04/12,BW,Botswana,Africa,-22,24,13,0,1
