day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/23,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/24,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/25,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/26,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/27,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/28,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/29,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/30,PT,Portugal,Europe,39.5,-8,0,0,0
2020/01/31,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/01,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/02,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/03,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/04,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/05,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/06,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/07,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/08,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/09,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/10,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/11,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/12,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/13,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/14,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/15,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/16,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/17,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/18,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/19,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/20,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/21,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/22,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/23,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/24,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/25,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/26,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/27,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/28,PT,Portugal,Europe,39.5,-8,0,0,0
2020/02/29,PT,Portugal,Europe,39.5,-8,0,0,0
2020/03/01,PT,Portugal,Europe,39.5,-8,0,0,0
2020/03/02,PT,Portugal,Europe,39.5,-8,2,0,0
