day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/23,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/24,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/25,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/26,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/27,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/28,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/29,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/30,MW,Malawi,Africa,-13.5,34,0,0,0
2020/01/31,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/01,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/02,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/03,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/04,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/05,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/06,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/07,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/08,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/09,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/10,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/11,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/12,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/13,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/14,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/15,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/16,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/17,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/18,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/19,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/20,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/21,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/22,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/23,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/24,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/25,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/26,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/27,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/28,MW,Malawi,Africa,-13.5,34,0,0,0
2020/02/29,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/01,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/02,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/03,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/04,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/05,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/06,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/07,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/08,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/09,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/10,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/11,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/12,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/13,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/14,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/15,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/16,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/17,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/18,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/19,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/20,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/21,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/22,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/23,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/24,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/25,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/26,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/27,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/28,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/29,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/30,MW,Malawi,Africa,-13.5,34,0,0,0
2020/03/31,MW,Malawi,Africa,-13.5,34,0,0,0
2020/04/01,MW,Malawi,Africa,-13.5,34,0,0,0
2020/04/02,MW,Malawi,Africa,-13.5,34,0,0,0
2020/04/03,MW,Malawi,Africa,-13.5,34,0,0,0
2020/04/04,MW,Malawi,Africa,-13.5,34,4,0,0
2020/04/05,MW,Malawi,Africa,-13.5,34,4,0,0
