day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/23,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/24,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/25,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/26,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/27,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/28,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/29,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/30,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/01/31,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/01,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/02,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/03,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/04,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/05,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/06,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/07,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/08,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/09,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/10,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/11,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/12,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/13,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/14,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/15,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/16,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/17,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/18,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/19,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/20,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/21,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/22,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/23,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/24,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/25,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/26,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/27,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/28,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/02/29,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/01,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/02,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/03,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/04,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/05,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/06,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/07,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/08,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/09,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/10,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/11,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/12,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/13,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/14,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/15,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/16,ME,Montenegro,Europe,42.5,19.3,0,0,0
2020/03/17,ME,Montenegro,Europe,42.5,19.3,2,0,0
2020/03/18,ME,Montenegro,Europe,42.5,19.3,2,0,0
2020/03/19,ME,Montenegro,Europe,42.5,19.3,3,0,0
2020/03/20,ME,Montenegro,Europe,42.5,19.3,14,0,0
2020/03/21,ME,Montenegro,Europe,42.5,19.3,14,0,0
2020/03/22,ME,Montenegro,Europe,42.5,19.3,21,0,0
2020/03/23,ME,Montenegro,Europe,42.5,19.3,27,0,1
2020/03/24,ME,Montenegro,Europe,42.5,19.3,47,0,1
2020/03/25,ME,Montenegro,Europe,42.5,19.3,53,0,1
