day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ES,Spain,Europe,40,-4,0,0,0
2020/01/23,ES,Spain,Europe,40,-4,0,0,0
2020/01/24,ES,Spain,Europe,40,-4,0,0,0
2020/01/25,ES,Spain,Europe,40,-4,0,0,0
2020/01/26,ES,Spain,Europe,40,-4,0,0,0
2020/01/27,ES,Spain,Europe,40,-4,0,0,0
2020/01/28,ES,Spain,Europe,40,-4,0,0,0
2020/01/29,ES,Spain,Europe,40,-4,0,0,0
2020/01/30,ES,Spain,Europe,40,-4,0,0,0
2020/01/31,ES,Spain,Europe,40,-4,0,0,0
2020/02/01,ES,Spain,Europe,40,-4,1,0,0
2020/02/02,ES,Spain,Europe,40,-4,1,0,0
2020/02/03,ES,Spain,Europe,40,-4,1,0,0
2020/02/04,ES,Spain,Europe,40,-4,1,0,0
2020/02/05,ES,Spain,Europe,40,-4,1,0,0
2020/02/06,ES,Spain,Europe,40,-4,1,0,0
2020/02/07,ES,Spain,Europe,40,-4,1,0,0
2020/02/08,ES,Spain,Europe,40,-4,1,0,0
2020/02/09,ES,Spain,Europe,40,-4,2,0,0
2020/02/10,ES,Spain,Europe,40,-4,2,0,0
2020/02/11,ES,Spain,Europe,40,-4,2,0,0
2020/02/12,ES,Spain,Europe,40,-4,2,0,0
2020/02/13,ES,Spain,Europe,40,-4,2,0,0
2020/02/14,ES,Spain,Europe,40,-4,2,0,0
2020/02/15,ES,Spain,Europe,40,-4,2,2,0
2020/02/16,ES,Spain,Europe,40,-4,2,2,0
2020/02/17,ES,Spain,Europe,40,-4,2,2,0
2020/02/18,ES,Spain,Europe,40,-4,2,2,0
2020/02/19,ES,Spain,Europe,40,-4,2,2,0
2020/02/20,ES,Spain,Europe,40,-4,2,2,0
2020/02/21,ES,Spain,Europe,40,-4,2,2,0
2020/02/22,ES,Spain,Europe,40,-4,2,2,0
2020/02/23,ES,Spain,Europe,40,-4,2,2,0
2020/02/24,ES,Spain,Europe,40,-4,2,2,0
2020/02/25,ES,Spain,Europe,40,-4,6,2,0
2020/02/26,ES,Spain,Europe,40,-4,13,2,0
2020/02/27,ES,Spain,Europe,40,-4,15,2,0
2020/02/28,ES,Spain,Europe,40,-4,32,2,0
2020/02/29,ES,Spain,Europe,40,-4,45,2,0
2020/03/01,ES,Spain,Europe,40,-4,84,2,0
2020/03/02,ES,Spain,Europe,40,-4,120,2,0
2020/03/03,ES,Spain,Europe,40,-4,165,2,1
2020/03/04,ES,Spain,Europe,40,-4,222,2,2
2020/03/05,ES,Spain,Europe,40,-4,259,2,3
2020/03/06,ES,Spain,Europe,40,-4,400,2,5
2020/03/07,ES,Spain,Europe,40,-4,500,30,10
2020/03/08,ES,Spain,Europe,40,-4,673,30,17
2020/03/09,ES,Spain,Europe,40,-4,1073,32,28
2020/03/10,ES,Spain,Europe,40,-4,1695,32,35
2020/03/11,ES,Spain,Europe,40,-4,2277,183,54
2020/03/12,ES,Spain,Europe,40,-4,2277,183,55
2020/03/13,ES,Spain,Europe,40,-4,5232,193,133
2020/03/14,ES,Spain,Europe,40,-4,6391,517,195
2020/03/15,ES,Spain,Europe,40,-4,7798,517,289
2020/03/16,ES,Spain,Europe,40,-4,9942,530,342
2020/03/17,ES,Spain,Europe,40,-4,11748,1028,533
2020/03/18,ES,Spain,Europe,40,-4,13910,1081,623
2020/03/19,ES,Spain,Europe,40,-4,17963,1107,830
2020/03/20,ES,Spain,Europe,40,-4,20410,1588,1043
2020/03/21,ES,Spain,Europe,40,-4,25374,2125,1375
2020/03/22,ES,Spain,Europe,40,-4,28768,2575,1772
2020/03/23,ES,Spain,Europe,40,-4,35136,3355,2311
2020/03/24,ES,Spain,Europe,40,-4,42058,3794,2991
2020/03/25,ES,Spain,Europe,40,-4,49515,5367,3647
2020/03/26,ES,Spain,Europe,40,-4,57786,7015,4365
2020/03/27,ES,Spain,Europe,40,-4,65719,9357,5138
2020/03/28,ES,Spain,Europe,40,-4,73235,12285,5982
2020/03/29,ES,Spain,Europe,40,-4,80110,14709,6803
2020/03/30,ES,Spain,Europe,40,-4,87956,16780,7716
2020/03/31,ES,Spain,Europe,40,-4,95923,19259,8464
2020/04/01,ES,Spain,Europe,40,-4,104118,22647,9387
2020/04/02,ES,Spain,Europe,40,-4,112065,26743,10348
2020/04/03,ES,Spain,Europe,40,-4,119199,30513,11198
