day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ES,Spain,Europe,40,-4,0,0,0
2020/01/23,ES,Spain,Europe,40,-4,0,0,0
2020/01/24,ES,Spain,Europe,40,-4,0,0,0
2020/01/25,ES,Spain,Europe,40,-4,0,0,0
2020/01/26,ES,Spain,Europe,40,-4,0,0,0
2020/01/27,ES,Spain,Europe,40,-4,0,0,0
2020/01/28,ES,Spain,Europe,40,-4,0,0,0
2020/01/29,ES,Spain,Europe,40,-4,0,0,0
2020/01/30,ES,Spain,Europe,40,-4,0,0,0
2020/01/31,ES,Spain,Europe,40,-4,0,0,0
2020/02/01,ES,Spain,Europe,40,-4,1,0,0
2020/02/02,ES,Spain,Europe,40,-4,1,0,0
2020/02/03,ES,Spain,Europe,40,-4,1,0,0
2020/02/04,ES,Spain,Europe,40,-4,1,0,0
2020/02/05,ES,Spain,Europe,40,-4,1,0,0
2020/02/06,ES,Spain,Europe,40,-4,1,0,0
2020/02/07,ES,Spain,Europe,40,-4,1,0,0
2020/02/08,ES,Spain,Europe,40,-4,1,0,0
2020/02/09,ES,Spain,Europe,40,-4,2,0,0
2020/02/10,ES,Spain,Europe,40,-4,2,0,0
2020/02/11,ES,Spain,Europe,40,-4,2,0,0
2020/02/12,ES,Spain,Europe,40,-4,2,0,0
2020/02/13,ES,Spain,Europe,40,-4,2,0,0
2020/02/14,ES,Spain,Europe,40,-4,2,0,0
2020/02/15,ES,Spain,Europe,40,-4,2,2,0
2020/02/16,ES,Spain,Europe,40,-4,2,2,0
2020/02/17,ES,Spain,Europe,40,-4,2,2,0
2020/02/18,ES,Spain,Europe,40,-4,2,2,0
2020/02/19,ES,Spain,Europe,40,-4,2,2,0
2020/02/20,ES,Spain,Europe,40,-4,2,2,0
2020/02/21,ES,Spain,Europe,40,-4,2,2,0
2020/02/22,ES,Spain,Europe,40,-4,2,2,0
2020/02/23,ES,Spain,Europe,40,-4,2,2,0
2020/02/24,ES,Spain,Europe,40,-4,2,2,0
2020/02/25,ES,Spain,Europe,40,-4,6,2,0
2020/02/26,ES,Spain,Europe,40,-4,13,2,0
2020/02/27,ES,Spain,Europe,40,-4,15,2,0
2020/02/28,ES,Spain,Europe,40,-4,32,2,0
2020/02/29,ES,Spain,Europe,40,-4,45,2,0
2020/03/01,ES,Spain,Europe,40,-4,84,2,0
2020/03/02,ES,Spain,Europe,40,-4,120,2,0
2020/03/03,ES,Spain,Europe,40,-4,165,2,1
2020/03/04,ES,Spain,Europe,40,-4,222,2,2
2020/03/05,ES,Spain,Europe,40,-4,259,2,3
2020/03/06,ES,Spain,Europe,40,-4,400,2,5
2020/03/07,ES,Spain,Europe,40,-4,500,30,10
2020/03/08,ES,Spain,Europe,40,-4,673,30,17
2020/03/09,ES,Spain,Europe,40,-4,1073,32,28
2020/03/10,ES,Spain,Europe,40,-4,1695,32,35
2020/03/11,ES,Spain,Europe,40,-4,2277,183,54
2020/03/12,ES,Spain,Europe,40,-4,2277,183,55
2020/03/13,ES,Spain,Europe,40,-4,5232,193,133
2020/03/14,ES,Spain,Europe,40,-4,6391,517,195
2020/03/15,ES,Spain,Europe,40,-4,7798,517,289
2020/03/16,ES,Spain,Europe,40,-4,9942,530,342
2020/03/17,ES,Spain,Europe,40,-4,11748,1028,533
2020/03/18,ES,Spain,Europe,40,-4,13910,1081,623
2020/03/19,ES,Spain,Europe,40,-4,17963,1107,830
2020/03/20,ES,Spain,Europe,40,-4,20410,1588,1043
2020/03/21,ES,Spain,Europe,40,-4,25374,2125,1375
2020/03/22,ES,Spain,Europe,40,-4,28768,2575,1772
2020/03/23,ES,Spain,Europe,40,-4,35136,3355,2311
2020/03/24,ES,Spain,Europe,40,-4,42058,3794,2991
2020/03/25,ES,Spain,Europe,40,-4,49515,5367,3647
2020/03/26,ES,Spain,Europe,40,-4,57786,7015,4365
2020/03/27,ES,Spain,Europe,40,-4,65719,9357,5138
2020/03/28,ES,Spain,Europe,40,-4,73235,12285,5982
2020/03/29,ES,Spain,Europe,40,-4,80110,14709,6803
2020/03/30,ES,Spain,Europe,40,-4,87956,16780,7716
2020/03/31,ES,Spain,Europe,40,-4,95923,19259,8464
2020/04/01,ES,Spain,Europe,40,-4,104118,22647,9387
2020/04/02,ES,Spain,Europe,40,-4,112065,26743,10348
2020/04/03,ES,Spain,Europe,40,-4,119199,30513,11198
2020/04/04,ES,Spain,Europe,40,-4,126168,34219,11947
2020/04/05,ES,Spain,Europe,40,-4,131646,38080,12641
2020/04/06,ES,Spain,Europe,40,-4,136675,40437,13341
2020/04/07,ES,Spain,Europe,40,-4,141942,43208,14045
2020/04/08,ES,Spain,Europe,40,-4,148220,48021,14792
2020/04/09,ES,Spain,Europe,40,-4,153222,52165,15447
2020/04/10,ES,Spain,Europe,40,-4,158273,55668,16081
2020/04/11,ES,Spain,Europe,40,-4,163027,59109,16606
2020/04/12,ES,Spain,Europe,40,-4,166831,62391,17209
2020/04/13,ES,Spain,Europe,40,-4,170099,64727,17756
2020/04/14,ES,Spain,Europe,40,-4,174060,67504,18255
2020/04/15,ES,Spain,Europe,40,-4,177644,70853,18708
2020/04/16,ES,Spain,Europe,40,-4,184948,74797,19315
2020/04/17,ES,Spain,Europe,40,-4,190839,74797,20002
2020/04/18,ES,Spain,Europe,40,-4,194416,74797,20453
2020/04/19,ES,Spain,Europe,40,-4,198674,77357,20453
2020/04/20,ES,Spain,Europe,40,-4,200210,80587,20852
2020/04/21,ES,Spain,Europe,40,-4,204178,82514,21282
2020/04/22,ES,Spain,Europe,40,-4,208389,85915,21717
2020/04/23,ES,Spain,Europe,40,-4,213024,89250,22157
2020/04/24,ES,Spain,Europe,40,-4,219764,92355,22524
2020/04/25,ES,Spain,Europe,40,-4,223759,95708,22902
2020/04/26,ES,Spain,Europe,40,-4,226629,117727,23190
2020/04/27,ES,Spain,Europe,40,-4,229422,120832,23521
2020/04/28,ES,Spain,Europe,40,-4,232128,123903,23822
2020/04/29,ES,Spain,Europe,40,-4,236899,132929,24275
2020/04/30,ES,Spain,Europe,40,-4,239639,137984,24543
2020/05/01,ES,Spain,Europe,40,-4,242988,142450,24824
2020/05/02,ES,Spain,Europe,40,-4,245567,146233,25100
2020/05/03,ES,Spain,Europe,40,-4,247122,148558,25264
2020/05/04,ES,Spain,Europe,40,-4,248301,151633,25428
2020/05/05,ES,Spain,Europe,40,-4,250561,154718,25613
2020/05/06,ES,Spain,Europe,40,-4,253682,159359,25857
2020/05/07,ES,Spain,Europe,40,-4,256855,163919,26070
2020/05/08,ES,Spain,Europe,40,-4,260117,168408,26299
2020/05/09,ES,Spain,Europe,40,-4,262783,173157,26478
2020/05/10,ES,Spain,Europe,40,-4,264663,176439,26621
2020/05/11,ES,Spain,Europe,40,-4,268143,177846,26744
2020/05/12,ES,Spain,Europe,40,-4,269520,180470,26837
2020/05/13,ES,Spain,Europe,40,-4,271095,183227,26837
2020/05/14,ES,Spain,Europe,40,-4,272646,186480,26837
2020/05/15,ES,Spain,Europe,40,-4,274367,188967,26837
2020/05/16,ES,Spain,Europe,40,-4,276505,192253,26837
2020/05/17,ES,Spain,Europe,40,-4,277719,195945,26837
2020/05/18,ES,Spain,Europe,40,-4,278188,196958,26837
2020/05/19,ES,Spain,Europe,40,-4,278803,196958,26837
2020/05/20,ES,Spain,Europe,40,-4,279524,196958,26837
2020/05/21,ES,Spain,Europe,40,-4,280117,196958,26837
2020/05/22,ES,Spain,Europe,40,-4,281904,196958,26837
2020/05/23,ES,Spain,Europe,40,-4,282370,196958,26837
2020/05/24,ES,Spain,Europe,40,-4,282480,196958,26837
2020/05/25,ES,Spain,Europe,40,-4,282480,196958,26837
2020/05/26,ES,Spain,Europe,40,-4,283339,196958,27117
2020/05/27,ES,Spain,Europe,40,-4,283849,196958,27118
2020/05/28,ES,Spain,Europe,40,-4,284986,196958,27119
2020/05/29,ES,Spain,Europe,40,-4,285644,196958,27121
2020/05/30,ES,Spain,Europe,40,-4,286308,196958,27125
2020/05/31,ES,Spain,Europe,40,-4,286509,196958,27127
2020/06/01,ES,Spain,Europe,40,-4,286718,196958,27127
2020/06/02,ES,Spain,Europe,40,-4,287012,0,27127
2020/06/03,ES,Spain,Europe,40,-4,287406,0,27128
2020/06/04,ES,Spain,Europe,40,-4,287740,0,27133
2020/06/05,ES,Spain,Europe,40,-4,288058,0,27134
2020/06/06,ES,Spain,Europe,40,-4,288390,0,27135
2020/06/07,ES,Spain,Europe,40,-4,288630,0,27136
2020/06/08,ES,Spain,Europe,40,-4,288797,0,27136
2020/06/09,ES,Spain,Europe,40,-4,289046,0,27136
2020/06/10,ES,Spain,Europe,40,-4,289360,0,27136
2020/06/11,ES,Spain,Europe,40,-4,289787,0,27136
2020/06/12,ES,Spain,Europe,40,-4,290289,0,27136
2020/06/13,ES,Spain,Europe,40,-4,290685,0,27136
2020/06/14,ES,Spain,Europe,40,-4,291008,0,27136
2020/06/15,ES,Spain,Europe,40,-4,291189,0,27136
2020/06/16,ES,Spain,Europe,40,-4,291408,0,27136
2020/06/17,ES,Spain,Europe,40,-4,291763,0,27136
2020/06/18,ES,Spain,Europe,40,-4,292348,0,27136
2020/06/19,ES,Spain,Europe,40,-4,292655,0,28315
2020/06/20,ES,Spain,Europe,40,-4,293018,0,28322
2020/06/21,ES,Spain,Europe,40,-4,293352,0,28323
2020/06/22,ES,Spain,Europe,40,-4,293584,0,28324
2020/06/23,ES,Spain,Europe,40,-4,293832,0,28325
2020/06/24,ES,Spain,Europe,40,-4,294166,0,28327
2020/06/25,ES,Spain,Europe,40,-4,294566,0,28330
2020/06/26,ES,Spain,Europe,40,-4,294985,0,28338
2020/06/27,ES,Spain,Europe,40,-4,295549,0,28341
2020/06/28,ES,Spain,Europe,40,-4,295850,0,28343
2020/06/29,ES,Spain,Europe,40,-4,296050,0,28346
2020/06/30,ES,Spain,Europe,40,-4,296351,0,28355
2020/07/01,ES,Spain,Europe,40,-4,296739,0,28363
2020/07/02,ES,Spain,Europe,40,-4,297183,0,28368
2020/07/03,ES,Spain,Europe,40,-4,297625,0,28385
2020/07/04,ES,Spain,Europe,40,-4,297625,0,28385
2020/07/05,ES,Spain,Europe,40,-4,297625,0,28385
2020/07/06,ES,Spain,Europe,40,-4,298869,0,28388
2020/07/07,ES,Spain,Europe,40,-4,299210,0,28392
2020/07/08,ES,Spain,Europe,40,-4,299593,0,28396
2020/07/09,ES,Spain,Europe,40,-4,300136,0,28401
2020/07/10,ES,Spain,Europe,40,-4,300988,0,28403
2020/07/11,ES,Spain,Europe,40,-4,300988,0,28403
2020/07/12,ES,Spain,Europe,40,-4,300988,0,28403
2020/07/13,ES,Spain,Europe,40,-4,303033,0,28406
2020/07/14,ES,Spain,Europe,40,-4,303699,0,28409
2020/07/15,ES,Spain,Europe,40,-4,304574,0,28413
2020/07/16,ES,Spain,Europe,40,-4,305935,0,28416
2020/07/17,ES,Spain,Europe,40,-4,307335,0,28420
2020/07/18,ES,Spain,Europe,40,-4,307335,0,28420
2020/07/19,ES,Spain,Europe,40,-4,307335,0,28420
2020/07/20,ES,Spain,Europe,40,-4,311916,0,28422
2020/07/21,ES,Spain,Europe,40,-4,313274,0,28424
2020/07/22,ES,Spain,Europe,40,-4,314631,0,28426
2020/07/23,ES,Spain,Europe,40,-4,317246,0,28429
2020/07/24,ES,Spain,Europe,40,-4,319501,0,28432
2020/07/25,ES,Spain,Europe,40,-4,319501,0,28432
2020/07/26,ES,Spain,Europe,40,-4,319501,0,28432
2020/07/27,ES,Spain,Europe,40,-4,325862,0,28434
2020/07/28,ES,Spain,Europe,40,-4,327690,0,28436
2020/07/29,ES,Spain,Europe,40,-4,329721,0,28441
2020/07/30,ES,Spain,Europe,40,-4,332510,0,28443
2020/07/31,ES,Spain,Europe,40,-4,335602,0,28445
2020/08/01,ES,Spain,Europe,40,-4,335602,0,28445
2020/08/02,ES,Spain,Europe,40,-4,335602,0,28445
2020/08/03,ES,Spain,Europe,40,-4,344134,0,28472
2020/08/04,ES,Spain,Europe,40,-4,349894,0,28498
2020/08/05,ES,Spain,Europe,40,-4,352847,0,28499
2020/08/06,ES,Spain,Europe,40,-4,354530,0,28500
2020/08/07,ES,Spain,Europe,40,-4,361442,0,28503
2020/08/08,ES,Spain,Europe,40,-4,361442,0,28503
2020/08/09,ES,Spain,Europe,40,-4,361442,0,28503
2020/08/10,ES,Spain,Europe,40,-4,370060,0,28576
2020/08/11,ES,Spain,Europe,40,-4,373692,0,28581
2020/08/12,ES,Spain,Europe,40,-4,376864,0,28579
2020/08/13,ES,Spain,Europe,40,-4,379799,0,28605
2020/08/14,ES,Spain,Europe,40,-4,358843,0,28617
2020/08/15,ES,Spain,Europe,40,-4,358843,0,28617
2020/08/16,ES,Spain,Europe,40,-4,358843,0,28617
2020/08/17,ES,Spain,Europe,40,-4,382142,0,28646
2020/08/18,ES,Spain,Europe,40,-4,384270,0,28670
2020/08/19,ES,Spain,Europe,40,-4,387985,0,28797
2020/08/20,ES,Spain,Europe,40,-4,387985,0,28813
2020/08/21,ES,Spain,Europe,40,-4,407879,0,28838
2020/08/22,ES,Spain,Europe,40,-4,407879,0,28838
2020/08/23,ES,Spain,Europe,40,-4,407879,0,28838
2020/08/24,ES,Spain,Europe,40,-4,420809,0,28872
2020/08/25,ES,Spain,Europe,40,-4,423224,0,28924
2020/08/26,ES,Spain,Europe,40,-4,426818,0,28971
2020/08/27,ES,Spain,Europe,40,-4,451792,0,28996
2020/08/28,ES,Spain,Europe,40,-4,455621,0,29011
2020/08/29,ES,Spain,Europe,40,-4,455621,0,29011
