day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/23,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/24,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/25,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/26,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/27,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/28,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/29,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/30,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/01/31,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/01,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/02,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/03,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/04,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/05,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/06,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/07,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/08,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/09,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/10,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/11,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/12,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/13,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/14,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/15,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/16,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/17,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/18,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/19,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/20,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/21,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/22,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/23,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/24,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/25,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/26,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/27,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/28,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/02/29,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/03/01,AD,Andorra,Europe,42.5,1.5,0,0,0
2020/03/02,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/03,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/04,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/05,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/06,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/07,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/08,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/09,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/10,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/11,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/12,AD,Andorra,Europe,42.5,1.5,1,0,0
2020/03/13,AD,Andorra,Europe,42.5,1.5,1,1,0
2020/03/14,AD,Andorra,Europe,42.5,1.5,1,1,0
2020/03/15,AD,Andorra,Europe,42.5,1.5,1,1,0
2020/03/16,AD,Andorra,Europe,42.5,1.5,2,1,0
2020/03/17,AD,Andorra,Europe,42.5,1.5,39,1,0
2020/03/18,AD,Andorra,Europe,42.5,1.5,39,1,0
2020/03/19,AD,Andorra,Europe,42.5,1.5,53,1,0
2020/03/20,AD,Andorra,Europe,42.5,1.5,75,1,0
2020/03/21,AD,Andorra,Europe,42.5,1.5,88,1,0
2020/03/22,AD,Andorra,Europe,42.5,1.5,113,1,1
2020/03/23,AD,Andorra,Europe,42.5,1.5,133,1,1
2020/03/24,AD,Andorra,Europe,42.5,1.5,164,1,1
