day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/23,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/24,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/25,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/26,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/27,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/28,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/29,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/30,ZA,South Africa,Africa,-29,24,0,0,0
2020/01/31,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/01,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/02,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/03,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/04,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/05,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/06,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/07,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/08,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/09,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/10,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/11,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/12,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/13,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/14,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/15,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/16,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/17,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/18,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/19,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/20,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/21,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/22,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/23,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/24,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/25,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/26,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/27,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/28,ZA,South Africa,Africa,-29,24,0,0,0
2020/02/29,ZA,South Africa,Africa,-29,24,0,0,0
2020/03/01,ZA,South Africa,Africa,-29,24,0,0,0
2020/03/02,ZA,South Africa,Africa,-29,24,0,0,0
2020/03/03,ZA,South Africa,Africa,-29,24,0,0,0
2020/03/04,ZA,South Africa,Africa,-29,24,0,0,0
2020/03/05,ZA,South Africa,Africa,-29,24,1,0,0
2020/03/06,ZA,South Africa,Africa,-29,24,1,0,0
2020/03/07,ZA,South Africa,Africa,-29,24,1,0,0
2020/03/08,ZA,South Africa,Africa,-29,24,3,0,0
2020/03/09,ZA,South Africa,Africa,-29,24,3,0,0
2020/03/10,ZA,South Africa,Africa,-29,24,7,0,0
2020/03/11,ZA,South Africa,Africa,-29,24,13,0,0
2020/03/12,ZA,South Africa,Africa,-29,24,17,0,0
2020/03/13,ZA,South Africa,Africa,-29,24,24,0,0
2020/03/14,ZA,South Africa,Africa,-29,24,38,0,0
2020/03/15,ZA,South Africa,Africa,-29,24,51,0,0
2020/03/16,ZA,South Africa,Africa,-29,24,62,0,0
2020/03/17,ZA,South Africa,Africa,-29,24,62,0,0
2020/03/18,ZA,South Africa,Africa,-29,24,116,0,0
2020/03/19,ZA,South Africa,Africa,-29,24,150,0,0
2020/03/20,ZA,South Africa,Africa,-29,24,202,0,0
2020/03/21,ZA,South Africa,Africa,-29,24,240,0,0
2020/03/22,ZA,South Africa,Africa,-29,24,274,0,0
2020/03/23,ZA,South Africa,Africa,-29,24,402,4,0
2020/03/24,ZA,South Africa,Africa,-29,24,554,4,0
2020/03/25,ZA,South Africa,Africa,-29,24,709,12,0
2020/03/26,ZA,South Africa,Africa,-29,24,927,12,0
2020/03/27,ZA,South Africa,Africa,-29,24,1170,31,1
2020/03/28,ZA,South Africa,Africa,-29,24,1187,31,1
2020/03/29,ZA,South Africa,Africa,-29,24,1280,31,2
2020/03/30,ZA,South Africa,Africa,-29,24,1326,31,3
2020/03/31,ZA,South Africa,Africa,-29,24,1353,31,5
2020/04/01,ZA,South Africa,Africa,-29,24,1380,50,5
2020/04/02,ZA,South Africa,Africa,-29,24,1462,50,5
2020/04/03,ZA,South Africa,Africa,-29,24,1505,95,9
2020/04/04,ZA,South Africa,Africa,-29,24,1585,95,9
2020/04/05,ZA,South Africa,Africa,-29,24,1655,95,11
2020/04/06,ZA,South Africa,Africa,-29,24,1686,95,12
2020/04/07,ZA,South Africa,Africa,-29,24,1749,95,13
2020/04/08,ZA,South Africa,Africa,-29,24,1845,95,18
2020/04/09,ZA,South Africa,Africa,-29,24,1934,95,18
2020/04/10,ZA,South Africa,Africa,-29,24,2003,410,24
2020/04/11,ZA,South Africa,Africa,-29,24,2028,410,25
2020/04/12,ZA,South Africa,Africa,-29,24,2173,410,25
2020/04/13,ZA,South Africa,Africa,-29,24,2272,410,27
2020/04/14,ZA,South Africa,Africa,-29,24,2415,410,27
2020/04/15,ZA,South Africa,Africa,-29,24,2506,410,34
2020/04/16,ZA,South Africa,Africa,-29,24,2605,903,48
2020/04/17,ZA,South Africa,Africa,-29,24,2783,903,50
2020/04/18,ZA,South Africa,Africa,-29,24,3034,903,52
2020/04/19,ZA,South Africa,Africa,-29,24,3158,903,54
2020/04/20,ZA,South Africa,Africa,-29,24,3300,1055,58
2020/04/21,ZA,South Africa,Africa,-29,24,3465,1055,58
2020/04/22,ZA,South Africa,Africa,-29,24,3635,1055,65
2020/04/23,ZA,South Africa,Africa,-29,24,3953,1473,75
2020/04/24,ZA,South Africa,Africa,-29,24,4220,1473,79
2020/04/25,ZA,South Africa,Africa,-29,24,4361,1473,86
2020/04/26,ZA,South Africa,Africa,-29,24,4546,1473,87
2020/04/27,ZA,South Africa,Africa,-29,24,4793,1473,90
2020/04/28,ZA,South Africa,Africa,-29,24,4996,2073,93
2020/04/29,ZA,South Africa,Africa,-29,24,5350,2073,103
2020/04/30,ZA,South Africa,Africa,-29,24,5647,2073,103
2020/05/01,ZA,South Africa,Africa,-29,24,5951,2382,116
2020/05/02,ZA,South Africa,Africa,-29,24,6336,2549,123
2020/05/03,ZA,South Africa,Africa,-29,24,6783,2549,131
2020/05/04,ZA,South Africa,Africa,-29,24,7220,2746,138
2020/05/05,ZA,South Africa,Africa,-29,24,7572,2746,148
2020/05/06,ZA,South Africa,Africa,-29,24,7808,3153,153
2020/05/07,ZA,South Africa,Africa,-29,24,8232,3153,161
2020/05/08,ZA,South Africa,Africa,-29,24,8895,3153,178
2020/05/09,ZA,South Africa,Africa,-29,24,9420,3983,186
2020/05/10,ZA,South Africa,Africa,-29,24,10015,4173,194
2020/05/11,ZA,South Africa,Africa,-29,24,10652,4357,206
2020/05/12,ZA,South Africa,Africa,-29,24,11350,4357,206
2020/05/13,ZA,South Africa,Africa,-29,24,12074,4745,219
2020/05/14,ZA,South Africa,Africa,-29,24,12739,5676,238
2020/05/15,ZA,South Africa,Africa,-29,24,13524,6083,247
2020/05/16,ZA,South Africa,Africa,-29,24,14355,6478,261
2020/05/17,ZA,South Africa,Africa,-29,24,15515,7006,264
2020/05/18,ZA,South Africa,Africa,-29,24,16433,7298,286
2020/05/19,ZA,South Africa,Africa,-29,24,17200,7960,312
2020/05/20,ZA,South Africa,Africa,-29,24,18003,8950,339
2020/05/21,ZA,South Africa,Africa,-29,24,19137,8950,369
2020/05/22,ZA,South Africa,Africa,-29,24,20125,10104,397
2020/05/23,ZA,South Africa,Africa,-29,24,21343,10104,407
2020/05/24,ZA,South Africa,Africa,-29,24,22583,11100,429
2020/05/25,ZA,South Africa,Africa,-29,24,23615,11917,481
2020/05/26,ZA,South Africa,Africa,-29,24,24264,12741,524
2020/05/27,ZA,South Africa,Africa,-29,24,25937,13451,552
2020/05/28,ZA,South Africa,Africa,-29,24,27403,14370,577
2020/05/29,ZA,South Africa,Africa,-29,24,29240,15093,611
2020/05/30,ZA,South Africa,Africa,-29,24,30967,16116,643
