day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/23,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/24,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/25,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/26,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/27,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/28,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/29,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/30,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/01/31,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/01,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/02,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/03,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/04,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/05,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/06,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/07,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/08,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/09,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/10,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/11,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/12,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/13,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/14,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/15,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/16,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/17,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/18,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/19,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/20,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/21,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/22,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/23,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/24,AT,Austria,Europe,47.33333333,13.33333333,0,0,0
2020/02/25,AT,Austria,Europe,47.33333333,13.33333333,2,0,0
2020/02/26,AT,Austria,Europe,47.33333333,13.33333333,2,0,0
2020/02/27,AT,Austria,Europe,47.33333333,13.33333333,3,0,0
2020/02/28,AT,Austria,Europe,47.33333333,13.33333333,3,0,0
2020/02/29,AT,Austria,Europe,47.33333333,13.33333333,9,0,0
2020/03/01,AT,Austria,Europe,47.33333333,13.33333333,14,0,0
2020/03/02,AT,Austria,Europe,47.33333333,13.33333333,18,0,0
2020/03/03,AT,Austria,Europe,47.33333333,13.33333333,21,0,0
2020/03/04,AT,Austria,Europe,47.33333333,13.33333333,29,0,0
2020/03/05,AT,Austria,Europe,47.33333333,13.33333333,41,0,0
2020/03/06,AT,Austria,Europe,47.33333333,13.33333333,55,0,0
2020/03/07,AT,Austria,Europe,47.33333333,13.33333333,79,0,0
2020/03/08,AT,Austria,Europe,47.33333333,13.33333333,104,0,0
2020/03/09,AT,Austria,Europe,47.33333333,13.33333333,131,2,0
2020/03/10,AT,Austria,Europe,47.33333333,13.33333333,182,4,0
2020/03/11,AT,Austria,Europe,47.33333333,13.33333333,246,4,0
2020/03/12,AT,Austria,Europe,47.33333333,13.33333333,302,4,1
2020/03/13,AT,Austria,Europe,47.33333333,13.33333333,504,6,1
2020/03/14,AT,Austria,Europe,47.33333333,13.33333333,655,6,1
2020/03/15,AT,Austria,Europe,47.33333333,13.33333333,860,6,1
2020/03/16,AT,Austria,Europe,47.33333333,13.33333333,1018,6,3
2020/03/17,AT,Austria,Europe,47.33333333,13.33333333,1332,6,3
2020/03/18,AT,Austria,Europe,47.33333333,13.33333333,1646,9,4
2020/03/19,AT,Austria,Europe,47.33333333,13.33333333,2013,9,6
2020/03/20,AT,Austria,Europe,47.33333333,13.33333333,2388,9,6
2020/03/21,AT,Austria,Europe,47.33333333,13.33333333,2814,9,8
2020/03/22,AT,Austria,Europe,47.33333333,13.33333333,3244,9,16
2020/03/23,AT,Austria,Europe,47.33333333,13.33333333,4474,9,21
2020/03/24,AT,Austria,Europe,47.33333333,13.33333333,5283,9,28
2020/03/25,AT,Austria,Europe,47.33333333,13.33333333,5588,9,30
2020/03/26,AT,Austria,Europe,47.33333333,13.33333333,6909,112,49
2020/03/27,AT,Austria,Europe,47.33333333,13.33333333,7697,225,58
2020/03/28,AT,Austria,Europe,47.33333333,13.33333333,8271,225,68
2020/03/29,AT,Austria,Europe,47.33333333,13.33333333,8788,479,86
2020/03/30,AT,Austria,Europe,47.33333333,13.33333333,9618,636,108
2020/03/31,AT,Austria,Europe,47.33333333,13.33333333,10180,1095,128
2020/04/01,AT,Austria,Europe,47.33333333,13.33333333,10711,1436,146
2020/04/02,AT,Austria,Europe,47.33333333,13.33333333,11129,1749,158
2020/04/03,AT,Austria,Europe,47.33333333,13.33333333,11524,2022,168
2020/04/04,AT,Austria,Europe,47.33333333,13.33333333,11781,2507,186
2020/04/05,AT,Austria,Europe,47.33333333,13.33333333,12051,2998,204
2020/04/06,AT,Austria,Europe,47.33333333,13.33333333,12297,3463,220
2020/04/07,AT,Austria,Europe,47.33333333,13.33333333,12639,4046,243
2020/04/08,AT,Austria,Europe,47.33333333,13.33333333,12942,4512,273
2020/04/09,AT,Austria,Europe,47.33333333,13.33333333,13244,5240,295
2020/04/10,AT,Austria,Europe,47.33333333,13.33333333,13555,6064,319
2020/04/11,AT,Austria,Europe,47.33333333,13.33333333,13806,6604,337
2020/04/12,AT,Austria,Europe,47.33333333,13.33333333,13945,6987,350
2020/04/13,AT,Austria,Europe,47.33333333,13.33333333,14041,7343,368
2020/04/14,AT,Austria,Europe,47.33333333,13.33333333,14226,7633,384
2020/04/15,AT,Austria,Europe,47.33333333,13.33333333,14350,8098,393
2020/04/16,AT,Austria,Europe,47.33333333,13.33333333,14476,8986,410
2020/04/17,AT,Austria,Europe,47.33333333,13.33333333,14595,9704,431
2020/04/18,AT,Austria,Europe,47.33333333,13.33333333,14671,10214,443
2020/04/19,AT,Austria,Europe,47.33333333,13.33333333,14749,10501,452
2020/04/20,AT,Austria,Europe,47.33333333,13.33333333,14795,10631,470
2020/04/21,AT,Austria,Europe,47.33333333,13.33333333,14873,10971,491
