day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/23,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/24,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/25,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/26,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/27,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/28,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/29,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/30,MV,Maldives,Asia,3.25,73,0,0,0
2020/01/31,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/01,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/02,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/03,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/04,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/05,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/06,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/07,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/08,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/09,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/10,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/11,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/12,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/13,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/14,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/15,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/16,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/17,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/18,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/19,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/20,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/21,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/22,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/23,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/24,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/25,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/26,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/27,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/28,MV,Maldives,Asia,3.25,73,0,0,0
2020/02/29,MV,Maldives,Asia,3.25,73,0,0,0
2020/03/01,MV,Maldives,Asia,3.25,73,0,0,0
2020/03/02,MV,Maldives,Asia,3.25,73,0,0,0
