day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,IE,Ireland,Europe,53,-8,0,0,0
2020/01/23,IE,Ireland,Europe,53,-8,0,0,0
2020/01/24,IE,Ireland,Europe,53,-8,0,0,0
2020/01/25,IE,Ireland,Europe,53,-8,0,0,0
2020/01/26,IE,Ireland,Europe,53,-8,0,0,0
2020/01/27,IE,Ireland,Europe,53,-8,0,0,0
2020/01/28,IE,Ireland,Europe,53,-8,0,0,0
2020/01/29,IE,Ireland,Europe,53,-8,0,0,0
2020/01/30,IE,Ireland,Europe,53,-8,0,0,0
2020/01/31,IE,Ireland,Europe,53,-8,0,0,0
2020/02/01,IE,Ireland,Europe,53,-8,0,0,0
2020/02/02,IE,Ireland,Europe,53,-8,0,0,0
2020/02/03,IE,Ireland,Europe,53,-8,0,0,0
2020/02/04,IE,Ireland,Europe,53,-8,0,0,0
2020/02/05,IE,Ireland,Europe,53,-8,0,0,0
2020/02/06,IE,Ireland,Europe,53,-8,0,0,0
2020/02/07,IE,Ireland,Europe,53,-8,0,0,0
2020/02/08,IE,Ireland,Europe,53,-8,0,0,0
2020/02/09,IE,Ireland,Europe,53,-8,0,0,0
2020/02/10,IE,Ireland,Europe,53,-8,0,0,0
2020/02/11,IE,Ireland,Europe,53,-8,0,0,0
2020/02/12,IE,Ireland,Europe,53,-8,0,0,0
2020/02/13,IE,Ireland,Europe,53,-8,0,0,0
2020/02/14,IE,Ireland,Europe,53,-8,0,0,0
2020/02/15,IE,Ireland,Europe,53,-8,0,0,0
2020/02/16,IE,Ireland,Europe,53,-8,0,0,0
2020/02/17,IE,Ireland,Europe,53,-8,0,0,0
2020/02/18,IE,Ireland,Europe,53,-8,0,0,0
2020/02/19,IE,Ireland,Europe,53,-8,0,0,0
2020/02/20,IE,Ireland,Europe,53,-8,0,0,0
2020/02/21,IE,Ireland,Europe,53,-8,0,0,0
2020/02/22,IE,Ireland,Europe,53,-8,0,0,0
2020/02/23,IE,Ireland,Europe,53,-8,0,0,0
2020/02/24,IE,Ireland,Europe,53,-8,0,0,0
2020/02/25,IE,Ireland,Europe,53,-8,0,0,0
2020/02/26,IE,Ireland,Europe,53,-8,0,0,0
2020/02/27,IE,Ireland,Europe,53,-8,0,0,0
2020/02/28,IE,Ireland,Europe,53,-8,0,0,0
2020/02/29,IE,Ireland,Europe,53,-8,1,0,0
2020/03/01,IE,Ireland,Europe,53,-8,1,0,0
2020/03/02,IE,Ireland,Europe,53,-8,1,0,0
2020/03/03,IE,Ireland,Europe,53,-8,2,0,0
2020/03/04,IE,Ireland,Europe,53,-8,6,0,0
2020/03/05,IE,Ireland,Europe,53,-8,6,0,0
2020/03/06,IE,Ireland,Europe,53,-8,18,0,0
2020/03/07,IE,Ireland,Europe,53,-8,18,0,0
2020/03/08,IE,Ireland,Europe,53,-8,19,0,0
2020/03/09,IE,Ireland,Europe,53,-8,21,0,0
2020/03/10,IE,Ireland,Europe,53,-8,34,0,0
2020/03/11,IE,Ireland,Europe,53,-8,43,0,1
2020/03/12,IE,Ireland,Europe,53,-8,43,0,1
2020/03/13,IE,Ireland,Europe,53,-8,90,0,1
2020/03/14,IE,Ireland,Europe,53,-8,129,0,2
2020/03/15,IE,Ireland,Europe,53,-8,129,0,2
2020/03/16,IE,Ireland,Europe,53,-8,169,0,2
2020/03/17,IE,Ireland,Europe,53,-8,223,5,2
2020/03/18,IE,Ireland,Europe,53,-8,292,5,2
2020/03/19,IE,Ireland,Europe,53,-8,557,5,3
2020/03/20,IE,Ireland,Europe,53,-8,683,5,3
2020/03/21,IE,Ireland,Europe,53,-8,785,5,3
2020/03/22,IE,Ireland,Europe,53,-8,906,5,4
2020/03/23,IE,Ireland,Europe,53,-8,1125,5,6
2020/03/24,IE,Ireland,Europe,53,-8,1329,5,7
2020/03/25,IE,Ireland,Europe,53,-8,1564,5,9
2020/03/26,IE,Ireland,Europe,53,-8,1819,5,19
2020/03/27,IE,Ireland,Europe,53,-8,2121,5,22
2020/03/28,IE,Ireland,Europe,53,-8,2415,5,36
2020/03/29,IE,Ireland,Europe,53,-8,2615,5,46
