day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GY,Guyana,Americas,5,-59,0,0,0
2020/01/23,GY,Guyana,Americas,5,-59,0,0,0
2020/01/24,GY,Guyana,Americas,5,-59,0,0,0
2020/01/25,GY,Guyana,Americas,5,-59,0,0,0
2020/01/26,GY,Guyana,Americas,5,-59,0,0,0
2020/01/27,GY,Guyana,Americas,5,-59,0,0,0
2020/01/28,GY,Guyana,Americas,5,-59,0,0,0
2020/01/29,GY,Guyana,Americas,5,-59,0,0,0
2020/01/30,GY,Guyana,Americas,5,-59,0,0,0
2020/01/31,GY,Guyana,Americas,5,-59,0,0,0
2020/02/01,GY,Guyana,Americas,5,-59,0,0,0
2020/02/02,GY,Guyana,Americas,5,-59,0,0,0
2020/02/03,GY,Guyana,Americas,5,-59,0,0,0
2020/02/04,GY,Guyana,Americas,5,-59,0,0,0
2020/02/05,GY,Guyana,Americas,5,-59,0,0,0
2020/02/06,GY,Guyana,Americas,5,-59,0,0,0
2020/02/07,GY,Guyana,Americas,5,-59,0,0,0
2020/02/08,GY,Guyana,Americas,5,-59,0,0,0
2020/02/09,GY,Guyana,Americas,5,-59,0,0,0
2020/02/10,GY,Guyana,Americas,5,-59,0,0,0
2020/02/11,GY,Guyana,Americas,5,-59,0,0,0
2020/02/12,GY,Guyana,Americas,5,-59,0,0,0
2020/02/13,GY,Guyana,Americas,5,-59,0,0,0
2020/02/14,GY,Guyana,Americas,5,-59,0,0,0
2020/02/15,GY,Guyana,Americas,5,-59,0,0,0
2020/02/16,GY,Guyana,Americas,5,-59,0,0,0
2020/02/17,GY,Guyana,Americas,5,-59,0,0,0
2020/02/18,GY,Guyana,Americas,5,-59,0,0,0
2020/02/19,GY,Guyana,Americas,5,-59,0,0,0
2020/02/20,GY,Guyana,Americas,5,-59,0,0,0
2020/02/21,GY,Guyana,Americas,5,-59,0,0,0
2020/02/22,GY,Guyana,Americas,5,-59,0,0,0
2020/02/23,GY,Guyana,Americas,5,-59,0,0,0
2020/02/24,GY,Guyana,Americas,5,-59,0,0,0
2020/02/25,GY,Guyana,Americas,5,-59,0,0,0
2020/02/26,GY,Guyana,Americas,5,-59,0,0,0
2020/02/27,GY,Guyana,Americas,5,-59,0,0,0
2020/02/28,GY,Guyana,Americas,5,-59,0,0,0
2020/02/29,GY,Guyana,Americas,5,-59,0,0,0
2020/03/01,GY,Guyana,Americas,5,-59,0,0,0
2020/03/02,GY,Guyana,Americas,5,-59,0,0,0
2020/03/03,GY,Guyana,Americas,5,-59,0,0,0
2020/03/04,GY,Guyana,Americas,5,-59,0,0,0
2020/03/05,GY,Guyana,Americas,5,-59,0,0,0
2020/03/06,GY,Guyana,Americas,5,-59,0,0,0
2020/03/07,GY,Guyana,Americas,5,-59,0,0,0
2020/03/08,GY,Guyana,Americas,5,-59,0,0,0
2020/03/09,GY,Guyana,Americas,5,-59,0,0,0
2020/03/10,GY,Guyana,Americas,5,-59,0,0,0
2020/03/11,GY,Guyana,Americas,5,-59,0,0,0
2020/03/12,GY,Guyana,Americas,5,-59,1,0,1
2020/03/13,GY,Guyana,Americas,5,-59,1,0,1
2020/03/14,GY,Guyana,Americas,5,-59,1,0,1
2020/03/15,GY,Guyana,Americas,5,-59,4,0,1
2020/03/16,GY,Guyana,Americas,5,-59,4,0,1
2020/03/17,GY,Guyana,Americas,5,-59,5,0,1
2020/03/18,GY,Guyana,Americas,5,-59,5,0,1
2020/03/19,GY,Guyana,Americas,5,-59,5,0,1
2020/03/20,GY,Guyana,Americas,5,-59,5,0,1
2020/03/21,GY,Guyana,Americas,5,-59,5,0,1
2020/03/22,GY,Guyana,Americas,5,-59,5,0,1
2020/03/23,GY,Guyana,Americas,5,-59,5,0,1
2020/03/24,GY,Guyana,Americas,5,-59,5,0,1
2020/03/25,GY,Guyana,Americas,5,-59,5,0,1
2020/03/26,GY,Guyana,Americas,5,-59,5,0,1
2020/03/27,GY,Guyana,Americas,5,-59,5,0,1
2020/03/28,GY,Guyana,Americas,5,-59,8,0,1
2020/03/29,GY,Guyana,Americas,5,-59,8,0,1
2020/03/30,GY,Guyana,Americas,5,-59,8,0,1
2020/03/31,GY,Guyana,Americas,5,-59,12,0,2
2020/04/01,GY,Guyana,Americas,5,-59,19,0,3
2020/04/02,GY,Guyana,Americas,5,-59,19,0,4
2020/04/03,GY,Guyana,Americas,5,-59,23,0,4
2020/04/04,GY,Guyana,Americas,5,-59,23,0,4
2020/04/05,GY,Guyana,Americas,5,-59,24,0,4
2020/04/06,GY,Guyana,Americas,5,-59,31,8,4
2020/04/07,GY,Guyana,Americas,5,-59,33,8,5
2020/04/08,GY,Guyana,Americas,5,-59,37,8,6
2020/04/09,GY,Guyana,Americas,5,-59,37,8,6
2020/04/10,GY,Guyana,Americas,5,-59,37,8,6
2020/04/11,GY,Guyana,Americas,5,-59,45,8,6
2020/04/12,GY,Guyana,Americas,5,-59,45,8,6
2020/04/13,GY,Guyana,Americas,5,-59,45,8,6
2020/04/14,GY,Guyana,Americas,5,-59,47,8,6
2020/04/15,GY,Guyana,Americas,5,-59,55,8,6
