day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ER,Eritrea,Africa,15,39,0,0,0
2020/01/23,ER,Eritrea,Africa,15,39,0,0,0
2020/01/24,ER,Eritrea,Africa,15,39,0,0,0
2020/01/25,ER,Eritrea,Africa,15,39,0,0,0
2020/01/26,ER,Eritrea,Africa,15,39,0,0,0
2020/01/27,ER,Eritrea,Africa,15,39,0,0,0
2020/01/28,ER,Eritrea,Africa,15,39,0,0,0
2020/01/29,ER,Eritrea,Africa,15,39,0,0,0
2020/01/30,ER,Eritrea,Africa,15,39,0,0,0
2020/01/31,ER,Eritrea,Africa,15,39,0,0,0
2020/02/01,ER,Eritrea,Africa,15,39,0,0,0
2020/02/02,ER,Eritrea,Africa,15,39,0,0,0
2020/02/03,ER,Eritrea,Africa,15,39,0,0,0
2020/02/04,ER,Eritrea,Africa,15,39,0,0,0
2020/02/05,ER,Eritrea,Africa,15,39,0,0,0
2020/02/06,ER,Eritrea,Africa,15,39,0,0,0
2020/02/07,ER,Eritrea,Africa,15,39,0,0,0
2020/02/08,ER,Eritrea,Africa,15,39,0,0,0
2020/02/09,ER,Eritrea,Africa,15,39,0,0,0
2020/02/10,ER,Eritrea,Africa,15,39,0,0,0
2020/02/11,ER,Eritrea,Africa,15,39,0,0,0
2020/02/12,ER,Eritrea,Africa,15,39,0,0,0
2020/02/13,ER,Eritrea,Africa,15,39,0,0,0
2020/02/14,ER,Eritrea,Africa,15,39,0,0,0
2020/02/15,ER,Eritrea,Africa,15,39,0,0,0
2020/02/16,ER,Eritrea,Africa,15,39,0,0,0
2020/02/17,ER,Eritrea,Africa,15,39,0,0,0
2020/02/18,ER,Eritrea,Africa,15,39,0,0,0
2020/02/19,ER,Eritrea,Africa,15,39,0,0,0
2020/02/20,ER,Eritrea,Africa,15,39,0,0,0
2020/02/21,ER,Eritrea,Africa,15,39,0,0,0
2020/02/22,ER,Eritrea,Africa,15,39,0,0,0
2020/02/23,ER,Eritrea,Africa,15,39,0,0,0
2020/02/24,ER,Eritrea,Africa,15,39,0,0,0
2020/02/25,ER,Eritrea,Africa,15,39,0,0,0
2020/02/26,ER,Eritrea,Africa,15,39,0,0,0
2020/02/27,ER,Eritrea,Africa,15,39,0,0,0
2020/02/28,ER,Eritrea,Africa,15,39,0,0,0
2020/02/29,ER,Eritrea,Africa,15,39,0,0,0
2020/03/01,ER,Eritrea,Africa,15,39,0,0,0
2020/03/02,ER,Eritrea,Africa,15,39,0,0,0
2020/03/03,ER,Eritrea,Africa,15,39,0,0,0
2020/03/04,ER,Eritrea,Africa,15,39,0,0,0
2020/03/05,ER,Eritrea,Africa,15,39,0,0,0
2020/03/06,ER,Eritrea,Africa,15,39,0,0,0
2020/03/07,ER,Eritrea,Africa,15,39,0,0,0
2020/03/08,ER,Eritrea,Africa,15,39,0,0,0
2020/03/09,ER,Eritrea,Africa,15,39,0,0,0
2020/03/10,ER,Eritrea,Africa,15,39,0,0,0
2020/03/11,ER,Eritrea,Africa,15,39,0,0,0
2020/03/12,ER,Eritrea,Africa,15,39,0,0,0
2020/03/13,ER,Eritrea,Africa,15,39,0,0,0
2020/03/14,ER,Eritrea,Africa,15,39,0,0,0
2020/03/15,ER,Eritrea,Africa,15,39,0,0,0
2020/03/16,ER,Eritrea,Africa,15,39,0,0,0
2020/03/17,ER,Eritrea,Africa,15,39,0,0,0
2020/03/18,ER,Eritrea,Africa,15,39,0,0,0
2020/03/19,ER,Eritrea,Africa,15,39,0,0,0
2020/03/20,ER,Eritrea,Africa,15,39,0,0,0
2020/03/21,ER,Eritrea,Africa,15,39,1,0,0
2020/03/22,ER,Eritrea,Africa,15,39,1,0,0
2020/03/23,ER,Eritrea,Africa,15,39,1,0,0
2020/03/24,ER,Eritrea,Africa,15,39,1,0,0
2020/03/25,ER,Eritrea,Africa,15,39,4,0,0
2020/03/26,ER,Eritrea,Africa,15,39,6,0,0
2020/03/27,ER,Eritrea,Africa,15,39,6,0,0
2020/03/28,ER,Eritrea,Africa,15,39,6,0,0
2020/03/29,ER,Eritrea,Africa,15,39,12,0,0
2020/03/30,ER,Eritrea,Africa,15,39,12,0,0
2020/03/31,ER,Eritrea,Africa,15,39,15,0,0
2020/04/01,ER,Eritrea,Africa,15,39,15,0,0
2020/04/02,ER,Eritrea,Africa,15,39,22,0,0
2020/04/03,ER,Eritrea,Africa,15,39,22,0,0
2020/04/04,ER,Eritrea,Africa,15,39,29,0,0
2020/04/05,ER,Eritrea,Africa,15,39,29,0,0
2020/04/06,ER,Eritrea,Africa,15,39,31,0,0
2020/04/07,ER,Eritrea,Africa,15,39,31,0,0
2020/04/08,ER,Eritrea,Africa,15,39,33,0,0
2020/04/09,ER,Eritrea,Africa,15,39,33,0,0
2020/04/10,ER,Eritrea,Africa,15,39,34,0,0
2020/04/11,ER,Eritrea,Africa,15,39,34,0,0
2020/04/12,ER,Eritrea,Africa,15,39,34,0,0
2020/04/13,ER,Eritrea,Africa,15,39,34,0,0
2020/04/14,ER,Eritrea,Africa,15,39,35,0,0
2020/04/15,ER,Eritrea,Africa,15,39,35,0,0
2020/04/16,ER,Eritrea,Africa,15,39,35,0,0
2020/04/17,ER,Eritrea,Africa,15,39,35,0,0
2020/04/18,ER,Eritrea,Africa,15,39,39,3,0
2020/04/19,ER,Eritrea,Africa,15,39,39,3,0
2020/04/20,ER,Eritrea,Africa,15,39,39,3,0
2020/04/21,ER,Eritrea,Africa,15,39,39,6,0
2020/04/22,ER,Eritrea,Africa,15,39,39,6,0
2020/04/23,ER,Eritrea,Africa,15,39,39,6,0
2020/04/24,ER,Eritrea,Africa,15,39,39,11,0
2020/04/25,ER,Eritrea,Africa,15,39,39,13,0
2020/04/26,ER,Eritrea,Africa,15,39,39,13,0
2020/04/27,ER,Eritrea,Africa,15,39,39,13,0
2020/04/28,ER,Eritrea,Africa,15,39,39,19,0
2020/04/29,ER,Eritrea,Africa,15,39,39,19,0
2020/04/30,ER,Eritrea,Africa,15,39,39,26,0
2020/05/01,ER,Eritrea,Africa,15,39,39,26,0
2020/05/02,ER,Eritrea,Africa,15,39,39,26,0
2020/05/03,ER,Eritrea,Africa,15,39,39,26,0
2020/05/04,ER,Eritrea,Africa,15,39,39,26,0
2020/05/05,ER,Eritrea,Africa,15,39,39,30,0
2020/05/06,ER,Eritrea,Africa,15,39,39,30,0
2020/05/07,ER,Eritrea,Africa,15,39,39,30,0
2020/05/08,ER,Eritrea,Africa,15,39,39,37,0
2020/05/09,ER,Eritrea,Africa,15,39,39,37,0
2020/05/10,ER,Eritrea,Africa,15,39,39,37,0
2020/05/11,ER,Eritrea,Africa,15,39,39,38,0
2020/05/12,ER,Eritrea,Africa,15,39,39,38,0
2020/05/13,ER,Eritrea,Africa,15,39,39,38,0
2020/05/14,ER,Eritrea,Africa,15,39,39,38,0
2020/05/15,ER,Eritrea,Africa,15,39,39,39,0
2020/05/16,ER,Eritrea,Africa,15,39,39,39,0
2020/05/17,ER,Eritrea,Africa,15,39,39,39,0
2020/05/18,ER,Eritrea,Africa,15,39,39,39,0
2020/05/19,ER,Eritrea,Africa,15,39,39,39,0
2020/05/20,ER,Eritrea,Africa,15,39,39,39,0
2020/05/21,ER,Eritrea,Africa,15,39,39,39,0
2020/05/22,ER,Eritrea,Africa,15,39,39,39,0
2020/05/23,ER,Eritrea,Africa,15,39,39,39,0
2020/05/24,ER,Eritrea,Africa,15,39,39,39,0
2020/05/25,ER,Eritrea,Africa,15,39,39,39,0
2020/05/26,ER,Eritrea,Africa,15,39,39,39,0
2020/05/27,ER,Eritrea,Africa,15,39,39,39,0
2020/05/28,ER,Eritrea,Africa,15,39,39,39,0
2020/05/29,ER,Eritrea,Africa,15,39,39,39,0
2020/05/30,ER,Eritrea,Africa,15,39,39,39,0
2020/05/31,ER,Eritrea,Africa,15,39,39,39,0
2020/06/01,ER,Eritrea,Africa,15,39,39,39,0
2020/06/02,ER,Eritrea,Africa,15,39,39,39,0
2020/06/03,ER,Eritrea,Africa,15,39,39,39,0
2020/06/04,ER,Eritrea,Africa,15,39,39,39,0
2020/06/05,ER,Eritrea,Africa,15,39,39,39,0
2020/06/06,ER,Eritrea,Africa,15,39,39,39,0
2020/06/07,ER,Eritrea,Africa,15,39,39,39,0
2020/06/08,ER,Eritrea,Africa,15,39,39,39,0
2020/06/09,ER,Eritrea,Africa,15,39,39,39,0
2020/06/10,ER,Eritrea,Africa,15,39,39,39,0
2020/06/11,ER,Eritrea,Africa,15,39,41,39,0
2020/06/12,ER,Eritrea,Africa,15,39,41,39,0
2020/06/13,ER,Eritrea,Africa,15,39,65,39,0
2020/06/14,ER,Eritrea,Africa,15,39,96,39,0
2020/06/15,ER,Eritrea,Africa,15,39,109,39,0
2020/06/16,ER,Eritrea,Africa,15,39,121,39,0
2020/06/17,ER,Eritrea,Africa,15,39,131,39,0
2020/06/18,ER,Eritrea,Africa,15,39,142,39,0
2020/06/19,ER,Eritrea,Africa,15,39,142,39,0
2020/06/20,ER,Eritrea,Africa,15,39,143,39,0
2020/06/21,ER,Eritrea,Africa,15,39,143,39,0
2020/06/22,ER,Eritrea,Africa,15,39,143,39,0
2020/06/23,ER,Eritrea,Africa,15,39,143,39,0
2020/06/24,ER,Eritrea,Africa,15,39,144,39,0
2020/06/25,ER,Eritrea,Africa,15,39,144,39,0
2020/06/26,ER,Eritrea,Africa,15,39,144,39,0
2020/06/27,ER,Eritrea,Africa,15,39,191,53,0
2020/06/28,ER,Eritrea,Africa,15,39,191,53,0
2020/06/29,ER,Eritrea,Africa,15,39,191,53,0
2020/06/30,ER,Eritrea,Africa,15,39,203,53,0
2020/07/01,ER,Eritrea,Africa,15,39,203,53,0
2020/07/02,ER,Eritrea,Africa,15,39,215,56,0
2020/07/03,ER,Eritrea,Africa,15,39,215,56,0
2020/07/04,ER,Eritrea,Africa,15,39,215,56,0
2020/07/05,ER,Eritrea,Africa,15,39,215,56,0
2020/07/06,ER,Eritrea,Africa,15,39,215,56,0
2020/07/07,ER,Eritrea,Africa,15,39,215,56,0
2020/07/08,ER,Eritrea,Africa,15,39,215,56,0
2020/07/09,ER,Eritrea,Africa,15,39,232,107,0
2020/07/10,ER,Eritrea,Africa,15,39,232,107,0
2020/07/11,ER,Eritrea,Africa,15,39,232,107,0
2020/07/12,ER,Eritrea,Africa,15,39,232,107,0
2020/07/13,ER,Eritrea,Africa,15,39,232,107,0
2020/07/14,ER,Eritrea,Africa,15,39,232,107,0
2020/07/15,ER,Eritrea,Africa,15,39,232,107,0
2020/07/16,ER,Eritrea,Africa,15,39,251,149,0
2020/07/17,ER,Eritrea,Africa,15,39,251,155,0
2020/07/18,ER,Eritrea,Africa,15,39,251,155,0
