day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PK,Pakistan,Asia,30,70,0,0,0
2020/01/23,PK,Pakistan,Asia,30,70,0,0,0
2020/01/24,PK,Pakistan,Asia,30,70,0,0,0
2020/01/25,PK,Pakistan,Asia,30,70,0,0,0
2020/01/26,PK,Pakistan,Asia,30,70,0,0,0
2020/01/27,PK,Pakistan,Asia,30,70,0,0,0
2020/01/28,PK,Pakistan,Asia,30,70,0,0,0
2020/01/29,PK,Pakistan,Asia,30,70,0,0,0
2020/01/30,PK,Pakistan,Asia,30,70,0,0,0
2020/01/31,PK,Pakistan,Asia,30,70,0,0,0
2020/02/01,PK,Pakistan,Asia,30,70,0,0,0
2020/02/02,PK,Pakistan,Asia,30,70,0,0,0
2020/02/03,PK,Pakistan,Asia,30,70,0,0,0
2020/02/04,PK,Pakistan,Asia,30,70,0,0,0
2020/02/05,PK,Pakistan,Asia,30,70,0,0,0
2020/02/06,PK,Pakistan,Asia,30,70,0,0,0
2020/02/07,PK,Pakistan,Asia,30,70,0,0,0
2020/02/08,PK,Pakistan,Asia,30,70,0,0,0
2020/02/09,PK,Pakistan,Asia,30,70,0,0,0
2020/02/10,PK,Pakistan,Asia,30,70,0,0,0
2020/02/11,PK,Pakistan,Asia,30,70,0,0,0
2020/02/12,PK,Pakistan,Asia,30,70,0,0,0
2020/02/13,PK,Pakistan,Asia,30,70,0,0,0
2020/02/14,PK,Pakistan,Asia,30,70,0,0,0
2020/02/15,PK,Pakistan,Asia,30,70,0,0,0
2020/02/16,PK,Pakistan,Asia,30,70,0,0,0
2020/02/17,PK,Pakistan,Asia,30,70,0,0,0
2020/02/18,PK,Pakistan,Asia,30,70,0,0,0
2020/02/19,PK,Pakistan,Asia,30,70,0,0,0
2020/02/20,PK,Pakistan,Asia,30,70,0,0,0
2020/02/21,PK,Pakistan,Asia,30,70,0,0,0
2020/02/22,PK,Pakistan,Asia,30,70,0,0,0
2020/02/23,PK,Pakistan,Asia,30,70,0,0,0
2020/02/24,PK,Pakistan,Asia,30,70,0,0,0
2020/02/25,PK,Pakistan,Asia,30,70,0,0,0
2020/02/26,PK,Pakistan,Asia,30,70,2,0,0
2020/02/27,PK,Pakistan,Asia,30,70,2,0,0
2020/02/28,PK,Pakistan,Asia,30,70,2,0,0
2020/02/29,PK,Pakistan,Asia,30,70,4,0,0
2020/03/01,PK,Pakistan,Asia,30,70,4,0,0
2020/03/02,PK,Pakistan,Asia,30,70,4,0,0
2020/03/03,PK,Pakistan,Asia,30,70,5,0,0
2020/03/04,PK,Pakistan,Asia,30,70,5,0,0
2020/03/05,PK,Pakistan,Asia,30,70,5,0,0
2020/03/06,PK,Pakistan,Asia,30,70,6,0,0
2020/03/07,PK,Pakistan,Asia,30,70,6,0,0
2020/03/08,PK,Pakistan,Asia,30,70,6,1,0
2020/03/09,PK,Pakistan,Asia,30,70,6,1,0
2020/03/10,PK,Pakistan,Asia,30,70,16,1,0
2020/03/11,PK,Pakistan,Asia,30,70,19,2,0
2020/03/12,PK,Pakistan,Asia,30,70,20,2,0
2020/03/13,PK,Pakistan,Asia,30,70,28,2,0
2020/03/14,PK,Pakistan,Asia,30,70,31,2,0
2020/03/15,PK,Pakistan,Asia,30,70,53,2,0
2020/03/16,PK,Pakistan,Asia,30,70,136,2,0
2020/03/17,PK,Pakistan,Asia,30,70,236,2,0
2020/03/18,PK,Pakistan,Asia,30,70,299,2,0
2020/03/19,PK,Pakistan,Asia,30,70,454,13,2
2020/03/20,PK,Pakistan,Asia,30,70,501,13,3
2020/03/21,PK,Pakistan,Asia,30,70,730,13,3
2020/03/22,PK,Pakistan,Asia,30,70,776,13,4
2020/03/23,PK,Pakistan,Asia,30,70,875,13,6
2020/03/24,PK,Pakistan,Asia,30,70,972,18,7
2020/03/25,PK,Pakistan,Asia,30,70,1063,21,8
2020/03/26,PK,Pakistan,Asia,30,70,1201,21,9
2020/03/27,PK,Pakistan,Asia,30,70,1373,23,11
2020/03/28,PK,Pakistan,Asia,30,70,1495,29,12
2020/03/29,PK,Pakistan,Asia,30,70,1597,29,14
