day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PA,Panama,Americas,9,-80,0,0,0
2020/01/23,PA,Panama,Americas,9,-80,0,0,0
2020/01/24,PA,Panama,Americas,9,-80,0,0,0
2020/01/25,PA,Panama,Americas,9,-80,0,0,0
2020/01/26,PA,Panama,Americas,9,-80,0,0,0
2020/01/27,PA,Panama,Americas,9,-80,0,0,0
2020/01/28,PA,Panama,Americas,9,-80,0,0,0
2020/01/29,PA,Panama,Americas,9,-80,0,0,0
2020/01/30,PA,Panama,Americas,9,-80,0,0,0
2020/01/31,PA,Panama,Americas,9,-80,0,0,0
2020/02/01,PA,Panama,Americas,9,-80,0,0,0
2020/02/02,PA,Panama,Americas,9,-80,0,0,0
2020/02/03,PA,Panama,Americas,9,-80,0,0,0
2020/02/04,PA,Panama,Americas,9,-80,0,0,0
2020/02/05,PA,Panama,Americas,9,-80,0,0,0
2020/02/06,PA,Panama,Americas,9,-80,0,0,0
2020/02/07,PA,Panama,Americas,9,-80,0,0,0
2020/02/08,PA,Panama,Americas,9,-80,0,0,0
2020/02/09,PA,Panama,Americas,9,-80,0,0,0
2020/02/10,PA,Panama,Americas,9,-80,0,0,0
2020/02/11,PA,Panama,Americas,9,-80,0,0,0
2020/02/12,PA,Panama,Americas,9,-80,0,0,0
2020/02/13,PA,Panama,Americas,9,-80,0,0,0
2020/02/14,PA,Panama,Americas,9,-80,0,0,0
2020/02/15,PA,Panama,Americas,9,-80,0,0,0
2020/02/16,PA,Panama,Americas,9,-80,0,0,0
2020/02/17,PA,Panama,Americas,9,-80,0,0,0
2020/02/18,PA,Panama,Americas,9,-80,0,0,0
2020/02/19,PA,Panama,Americas,9,-80,0,0,0
2020/02/20,PA,Panama,Americas,9,-80,0,0,0
2020/02/21,PA,Panama,Americas,9,-80,0,0,0
2020/02/22,PA,Panama,Americas,9,-80,0,0,0
2020/02/23,PA,Panama,Americas,9,-80,0,0,0
2020/02/24,PA,Panama,Americas,9,-80,0,0,0
2020/02/25,PA,Panama,Americas,9,-80,0,0,0
2020/02/26,PA,Panama,Americas,9,-80,0,0,0
2020/02/27,PA,Panama,Americas,9,-80,0,0,0
2020/02/28,PA,Panama,Americas,9,-80,0,0,0
2020/02/29,PA,Panama,Americas,9,-80,0,0,0
2020/03/01,PA,Panama,Americas,9,-80,0,0,0
2020/03/02,PA,Panama,Americas,9,-80,0,0,0
2020/03/03,PA,Panama,Americas,9,-80,0,0,0
2020/03/04,PA,Panama,Americas,9,-80,0,0,0
2020/03/05,PA,Panama,Americas,9,-80,0,0,0
2020/03/06,PA,Panama,Americas,9,-80,0,0,0
2020/03/07,PA,Panama,Americas,9,-80,0,0,0
2020/03/08,PA,Panama,Americas,9,-80,0,0,0
2020/03/09,PA,Panama,Americas,9,-80,0,0,0
2020/03/10,PA,Panama,Americas,9,-80,1,0,0
2020/03/11,PA,Panama,Americas,9,-80,8,0,1
2020/03/12,PA,Panama,Americas,9,-80,11,0,1
2020/03/13,PA,Panama,Americas,9,-80,27,0,1
2020/03/14,PA,Panama,Americas,9,-80,36,0,1
2020/03/15,PA,Panama,Americas,9,-80,43,0,1
2020/03/16,PA,Panama,Americas,9,-80,55,0,1
2020/03/17,PA,Panama,Americas,9,-80,69,0,1
2020/03/18,PA,Panama,Americas,9,-80,86,0,1
2020/03/19,PA,Panama,Americas,9,-80,109,0,1
2020/03/20,PA,Panama,Americas,9,-80,137,0,1
2020/03/21,PA,Panama,Americas,9,-80,200,0,1
2020/03/22,PA,Panama,Americas,9,-80,245,0,3
2020/03/23,PA,Panama,Americas,9,-80,345,1,6
2020/03/24,PA,Panama,Americas,9,-80,345,1,6
2020/03/25,PA,Panama,Americas,9,-80,558,2,8
2020/03/26,PA,Panama,Americas,9,-80,558,2,8
2020/03/27,PA,Panama,Americas,9,-80,674,2,9
2020/03/28,PA,Panama,Americas,9,-80,786,2,14
2020/03/29,PA,Panama,Americas,9,-80,989,4,24
2020/03/30,PA,Panama,Americas,9,-80,1075,4,24
