day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,US,United States,Americas,38,-97,1,0,0
2020/01/23,US,United States,Americas,38,-97,1,0,0
2020/01/24,US,United States,Americas,38,-97,2,0,0
2020/01/25,US,United States,Americas,38,-97,2,0,0
2020/01/26,US,United States,Americas,38,-97,5,0,0
2020/01/27,US,United States,Americas,38,-97,5,0,0
2020/01/28,US,United States,Americas,38,-97,5,0,0
2020/01/29,US,United States,Americas,38,-97,5,0,0
2020/01/30,US,United States,Americas,38,-97,5,0,0
2020/01/31,US,United States,Americas,38,-97,7,0,0
2020/02/01,US,United States,Americas,38,-97,8,0,0
2020/02/02,US,United States,Americas,38,-97,8,0,0
2020/02/03,US,United States,Americas,38,-97,11,0,0
2020/02/04,US,United States,Americas,38,-97,11,0,0
2020/02/05,US,United States,Americas,38,-97,11,0,0
2020/02/06,US,United States,Americas,38,-97,11,0,0
2020/02/07,US,United States,Americas,38,-97,11,0,0
2020/02/08,US,United States,Americas,38,-97,11,0,0
2020/02/09,US,United States,Americas,38,-97,11,3,0
2020/02/10,US,United States,Americas,38,-97,11,3,0
2020/02/11,US,United States,Americas,38,-97,12,3,0
2020/02/12,US,United States,Americas,38,-97,12,3,0
2020/02/13,US,United States,Americas,38,-97,13,3,0
2020/02/14,US,United States,Americas,38,-97,13,3,0
2020/02/15,US,United States,Americas,38,-97,13,3,0
2020/02/16,US,United States,Americas,38,-97,13,3,0
2020/02/17,US,United States,Americas,38,-97,13,3,0
2020/02/18,US,United States,Americas,38,-97,13,3,0
2020/02/19,US,United States,Americas,38,-97,13,3,0
2020/02/20,US,United States,Americas,38,-97,13,3,0
2020/02/21,US,United States,Americas,38,-97,15,5,0
2020/02/22,US,United States,Americas,38,-97,15,5,0
2020/02/23,US,United States,Americas,38,-97,15,5,0
2020/02/24,US,United States,Americas,38,-97,51,5,0
2020/02/25,US,United States,Americas,38,-97,51,6,0
2020/02/26,US,United States,Americas,38,-97,57,6,0
2020/02/27,US,United States,Americas,38,-97,58,6,0
2020/02/28,US,United States,Americas,38,-97,60,7,0
2020/02/29,US,United States,Americas,38,-97,68,7,1
2020/03/01,US,United States,Americas,38,-97,74,7,1
2020/03/02,US,United States,Americas,38,-97,98,7,6
2020/03/03,US,United States,Americas,38,-97,118,7,7
2020/03/04,US,United States,Americas,38,-97,149,7,11
2020/03/05,US,United States,Americas,38,-97,217,7,12
2020/03/06,US,United States,Americas,38,-97,262,7,14
2020/03/07,US,United States,Americas,38,-97,402,7,17
2020/03/08,US,United States,Americas,38,-97,518,7,21
2020/03/09,US,United States,Americas,38,-97,583,7,22
2020/03/10,US,United States,Americas,38,-97,959,8,28
2020/03/11,US,United States,Americas,38,-97,1281,8,36
2020/03/12,US,United States,Americas,38,-97,1663,12,40
2020/03/13,US,United States,Americas,38,-97,2179,12,47
2020/03/14,US,United States,Americas,38,-97,2723,12,54
2020/03/15,US,United States,Americas,38,-97,3490,12,63
2020/03/16,US,United States,Americas,38,-97,4623,17,85
2020/03/17,US,United States,Americas,38,-97,6411,17,108
2020/03/18,US,United States,Americas,38,-97,7771,17,118
2020/03/19,US,United States,Americas,38,-97,13657,17,200
2020/03/20,US,United States,Americas,38,-97,19069,17,244
2020/03/21,US,United States,Americas,38,-97,25450,17,306
2020/03/22,US,United States,Americas,38,-97,33219,178,415
2020/03/23,US,United States,Americas,38,-97,43469,295,545
2020/03/24,US,United States,Americas,38,-97,53443,370,696
2020/03/25,US,United States,Americas,38,-97,65652,394,931
2020/03/26,US,United States,Americas,38,-97,83672,1864,1209
2020/03/27,US,United States,Americas,38,-97,102338,2471,1607
2020/03/28,US,United States,Americas,38,-97,123311,3231,2211
2020/03/29,US,United States,Americas,38,-97,141781,4435,2471
2020/03/30,US,United States,Americas,38,-97,163195,5401,3148
2020/03/31,US,United States,Americas,38,-97,187321,6461,3850
2020/04/01,US,United States,Americas,38,-97,214639,8878,5099
2020/04/02,US,United States,Americas,38,-97,244230,10403,5883
