day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AM,Armenia,Asia,40,45,0,0,0
2020/01/23,AM,Armenia,Asia,40,45,0,0,0
2020/01/24,AM,Armenia,Asia,40,45,0,0,0
2020/01/25,AM,Armenia,Asia,40,45,0,0,0
2020/01/26,AM,Armenia,Asia,40,45,0,0,0
2020/01/27,AM,Armenia,Asia,40,45,0,0,0
2020/01/28,AM,Armenia,Asia,40,45,0,0,0
2020/01/29,AM,Armenia,Asia,40,45,0,0,0
2020/01/30,AM,Armenia,Asia,40,45,0,0,0
2020/01/31,AM,Armenia,Asia,40,45,0,0,0
2020/02/01,AM,Armenia,Asia,40,45,0,0,0
2020/02/02,AM,Armenia,Asia,40,45,0,0,0
2020/02/03,AM,Armenia,Asia,40,45,0,0,0
2020/02/04,AM,Armenia,Asia,40,45,0,0,0
2020/02/05,AM,Armenia,Asia,40,45,0,0,0
2020/02/06,AM,Armenia,Asia,40,45,0,0,0
2020/02/07,AM,Armenia,Asia,40,45,0,0,0
2020/02/08,AM,Armenia,Asia,40,45,0,0,0
2020/02/09,AM,Armenia,Asia,40,45,0,0,0
2020/02/10,AM,Armenia,Asia,40,45,0,0,0
2020/02/11,AM,Armenia,Asia,40,45,0,0,0
2020/02/12,AM,Armenia,Asia,40,45,0,0,0
2020/02/13,AM,Armenia,Asia,40,45,0,0,0
2020/02/14,AM,Armenia,Asia,40,45,0,0,0
2020/02/15,AM,Armenia,Asia,40,45,0,0,0
2020/02/16,AM,Armenia,Asia,40,45,0,0,0
2020/02/17,AM,Armenia,Asia,40,45,0,0,0
2020/02/18,AM,Armenia,Asia,40,45,0,0,0
2020/02/19,AM,Armenia,Asia,40,45,0,0,0
2020/02/20,AM,Armenia,Asia,40,45,0,0,0
2020/02/21,AM,Armenia,Asia,40,45,0,0,0
2020/02/22,AM,Armenia,Asia,40,45,0,0,0
2020/02/23,AM,Armenia,Asia,40,45,0,0,0
2020/02/24,AM,Armenia,Asia,40,45,0,0,0
2020/02/25,AM,Armenia,Asia,40,45,0,0,0
2020/02/26,AM,Armenia,Asia,40,45,0,0,0
2020/02/27,AM,Armenia,Asia,40,45,0,0,0
2020/02/28,AM,Armenia,Asia,40,45,0,0,0
2020/02/29,AM,Armenia,Asia,40,45,0,0,0
2020/03/01,AM,Armenia,Asia,40,45,1,0,0
2020/03/02,AM,Armenia,Asia,40,45,1,0,0
2020/03/03,AM,Armenia,Asia,40,45,1,0,0
2020/03/04,AM,Armenia,Asia,40,45,1,0,0
2020/03/05,AM,Armenia,Asia,40,45,1,0,0
2020/03/06,AM,Armenia,Asia,40,45,1,0,0
2020/03/07,AM,Armenia,Asia,40,45,1,0,0
2020/03/08,AM,Armenia,Asia,40,45,1,0,0
2020/03/09,AM,Armenia,Asia,40,45,1,0,0
2020/03/10,AM,Armenia,Asia,40,45,1,0,0
2020/03/11,AM,Armenia,Asia,40,45,1,0,0
2020/03/12,AM,Armenia,Asia,40,45,4,0,0
2020/03/13,AM,Armenia,Asia,40,45,8,0,0
2020/03/14,AM,Armenia,Asia,40,45,18,0,0
2020/03/15,AM,Armenia,Asia,40,45,26,0,0
2020/03/16,AM,Armenia,Asia,40,45,52,0,0
2020/03/17,AM,Armenia,Asia,40,45,78,1,0
2020/03/18,AM,Armenia,Asia,40,45,84,1,0
2020/03/19,AM,Armenia,Asia,40,45,115,1,0
2020/03/20,AM,Armenia,Asia,40,45,136,1,0
2020/03/21,AM,Armenia,Asia,40,45,160,1,0
2020/03/22,AM,Armenia,Asia,40,45,194,2,0
2020/03/23,AM,Armenia,Asia,40,45,235,2,0
2020/03/24,AM,Armenia,Asia,40,45,249,14,0
2020/03/25,AM,Armenia,Asia,40,45,265,16,0
2020/03/26,AM,Armenia,Asia,40,45,290,18,1
2020/03/27,AM,Armenia,Asia,40,45,329,28,1
2020/03/28,AM,Armenia,Asia,40,45,407,30,1
2020/03/29,AM,Armenia,Asia,40,45,424,30,3
2020/03/30,AM,Armenia,Asia,40,45,482,30,3
2020/03/31,AM,Armenia,Asia,40,45,532,30,3
2020/04/01,AM,Armenia,Asia,40,45,571,31,4
2020/04/02,AM,Armenia,Asia,40,45,663,33,7
2020/04/03,AM,Armenia,Asia,40,45,736,43,7
2020/04/04,AM,Armenia,Asia,40,45,770,43,7
2020/04/05,AM,Armenia,Asia,40,45,822,57,7
