day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/23,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/24,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/25,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/26,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/27,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/28,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/29,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/30,BD,Bangladesh,Asia,24,90,0,0,0
2020/01/31,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/01,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/02,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/03,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/04,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/05,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/06,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/07,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/08,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/09,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/10,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/11,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/12,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/13,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/14,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/15,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/16,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/17,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/18,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/19,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/20,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/21,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/22,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/23,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/24,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/25,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/26,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/27,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/28,BD,Bangladesh,Asia,24,90,0,0,0
2020/02/29,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/01,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/02,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/03,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/04,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/05,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/06,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/07,BD,Bangladesh,Asia,24,90,0,0,0
2020/03/08,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/09,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/10,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/11,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/12,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/13,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/14,BD,Bangladesh,Asia,24,90,3,0,0
2020/03/15,BD,Bangladesh,Asia,24,90,5,0,0
2020/03/16,BD,Bangladesh,Asia,24,90,8,2,0
2020/03/17,BD,Bangladesh,Asia,24,90,10,3,0
2020/03/18,BD,Bangladesh,Asia,24,90,14,3,1
2020/03/19,BD,Bangladesh,Asia,24,90,17,3,1
2020/03/20,BD,Bangladesh,Asia,24,90,20,3,1
2020/03/21,BD,Bangladesh,Asia,24,90,25,3,2
2020/03/22,BD,Bangladesh,Asia,24,90,27,3,2
2020/03/23,BD,Bangladesh,Asia,24,90,33,5,3
2020/03/24,BD,Bangladesh,Asia,24,90,39,5,4
2020/03/25,BD,Bangladesh,Asia,24,90,39,7,5
2020/03/26,BD,Bangladesh,Asia,24,90,44,11,5
2020/03/27,BD,Bangladesh,Asia,24,90,48,11,5
2020/03/28,BD,Bangladesh,Asia,24,90,48,15,5
2020/03/29,BD,Bangladesh,Asia,24,90,48,15,5
2020/03/30,BD,Bangladesh,Asia,24,90,49,19,5
2020/03/31,BD,Bangladesh,Asia,24,90,51,25,5
2020/04/01,BD,Bangladesh,Asia,24,90,54,25,6
2020/04/02,BD,Bangladesh,Asia,24,90,56,25,6
2020/04/03,BD,Bangladesh,Asia,24,90,61,26,6
2020/04/04,BD,Bangladesh,Asia,24,90,70,30,8
2020/04/05,BD,Bangladesh,Asia,24,90,88,33,9
2020/04/06,BD,Bangladesh,Asia,24,90,123,33,12
2020/04/07,BD,Bangladesh,Asia,24,90,164,33,17
2020/04/08,BD,Bangladesh,Asia,24,90,218,33,20
2020/04/09,BD,Bangladesh,Asia,24,90,330,33,21
2020/04/10,BD,Bangladesh,Asia,24,90,424,33,27
2020/04/11,BD,Bangladesh,Asia,24,90,482,36,30
2020/04/12,BD,Bangladesh,Asia,24,90,621,39,34
2020/04/13,BD,Bangladesh,Asia,24,90,803,42,39
2020/04/14,BD,Bangladesh,Asia,24,90,1012,42,46
2020/04/15,BD,Bangladesh,Asia,24,90,1231,49,50
2020/04/16,BD,Bangladesh,Asia,24,90,1572,49,60
2020/04/17,BD,Bangladesh,Asia,24,90,1838,58,75
2020/04/18,BD,Bangladesh,Asia,24,90,2144,66,84
2020/04/19,BD,Bangladesh,Asia,24,90,2456,75,91
2020/04/20,BD,Bangladesh,Asia,24,90,2948,85,101
2020/04/21,BD,Bangladesh,Asia,24,90,3382,87,110
2020/04/22,BD,Bangladesh,Asia,24,90,3772,92,120
2020/04/23,BD,Bangladesh,Asia,24,90,4186,108,127
2020/04/24,BD,Bangladesh,Asia,24,90,4689,112,131
2020/04/25,BD,Bangladesh,Asia,24,90,4998,113,140
2020/04/26,BD,Bangladesh,Asia,24,90,5416,122,145
2020/04/27,BD,Bangladesh,Asia,24,90,5913,131,152
2020/04/28,BD,Bangladesh,Asia,24,90,6462,139,155
2020/04/29,BD,Bangladesh,Asia,24,90,7103,150,163
2020/04/30,BD,Bangladesh,Asia,24,90,7667,160,168
2020/05/01,BD,Bangladesh,Asia,24,90,8238,174,170
2020/05/02,BD,Bangladesh,Asia,24,90,8790,177,175
2020/05/03,BD,Bangladesh,Asia,24,90,9455,1063,177
