day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,EE,Estonia,Europe,59,26,0,0,0
2020/01/23,EE,Estonia,Europe,59,26,0,0,0
2020/01/24,EE,Estonia,Europe,59,26,0,0,0
2020/01/25,EE,Estonia,Europe,59,26,0,0,0
2020/01/26,EE,Estonia,Europe,59,26,0,0,0
2020/01/27,EE,Estonia,Europe,59,26,0,0,0
2020/01/28,EE,Estonia,Europe,59,26,0,0,0
2020/01/29,EE,Estonia,Europe,59,26,0,0,0
2020/01/30,EE,Estonia,Europe,59,26,0,0,0
2020/01/31,EE,Estonia,Europe,59,26,0,0,0
2020/02/01,EE,Estonia,Europe,59,26,0,0,0
2020/02/02,EE,Estonia,Europe,59,26,0,0,0
2020/02/03,EE,Estonia,Europe,59,26,0,0,0
2020/02/04,EE,Estonia,Europe,59,26,0,0,0
2020/02/05,EE,Estonia,Europe,59,26,0,0,0
2020/02/06,EE,Estonia,Europe,59,26,0,0,0
2020/02/07,EE,Estonia,Europe,59,26,0,0,0
2020/02/08,EE,Estonia,Europe,59,26,0,0,0
2020/02/09,EE,Estonia,Europe,59,26,0,0,0
2020/02/10,EE,Estonia,Europe,59,26,0,0,0
2020/02/11,EE,Estonia,Europe,59,26,0,0,0
2020/02/12,EE,Estonia,Europe,59,26,0,0,0
2020/02/13,EE,Estonia,Europe,59,26,0,0,0
2020/02/14,EE,Estonia,Europe,59,26,0,0,0
2020/02/15,EE,Estonia,Europe,59,26,0,0,0
2020/02/16,EE,Estonia,Europe,59,26,0,0,0
2020/02/17,EE,Estonia,Europe,59,26,0,0,0
2020/02/18,EE,Estonia,Europe,59,26,0,0,0
2020/02/19,EE,Estonia,Europe,59,26,0,0,0
2020/02/20,EE,Estonia,Europe,59,26,0,0,0
2020/02/21,EE,Estonia,Europe,59,26,0,0,0
2020/02/22,EE,Estonia,Europe,59,26,0,0,0
2020/02/23,EE,Estonia,Europe,59,26,0,0,0
2020/02/24,EE,Estonia,Europe,59,26,0,0,0
2020/02/25,EE,Estonia,Europe,59,26,0,0,0
2020/02/26,EE,Estonia,Europe,59,26,0,0,0
2020/02/27,EE,Estonia,Europe,59,26,1,0,0
2020/02/28,EE,Estonia,Europe,59,26,1,0,0
2020/02/29,EE,Estonia,Europe,59,26,1,0,0
2020/03/01,EE,Estonia,Europe,59,26,1,0,0
2020/03/02,EE,Estonia,Europe,59,26,1,0,0
2020/03/03,EE,Estonia,Europe,59,26,2,0,0
2020/03/04,EE,Estonia,Europe,59,26,2,0,0
2020/03/05,EE,Estonia,Europe,59,26,3,0,0
2020/03/06,EE,Estonia,Europe,59,26,10,0,0
2020/03/07,EE,Estonia,Europe,59,26,10,0,0
2020/03/08,EE,Estonia,Europe,59,26,10,0,0
2020/03/09,EE,Estonia,Europe,59,26,10,0,0
2020/03/10,EE,Estonia,Europe,59,26,12,0,0
2020/03/11,EE,Estonia,Europe,59,26,16,0,0
2020/03/12,EE,Estonia,Europe,59,26,16,0,0
2020/03/13,EE,Estonia,Europe,59,26,79,0,0
2020/03/14,EE,Estonia,Europe,59,26,115,0,0
2020/03/15,EE,Estonia,Europe,59,26,171,1,0
2020/03/16,EE,Estonia,Europe,59,26,205,1,0
2020/03/17,EE,Estonia,Europe,59,26,225,1,0
2020/03/18,EE,Estonia,Europe,59,26,258,1,0
2020/03/19,EE,Estonia,Europe,59,26,267,1,0
2020/03/20,EE,Estonia,Europe,59,26,283,1,0
2020/03/21,EE,Estonia,Europe,59,26,306,1,0
2020/03/22,EE,Estonia,Europe,59,26,326,2,0
2020/03/23,EE,Estonia,Europe,59,26,352,4,0
2020/03/24,EE,Estonia,Europe,59,26,369,7,0
2020/03/25,EE,Estonia,Europe,59,26,404,8,1
2020/03/26,EE,Estonia,Europe,59,26,538,8,1
2020/03/27,EE,Estonia,Europe,59,26,575,11,1
2020/03/28,EE,Estonia,Europe,59,26,645,20,1
2020/03/29,EE,Estonia,Europe,59,26,679,20,3
2020/03/30,EE,Estonia,Europe,59,26,715,20,3
2020/03/31,EE,Estonia,Europe,59,26,745,26,4
2020/04/01,EE,Estonia,Europe,59,26,779,33,5
2020/04/02,EE,Estonia,Europe,59,26,858,45,11
2020/04/03,EE,Estonia,Europe,59,26,961,48,12
2020/04/04,EE,Estonia,Europe,59,26,1039,59,13
2020/04/05,EE,Estonia,Europe,59,26,1097,62,15
2020/04/06,EE,Estonia,Europe,59,26,1108,62,19
2020/04/07,EE,Estonia,Europe,59,26,1149,69,21
2020/04/08,EE,Estonia,Europe,59,26,1185,72,24
2020/04/09,EE,Estonia,Europe,59,26,1207,83,24
2020/04/10,EE,Estonia,Europe,59,26,1258,93,24
2020/04/11,EE,Estonia,Europe,59,26,1304,93,24
2020/04/12,EE,Estonia,Europe,59,26,1309,98,25
2020/04/13,EE,Estonia,Europe,59,26,1332,102,28
