day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SD,Sudan,Africa,15,30,0,0,0
2020/01/23,SD,Sudan,Africa,15,30,0,0,0
2020/01/24,SD,Sudan,Africa,15,30,0,0,0
2020/01/25,SD,Sudan,Africa,15,30,0,0,0
2020/01/26,SD,Sudan,Africa,15,30,0,0,0
2020/01/27,SD,Sudan,Africa,15,30,0,0,0
2020/01/28,SD,Sudan,Africa,15,30,0,0,0
2020/01/29,SD,Sudan,Africa,15,30,0,0,0
2020/01/30,SD,Sudan,Africa,15,30,0,0,0
2020/01/31,SD,Sudan,Africa,15,30,0,0,0
2020/02/01,SD,Sudan,Africa,15,30,0,0,0
2020/02/02,SD,Sudan,Africa,15,30,0,0,0
2020/02/03,SD,Sudan,Africa,15,30,0,0,0
2020/02/04,SD,Sudan,Africa,15,30,0,0,0
2020/02/05,SD,Sudan,Africa,15,30,0,0,0
2020/02/06,SD,Sudan,Africa,15,30,0,0,0
2020/02/07,SD,Sudan,Africa,15,30,0,0,0
2020/02/08,SD,Sudan,Africa,15,30,0,0,0
2020/02/09,SD,Sudan,Africa,15,30,0,0,0
2020/02/10,SD,Sudan,Africa,15,30,0,0,0
2020/02/11,SD,Sudan,Africa,15,30,0,0,0
2020/02/12,SD,Sudan,Africa,15,30,0,0,0
2020/02/13,SD,Sudan,Africa,15,30,0,0,0
2020/02/14,SD,Sudan,Africa,15,30,0,0,0
2020/02/15,SD,Sudan,Africa,15,30,0,0,0
2020/02/16,SD,Sudan,Africa,15,30,0,0,0
2020/02/17,SD,Sudan,Africa,15,30,0,0,0
2020/02/18,SD,Sudan,Africa,15,30,0,0,0
2020/02/19,SD,Sudan,Africa,15,30,0,0,0
2020/02/20,SD,Sudan,Africa,15,30,0,0,0
2020/02/21,SD,Sudan,Africa,15,30,0,0,0
2020/02/22,SD,Sudan,Africa,15,30,0,0,0
2020/02/23,SD,Sudan,Africa,15,30,0,0,0
2020/02/24,SD,Sudan,Africa,15,30,0,0,0
