day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NE,Niger,Africa,16,8,0,0,0
2020/01/23,NE,Niger,Africa,16,8,0,0,0
2020/01/24,NE,Niger,Africa,16,8,0,0,0
2020/01/25,NE,Niger,Africa,16,8,0,0,0
2020/01/26,NE,Niger,Africa,16,8,0,0,0
2020/01/27,NE,Niger,Africa,16,8,0,0,0
2020/01/28,NE,Niger,Africa,16,8,0,0,0
2020/01/29,NE,Niger,Africa,16,8,0,0,0
2020/01/30,NE,Niger,Africa,16,8,0,0,0
2020/01/31,NE,Niger,Africa,16,8,0,0,0
2020/02/01,NE,Niger,Africa,16,8,0,0,0
2020/02/02,NE,Niger,Africa,16,8,0,0,0
2020/02/03,NE,Niger,Africa,16,8,0,0,0
2020/02/04,NE,Niger,Africa,16,8,0,0,0
2020/02/05,NE,Niger,Africa,16,8,0,0,0
2020/02/06,NE,Niger,Africa,16,8,0,0,0
2020/02/07,NE,Niger,Africa,16,8,0,0,0
2020/02/08,NE,Niger,Africa,16,8,0,0,0
2020/02/09,NE,Niger,Africa,16,8,0,0,0
2020/02/10,NE,Niger,Africa,16,8,0,0,0
2020/02/11,NE,Niger,Africa,16,8,0,0,0
2020/02/12,NE,Niger,Africa,16,8,0,0,0
2020/02/13,NE,Niger,Africa,16,8,0,0,0
2020/02/14,NE,Niger,Africa,16,8,0,0,0
2020/02/15,NE,Niger,Africa,16,8,0,0,0
2020/02/16,NE,Niger,Africa,16,8,0,0,0
2020/02/17,NE,Niger,Africa,16,8,0,0,0
2020/02/18,NE,Niger,Africa,16,8,0,0,0
2020/02/19,NE,Niger,Africa,16,8,0,0,0
2020/02/20,NE,Niger,Africa,16,8,0,0,0
2020/02/21,NE,Niger,Africa,16,8,0,0,0
2020/02/22,NE,Niger,Africa,16,8,0,0,0
2020/02/23,NE,Niger,Africa,16,8,0,0,0
2020/02/24,NE,Niger,Africa,16,8,0,0,0
2020/02/25,NE,Niger,Africa,16,8,0,0,0
2020/02/26,NE,Niger,Africa,16,8,0,0,0
2020/02/27,NE,Niger,Africa,16,8,0,0,0
2020/02/28,NE,Niger,Africa,16,8,0,0,0
2020/02/29,NE,Niger,Africa,16,8,0,0,0
2020/03/01,NE,Niger,Africa,16,8,0,0,0
2020/03/02,NE,Niger,Africa,16,8,0,0,0
2020/03/03,NE,Niger,Africa,16,8,0,0,0
2020/03/04,NE,Niger,Africa,16,8,0,0,0
2020/03/05,NE,Niger,Africa,16,8,0,0,0
2020/03/06,NE,Niger,Africa,16,8,0,0,0
2020/03/07,NE,Niger,Africa,16,8,0,0,0
2020/03/08,NE,Niger,Africa,16,8,0,0,0
2020/03/09,NE,Niger,Africa,16,8,0,0,0
2020/03/10,NE,Niger,Africa,16,8,0,0,0
2020/03/11,NE,Niger,Africa,16,8,0,0,0
2020/03/12,NE,Niger,Africa,16,8,0,0,0
2020/03/13,NE,Niger,Africa,16,8,0,0,0
2020/03/14,NE,Niger,Africa,16,8,0,0,0
2020/03/15,NE,Niger,Africa,16,8,0,0,0
2020/03/16,NE,Niger,Africa,16,8,0,0,0
2020/03/17,NE,Niger,Africa,16,8,0,0,0
2020/03/18,NE,Niger,Africa,16,8,0,0,0
2020/03/19,NE,Niger,Africa,16,8,0,0,0
2020/03/20,NE,Niger,Africa,16,8,1,0,0
2020/03/21,NE,Niger,Africa,16,8,1,0,0
2020/03/22,NE,Niger,Africa,16,8,2,0,0
2020/03/23,NE,Niger,Africa,16,8,3,0,0
2020/03/24,NE,Niger,Africa,16,8,3,0,0
2020/03/25,NE,Niger,Africa,16,8,7,0,1
2020/03/26,NE,Niger,Africa,16,8,10,0,1
2020/03/27,NE,Niger,Africa,16,8,10,0,1
2020/03/28,NE,Niger,Africa,16,8,10,0,1
2020/03/29,NE,Niger,Africa,16,8,18,0,1
2020/03/30,NE,Niger,Africa,16,8,27,0,3
2020/03/31,NE,Niger,Africa,16,8,27,0,3
2020/04/01,NE,Niger,Africa,16,8,74,0,5
2020/04/02,NE,Niger,Africa,16,8,98,0,5
2020/04/03,NE,Niger,Africa,16,8,120,0,5
2020/04/04,NE,Niger,Africa,16,8,144,0,8
2020/04/05,NE,Niger,Africa,16,8,184,13,10
2020/04/06,NE,Niger,Africa,16,8,253,26,10
