day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BY,Belarus,Europe,53,28,0,0,0
2020/01/23,BY,Belarus,Europe,53,28,0,0,0
2020/01/24,BY,Belarus,Europe,53,28,0,0,0
2020/01/25,BY,Belarus,Europe,53,28,0,0,0
2020/01/26,BY,Belarus,Europe,53,28,0,0,0
2020/01/27,BY,Belarus,Europe,53,28,0,0,0
2020/01/28,BY,Belarus,Europe,53,28,0,0,0
2020/01/29,BY,Belarus,Europe,53,28,0,0,0
2020/01/30,BY,Belarus,Europe,53,28,0,0,0
2020/01/31,BY,Belarus,Europe,53,28,0,0,0
2020/02/01,BY,Belarus,Europe,53,28,0,0,0
2020/02/02,BY,Belarus,Europe,53,28,0,0,0
2020/02/03,BY,Belarus,Europe,53,28,0,0,0
2020/02/04,BY,Belarus,Europe,53,28,0,0,0
2020/02/05,BY,Belarus,Europe,53,28,0,0,0
2020/02/06,BY,Belarus,Europe,53,28,0,0,0
2020/02/07,BY,Belarus,Europe,53,28,0,0,0
2020/02/08,BY,Belarus,Europe,53,28,0,0,0
2020/02/09,BY,Belarus,Europe,53,28,0,0,0
2020/02/10,BY,Belarus,Europe,53,28,0,0,0
2020/02/11,BY,Belarus,Europe,53,28,0,0,0
2020/02/12,BY,Belarus,Europe,53,28,0,0,0
2020/02/13,BY,Belarus,Europe,53,28,0,0,0
2020/02/14,BY,Belarus,Europe,53,28,0,0,0
2020/02/15,BY,Belarus,Europe,53,28,0,0,0
2020/02/16,BY,Belarus,Europe,53,28,0,0,0
2020/02/17,BY,Belarus,Europe,53,28,0,0,0
2020/02/18,BY,Belarus,Europe,53,28,0,0,0
2020/02/19,BY,Belarus,Europe,53,28,0,0,0
2020/02/20,BY,Belarus,Europe,53,28,0,0,0
2020/02/21,BY,Belarus,Europe,53,28,0,0,0
2020/02/22,BY,Belarus,Europe,53,28,0,0,0
2020/02/23,BY,Belarus,Europe,53,28,0,0,0
2020/02/24,BY,Belarus,Europe,53,28,0,0,0
2020/02/25,BY,Belarus,Europe,53,28,0,0,0
2020/02/26,BY,Belarus,Europe,53,28,0,0,0
2020/02/27,BY,Belarus,Europe,53,28,0,0,0
2020/02/28,BY,Belarus,Europe,53,28,1,0,0
2020/02/29,BY,Belarus,Europe,53,28,1,0,0
2020/03/01,BY,Belarus,Europe,53,28,1,0,0
2020/03/02,BY,Belarus,Europe,53,28,1,0,0
2020/03/03,BY,Belarus,Europe,53,28,1,0,0
2020/03/04,BY,Belarus,Europe,53,28,6,0,0
2020/03/05,BY,Belarus,Europe,53,28,6,0,0
2020/03/06,BY,Belarus,Europe,53,28,6,0,0
2020/03/07,BY,Belarus,Europe,53,28,6,0,0
2020/03/08,BY,Belarus,Europe,53,28,6,0,0
2020/03/09,BY,Belarus,Europe,53,28,6,1,0
2020/03/10,BY,Belarus,Europe,53,28,9,3,0
2020/03/11,BY,Belarus,Europe,53,28,9,3,0
2020/03/12,BY,Belarus,Europe,53,28,12,3,0
2020/03/13,BY,Belarus,Europe,53,28,27,3,0
2020/03/14,BY,Belarus,Europe,53,28,27,3,0
2020/03/15,BY,Belarus,Europe,53,28,27,3,0
2020/03/16,BY,Belarus,Europe,53,28,36,3,0
2020/03/17,BY,Belarus,Europe,53,28,36,3,0
2020/03/18,BY,Belarus,Europe,53,28,51,5,0
2020/03/19,BY,Belarus,Europe,53,28,51,5,0
2020/03/20,BY,Belarus,Europe,53,28,69,5,0
2020/03/21,BY,Belarus,Europe,53,28,76,15,0
2020/03/22,BY,Belarus,Europe,53,28,76,15,0
2020/03/23,BY,Belarus,Europe,53,28,81,22,0
2020/03/24,BY,Belarus,Europe,53,28,81,22,0
2020/03/25,BY,Belarus,Europe,53,28,86,29,0
2020/03/26,BY,Belarus,Europe,53,28,86,29,0
2020/03/27,BY,Belarus,Europe,53,28,94,32,0
2020/03/28,BY,Belarus,Europe,53,28,94,32,0
2020/03/29,BY,Belarus,Europe,53,28,94,32,0
2020/03/30,BY,Belarus,Europe,53,28,152,32,0
2020/03/31,BY,Belarus,Europe,53,28,152,47,1
2020/04/01,BY,Belarus,Europe,53,28,163,52,2
2020/04/02,BY,Belarus,Europe,53,28,304,52,4
2020/04/03,BY,Belarus,Europe,53,28,351,52,4
2020/04/04,BY,Belarus,Europe,53,28,440,52,5
2020/04/05,BY,Belarus,Europe,53,28,562,52,8
2020/04/06,BY,Belarus,Europe,53,28,700,53,13
2020/04/07,BY,Belarus,Europe,53,28,861,54,13
2020/04/08,BY,Belarus,Europe,53,28,1066,77,13
2020/04/09,BY,Belarus,Europe,53,28,1486,139,16
2020/04/10,BY,Belarus,Europe,53,28,1981,169,19
2020/04/11,BY,Belarus,Europe,53,28,2226,172,23
2020/04/12,BY,Belarus,Europe,53,28,2578,203,26
2020/04/13,BY,Belarus,Europe,53,28,2919,203,29
2020/04/14,BY,Belarus,Europe,53,28,3281,203,33
2020/04/15,BY,Belarus,Europe,53,28,3728,203,36
2020/04/16,BY,Belarus,Europe,53,28,4204,203,40
2020/04/17,BY,Belarus,Europe,53,28,4779,342,42
2020/04/18,BY,Belarus,Europe,53,28,4779,342,45
2020/04/19,BY,Belarus,Europe,53,28,4779,494,47
2020/04/20,BY,Belarus,Europe,53,28,6264,514,51
2020/04/21,BY,Belarus,Europe,53,28,6723,577,55
2020/04/22,BY,Belarus,Europe,53,28,7281,769,58
2020/04/23,BY,Belarus,Europe,53,28,8022,938,60
2020/04/24,BY,Belarus,Europe,53,28,8773,1120,63
2020/04/25,BY,Belarus,Europe,53,28,9590,1573,67
2020/04/26,BY,Belarus,Europe,53,28,10463,1695,72
2020/04/27,BY,Belarus,Europe,53,28,11289,1740,75
2020/04/28,BY,Belarus,Europe,53,28,12208,1993,79
2020/04/29,BY,Belarus,Europe,53,28,13181,2072,84
