day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/23,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/24,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/25,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/26,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/27,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/28,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/29,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/30,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/01/31,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/01,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/02,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/03,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/04,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/05,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/06,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/07,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/08,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/09,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/10,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/11,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/12,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/13,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/14,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/15,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/16,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/17,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/18,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/19,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/20,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/21,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/22,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/23,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/24,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/25,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/26,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/27,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/28,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/02/29,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/01,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/02,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/03,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/04,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/05,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/06,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/07,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/08,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/09,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/10,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/11,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/12,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/13,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/14,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/15,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/16,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/17,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/18,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/19,AO,Angola,Africa,-12.5,18.5,0,0,0
2020/03/20,AO,Angola,Africa,-12.5,18.5,1,0,0
2020/03/21,AO,Angola,Africa,-12.5,18.5,2,0,0
2020/03/22,AO,Angola,Africa,-12.5,18.5,2,0,0
2020/03/23,AO,Angola,Africa,-12.5,18.5,3,0,0
2020/03/24,AO,Angola,Africa,-12.5,18.5,3,0,0
2020/03/25,AO,Angola,Africa,-12.5,18.5,3,0,0
2020/03/26,AO,Angola,Africa,-12.5,18.5,4,0,0
2020/03/27,AO,Angola,Africa,-12.5,18.5,4,0,0
2020/03/28,AO,Angola,Africa,-12.5,18.5,5,0,0
2020/03/29,AO,Angola,Africa,-12.5,18.5,7,0,2
2020/03/30,AO,Angola,Africa,-12.5,18.5,7,1,2
2020/03/31,AO,Angola,Africa,-12.5,18.5,7,1,2
2020/04/01,AO,Angola,Africa,-12.5,18.5,8,1,2
2020/04/02,AO,Angola,Africa,-12.5,18.5,8,1,2
2020/04/03,AO,Angola,Africa,-12.5,18.5,8,1,2
2020/04/04,AO,Angola,Africa,-12.5,18.5,10,2,2
2020/04/05,AO,Angola,Africa,-12.5,18.5,14,2,2
2020/04/06,AO,Angola,Africa,-12.5,18.5,16,2,2
2020/04/07,AO,Angola,Africa,-12.5,18.5,17,2,2
2020/04/08,AO,Angola,Africa,-12.5,18.5,19,2,2
2020/04/09,AO,Angola,Africa,-12.5,18.5,19,2,2
2020/04/10,AO,Angola,Africa,-12.5,18.5,19,2,2
2020/04/11,AO,Angola,Africa,-12.5,18.5,19,4,2
2020/04/12,AO,Angola,Africa,-12.5,18.5,19,4,2
2020/04/13,AO,Angola,Africa,-12.5,18.5,19,4,2
2020/04/14,AO,Angola,Africa,-12.5,18.5,19,5,2
2020/04/15,AO,Angola,Africa,-12.5,18.5,19,5,2
2020/04/16,AO,Angola,Africa,-12.5,18.5,19,5,2
2020/04/17,AO,Angola,Africa,-12.5,18.5,19,5,2
2020/04/18,AO,Angola,Africa,-12.5,18.5,24,6,2
2020/04/19,AO,Angola,Africa,-12.5,18.5,24,6,2
2020/04/20,AO,Angola,Africa,-12.5,18.5,24,6,2
2020/04/21,AO,Angola,Africa,-12.5,18.5,24,6,2
